sent_id	sent_text	clause_n	word_n
651	# text = 刚才秘书处已宣布五分钟后复会。	1	8
652	# text = 现在时间已过了五分钟。	1	7
653	# text = 我想跟大家说，今天的会议分为两部分。	2	11
654	# text = 第一部分是刚才大家已完成的宣誓。	1	9
655	# text = 而第二部分是选举立法会主席。	1	7
656	# text = 我知道有同事对主席候选人的国籍问题有些意见。	1	13
657	# text = 要求候选人就某些方面作出澄清。	1	7
658	# text = 由于今天的会议并没有任何程序，容许我们在会议厅内进行澄清、提问、辩论或谘询等，因此我们不可以在会议厅内进行这些工作。	3	30
659	# text = 不过，为让一些关注此事的议员能获澄清，我建议梁君彦议员稍后到会议厅外，向新闻传媒交代他的国籍问题。	4	28
660	# text = 而关注此事的议员亦可出去聆听他的阐述，以及可以向他提问。	2	18
661	# text = 在会议厅内，根据《议事规则》，我不能容许大家提问或作出任何讨论。	3	16
662	# text = 我现在请关注此事的议员到会议厅外，听取梁君彦议员的交代。	2	16
663	# text = 我预期会议将在下午二时三十分正式恢复。	1	12
664	# text = 我的发言到此结束。	1	5
665	# text = 现在暂停会议。	1	3
666	# text = 现在是二时三十五分，较我原先宣布二时三十分恢复会议的时间，迟了五分钟。	3	22
667	# text = 我不想再延迟。	1	5
668	# text = 现在宣布正式复会。	1	4
669	# text = 会议现已恢复，我希望所有同事返回自己的座位。	2	12
670	# text = 让我们今天可以有秩序地进行选举主席的程式。	1	12
671	# text = 我现在再请所有同事返回自己的座位。	1	10
672	# text = 有议员想提出规程问题。	1	6
673	# text = 但请其他同事先行返回座位，让秘书帮我做一些文书工作。	2	15
674	# text = 否则，没有秘书帮忙，处理上会比较困难。	3	9
675	# text = 我希望其他议员先返回座位，让我们可以进行会议。	2	12
676	# text = 如果大家有任何规程问题，可以提出。	2	8
677	# text = 我会给大家时间。	1	5
678	# text = 主席，我想问秘书处有否处理梁君彦议员的国籍问题？	2	13
679	# text = 他刚才……	2	2
680	# text = 刚才我说过，有关梁君彦议员的国籍问题不是今天会议的讨论范畴。	2	17
681	# text = 好的。	1	2
682	# text = 请先让我说，可以吗？	2	7
683	# text = 我刚才已经说过，为了让大家进一步了解有关梁君彦议员的国籍问题，或要求他澄清，我已作出-特别安排时间，让梁议员在会议厅外向传媒作出交代和澄清。	5	38
684	# text = 如果各位刚才有出席，便应该知道情况如何。	2	10
685	# text = 不过，无论当事人如何澄清及解释，在这个会议上，我不能保证令大家满意。	4	18
686	# text = 作为会议主持人，我只能根据会议规则进行程序。	2	11
687	# text = 如果议员想确保他的问题得到满意的答复，可以在其他场合提出。	2	16
688	# text = 今天的会议中则没有办法处理这个问题。	1	10
689	# text = 我现在想问一问，刚才有哪些议员曾举手想提出规程问题？	2	14
690	# text = 我看不到。	1	4
691	# text = 请秘书帮忙把曾举手表示想提出规程问题的议员名单交给我。	1	17
692	# text = 因为我看不到。	1	5
693	# text = 今天我不想跟大家争论其他问题，因为我没有权力这样做。	2	15
694	# text = 我只是执行会议规则。	1	5
695	# text = 其实我也不是很想主持这会议。	1	10
696	# text = 不过，根据《议事规则》附表一第六及七段的规定，由担任议员时间最长的我来主持会议。	3	23
697	# text = 根据会议规则，我现在只能主持投票的过程。	2	11
698	# text = 其他事情我无法处理。	1	5
699	# text = 如果我处理的话，便违反会议规则。	2	8
700	# text = 是不合法的。	1	4
701	# text = 大家如果要我表明这个会议究竟是否合法，我只能够说，根据会议规则，这个会议是合法的。	4	25
702	# text = 议员如果想提出规程问题，我再请大家先返回自己的座位。	2	15
703	# text = 我会邀请大家发言。	1	5
704	# text = 我们不离开又怎样呢？	1	6
705	# text = 如果议员真的不返回座位，也不要紧。	2	9
706	# text = 但请不要作出骚扰，以便会议可继续进行。	2	10
707	# text = 根据秘书给我的名单，第一位提出规程问题的议员是毛孟静议员。	2	16
708	# text = 根据《议事规则》，今天的规程只能够涉及选举过程。	2	11
709	# text = 如果有其他问题，请议员在其他场合提出。	2	10
710	# text = 现在请毛孟静议员提问。	1	5
711	# text = 感谢主席。	1	2
712	# text = 我不是故意要为难你或什么。	1	9
713	# text = 还要感谢你试图安排我们到会议厅外聆听梁君彦议员的解释。	1	15
714	# text = 我们已听罢他的解释。	1	7
715	# text = 他说第一封信是关乎其国籍或外国居留权的问题。	1	14
716	# text = 信中表示已enclosed（附上）「放弃国籍」的声明，	2	10
717	# text = 但相关的copy却并不存在。	1	7
718	# text = 原来那是一封电邮。	1	6
719	# text = 第二封信才是正本。	1	6
720	# text = 但他暂时仍未收到。	1	7
721	# text = 我想就此提出规程问题。	1	7
722	# text = 因为《基本法》已订明，立法会主席必须在外国无居留权。	2	11
723	# text = 而即使两封信都是由政府发出，但却不一定是法律文件。	2	17
724	# text = 我们最主要想看的是那份「放弃国籍」声明（Declaration_of_Renunciation_of_British_Citizenship）。	1	13
725	# text = 而我本人也有一份。	1	7
726	# text = 我们是否应待他收到有关文件。	1	10
727	# text = 所有事情皆被正式确认后，才展开选举程序呢？	2	12
728	# text = 好的，谢谢你，毛孟静议员。	3	6
729	# text = 我刚才说过，你的提问只能够涉及选举过程或与选举有关的事情。	2	18
730	# text = 但你却要求澄清梁君彦议员的国籍问题。	1	10
731	# text = 我刚才已作出特别安排，让梁君彦议员向大家和社会大众作出澄清及交代。	2	18
732	# text = 至于他的答复能否回应你刚才的提问，我并不能够提出任何意见。	2	17
733	# text = 不过，我想对大家说，鉴于梁君彦议员已经一而再、再而三地提供资料，并在公开场合作出澄清，议员大可自行决定稍后会否投票支持他。	5	31
734	# text = 如果大家认为梁君彦议员的答复未能回应大家的提问，大家可以决定寻求……	3	17
735	# text = 那么梁天琦也不应该被disqualified，对吗？	2	9
736	# text = 我也不知道梁君彦议员究竟是否真的有合法权利参选，但梁耀忠议员却要求我们自行考虑是否投票给他吗？	2	28
737	# text = 你是否也可要求选民自行决定是否投票给梁天琦？	1	14
738	# text = 由于立法会主席的选举须按照《议事规则》附表一所订的程序进行。	1	16
739	# text = 而有关的条文是容许议员在选举主席的会议上，就候选人的事宜进行讨论的。	2	20
740	# text = 事实上，有关的讨论亦已在昨天特别安排的论坛上……	3	13
741	# text = 主席，我不是要求讨论。	2	6
742	# text = 我要求的是法律上的澄清。	1	8
743	# text = 他一定要提供一份放弃英国国籍声明的正式文件。	1	13
744	# text = 而最好当然是正本。	1	6
745	# text = 但如果暂时没有正本，向我们提供一份copy也可以。	2	13
746	# text = 不过，现时已经说得很清楚。	2	7
747	# text = 便是按照我的理解，他仍未收到相关文件。	2	11
748	# text = 试问我们怎可以在这里进行选举的程序呢？	1	11
749	# text = 据我了解，《基本法》订明立法会主席不能够拥有任何其他国家的居留权。	2	15
750	# text = 这方面已清楚订明，但并没有提及候选人。	2	10
751	# text = 我今天不是要与大家辩论这个问题，但如果大家想澄清的话，便应该透过其他途径。	3	21
752	# text = 因为我既非具有法律背景的议员。	1	9
753	# text = 而我这个主席的身份，也不能够作任何回答。	2	13
754	# text = 我只能够⋯⋯	1	3
755	# text = 不好意思，我不是特别要为难你，亦觉得这样插言不礼貌。	3	14
756	# text = 不要紧。	1	2
757	# text = ……但按照你刚才的说法，作为立法会主席便不能够拥有外国居留权。	3	15
758	# text = 但是，如果要进行选举的话，有人将于稍后半小时，或十分钟后便会当选主席。	4	20
759	# text = 但他却未能在今天内向我们提供刚才所说的「放弃国籍」正式声明。	1	19
760	# text = 你说得对……	2	4
761	# text = 多谢。	1	1
762	# text = ……就是一旦他当选，发觉条件不符合规定，他便不应该成为主席。	4	16
763	# text = 这是正确的。	1	4
764	# text = 不过，问题是我不能够建议他接着该怎样做，因为我没有这个身份。	3	18
765	# text = 我只能够主持……	2	4
766	# text = 主席，那么你坐在这里做什么？	2	8
767	# text = ……你说得对。	2	4
768	# text = 我也想澄清我坐在这里做什么。	1	10
769	# text = 根据《议事规则》，我只是做两件事。	2	9
770	# text = 第一，主持主席选举的投票。	2	6
771	# text = 第二，宣布哪位候选人当选。	2	6
772	# text = 我只是做这两件事。	1	7
773	# text = 而不应该做其他事。	1	6
774	# text = 最后，一个规程问题。	2	5
775	# text = 为了抗争，为表示我不同意现时的程序，我现在也走出来，站在你后面不会离开。	4	22
776	# text = 即使你呼吁我离开，我亦不会离开。	2	10
777	# text = 大家是否要一直这样继续下去呢？	1	9
778	# text = 如果你不影响大家的投票程序，我是不会阻止你的。	2	15
779	# text = 不过，在投票前，你首先需要确定我、梁颂恒和姚松炎三位议员的投票权。	3	17
780	# text = 其实，我也无权确定你们是否有权投票。	2	12
781	# text = 我只能够接受秘书给我的名单，包括候选人和有资格投票的议员。	2	17
782	# text = 其实，你应该向秘书处提出，而不是向我提出，因为我无权代表秘书处说话。	4	19
783	# text = 如果你要提出，可以向秘书处提出。	2	8
