sent_id	sent_text	clause_n	lds_n
651	# text = 刚才秘书处已宣布五分钟后复会。	2	5
652	# text = 现在时间已过了五分钟。	1	4
653	# text = 我想跟大家说，今天的会议分为两部分。	2	6
654	# text = 第一部分是刚才大家已完成的宣誓。	2	6
655	# text = 而第二部分是选举立法会主席。	2	4
656	# text = 我知道有同事对主席候选人的国籍问题有些意见。	3	6
657	# text = 要求候选人就某些方面作出澄清。	2	3
658	# text = 由于今天的会议并没有任何程序，容许我们在会议厅内进行澄清、提问、辩论或谘询等，因此我们不可以在会议厅内进行这些工作。	4	17
659	# text = 不过，为让一些关注此事的议员能获澄清，我建议梁君彦议员稍后到会议厅外，向新闻传媒交代他的国籍问题。	5	16
660	# text = 而关注此事的议员亦可出去聆听他的阐述，以及可以向他提问。	4	14
661	# text = 在会议厅内，根据《议事规则》，我不能容许大家提问或作出任何讨论。	4	10
662	# text = 我现在请关注此事的议员到会议厅外，听取梁君彦议员的交代。	3	11
663	# text = 我预期会议将在下午二时三十分正式恢复。	2	7
664	# text = 我的发言到此结束。	1	3
665	# text = 现在暂停会议。	1	1
666	# text = 现在是二时三十五分，较我原先宣布二时三十分恢复会议的时间，迟了五分钟。	4	12
667	# text = 我不想再延迟。	1	3
668	# text = 现在宣布正式复会。	2	2
669	# text = 会议现已恢复，我希望所有同事返回自己的座位。	3	7
670	# text = 让我们今天可以有秩序地进行选举主席的程式。	5	9
671	# text = 我现在再请所有同事返回自己的座位。	2	7
672	# text = 有议员想提出规程问题。	2	3
673	# text = 但请其他同事先行返回座位，让秘书帮我做一些文书工作。	5	9
674	# text = 否则，没有秘书帮忙，处理上会比较困难。	4	6
675	# text = 我希望其他议员先返回座位，让我们可以进行会议。	4	5
676	# text = 如果大家有任何规程问题，可以提出。	2	5
677	# text = 我会给大家时间。	1	3
678	# text = 主席，我想问秘书处有否处理梁君彦议员的国籍问题？	2	9
679	# text = 他刚才……	1	1
680	# text = 刚才我说过，有关梁君彦议员的国籍问题不是今天会议的讨论范畴。	3	9
681	# text = 好的。	1	1
682	# text = 请先让我说，可以吗？	4	4
683	# text = 我刚才已经说过，为了让大家进一步了解有关梁君彦议员的国籍问题，或要求他澄清，我已作出-特别安排时间，让梁议员在会议厅外向传媒作出交代和澄清。	8	17
684	# text = 如果各位刚才有出席，便应该知道情况如何。	3	7
685	# text = 不过，无论当事人如何澄清及解释，在这个会议上，我不能保证令大家满意。	5	12
686	# text = 作为会议主持人，我只能根据会议规则进行程序。	1	7
687	# text = 如果议员想确保他的问题得到满意的答复，可以在其他场合提出。	3	9
688	# text = 今天的会议中则没有办法处理这个问题。	2	5
689	# text = 我现在想问一问，刚才有哪些议员曾举手想提出规程问题？	4	8
690	# text = 我看不到。	1	2
691	# text = 请秘书帮忙把曾举手表示想提出规程问题的议员名单交给我。	6	10
692	# text = 因为我看不到。	1	3
693	# text = 今天我不想跟大家争论其他问题，因为我没有权力这样做。	3	8
694	# text = 我只是执行会议规则。	1	3
695	# text = 其实我也不是很想主持这会议。	2	6
696	# text = 不过，根据《议事规则》附表一第六及七段的规定，由担任议员时间最长的我来主持会议。	5	15
697	# text = 根据会议规则，我现在只能主持投票的过程。	1	8
698	# text = 其他事情我无法处理。	1	3
699	# text = 如果我处理的话，便违反会议规则。	2	4
700	# text = 是不合法的。	2	2
701	# text = 大家如果要我表明这个会议究竟是否合法，我只能够说，根据会议规则，这个会议是合法的。	7	15
702	# text = 议员如果想提出规程问题，我再请大家先返回自己的座位。	3	9
703	# text = 我会邀请大家发言。	2	3
704	# text = 我们不离开又怎样呢？	2	3
705	# text = 如果议员真的不返回座位，也不要紧。	2	6
706	# text = 但请不要作出骚扰，以便会议可继续进行。	4	7
707	# text = 根据秘书给我的名单，第一位提出规程问题的议员是毛孟静议员。	3	10
708	# text = 根据《议事规则》，今天的规程只能够涉及选举过程。	3	9
709	# text = 如果有其他问题，请议员在其他场合提出。	3	5
710	# text = 现在请毛孟静议员提问。	2	2
711	# text = 感谢主席。	1	1
712	# text = 我不是故意要为难你或什么。	3	5
713	# text = 还要感谢你试图安排我们到会议厅外聆听梁君彦议员的解释。	3	9
714	# text = 我们已听罢他的解释。	1	4
715	# text = 他说第一封信是关乎其国籍或外国居留权的问题。	3	9
716	# text = 信中表示已enclosed（附上）「放弃国籍」的声明，	4	7
717	# text = 但相关的copy却并不存在。	1	5
718	# text = 原来那是一封电邮。	1	5
719	# text = 第二封信才是正本。	1	4
720	# text = 但他暂时仍未收到。	1	5
721	# text = 我想就此提出规程问题。	1	4
722	# text = 因为《基本法》已订明，立法会主席必须在外国无居留权。	2	6
723	# text = 而即使两封信都是由政府发出，但却不一定是法律文件。	3	12
724	# text = 我们最主要想看的是那份「放弃国籍」声明（Declaration_of_Renunciation_of_British_Citizenship）。	4	8
725	# text = 而我本人也有一份。	1	4
726	# text = 我们是否应待他收到有关文件。	4	5
727	# text = 所有事情皆被正式确认后，才展开选举程序呢？	3	8
728	# text = 好的，谢谢你，毛孟静议员。	2	4
729	# text = 我刚才说过，你的提问只能够涉及选举过程或与选举有关的事情。	4	11
730	# text = 但你却要求澄清梁君彦议员的国籍问题。	2	7
731	# text = 我刚才已作出特别安排，让梁君彦议员向大家和社会大众作出澄清及交代。	3	10
732	# text = 至于他的答复能否回应你刚才的提问，我并不能够提出任何意见。	2	12
733	# text = 不过，我想对大家说，鉴于梁君彦议员已经一而再、再而三地提供资料，并在公开场合作出澄清，议员大可自行决定稍后会否投票支持他。	6	20
734	# text = 如果大家认为梁君彦议员的答复未能回应大家的提问，大家可以决定寻求……	4	11
735	# text = 那么梁天琦也不应该被disqualified，对吗？	2	6
736	# text = 我也不知道梁君彦议员究竟是否真的有合法权利参选，但梁耀忠议员却要求我们自行考虑是否投票给他吗？	10	18
737	# text = 你是否也可要求选民自行决定是否投票给梁天琦？	6	9
738	# text = 由于立法会主席的选举须按照《议事规则》附表一所订的程序进行。	3	9
739	# text = 而有关的条文是容许议员在选举主席的会议上，就候选人的事宜进行讨论的。	4	12
740	# text = 事实上，有关的讨论亦已在昨天特别安排的论坛上……	2	8
741	# text = 主席，我不是要求讨论。	2	4
742	# text = 我要求的是法律上的澄清。	2	5
743	# text = 他一定要提供一份放弃英国国籍声明的正式文件。	2	8
744	# text = 而最好当然是正本。	1	4
745	# text = 但如果暂时没有正本，向我们提供一份copy也可以。	3	7
746	# text = 不过，现时已经说得很清楚。	2	4
747	# text = 便是按照我的理解，他仍未收到相关文件。	2	7
748	# text = 试问我们怎可以在这里进行选举的程序呢？	3	8
749	# text = 据我了解，《基本法》订明立法会主席不能够拥有任何其他国家的居留权。	3	8
750	# text = 这方面已清楚订明，但并没有提及候选人。	2	6
751	# text = 我今天不是要与大家辩论这个问题，但如果大家想澄清的话，便应该透过其他途径。	4	13
752	# text = 因为我既非具有法律背景的议员。	2	8
753	# text = 而我这个主席的身份，也不能够作任何回答。	1	8
754	# text = 我只能够⋯⋯	1	2
755	# text = 不好意思，我不是特别要为难你，亦觉得这样插言不礼貌。	4	9
756	# text = 不要紧。	1	1
757	# text = ……但按照你刚才的说法，作为立法会主席便不能够拥有外国居留权。	1	11
758	# text = 但是，如果要进行选举的话，有人将于稍后半小时，或十分钟后便会当选主席。	3	12
759	# text = 但他却未能在今天内向我们提供刚才所说的「放弃国籍」正式声明。	3	11
760	# text = 你说得对……	2	2
761	# text = 多谢。	1	1
762	# text = ……就是一旦他当选，发觉条件不符合规定，他便不应该成为主席。	5	10
763	# text = 这是正确的。	1	2
764	# text = 不过，问题是我不能够建议他接着该怎样做，因为我没有这个身份。	4	12
765	# text = 我只能够主持……	1	3
766	# text = 主席，那么你坐在这里做什么？	1	5
767	# text = ……你说得对。	2	2
768	# text = 我也想澄清我坐在这里做什么。	3	7
769	# text = 根据《议事规则》，我只是做两件事。	2	7
770	# text = 第一，主持主席选举的投票。	1	3
771	# text = 第二，宣布哪位候选人当选。	2	3
772	# text = 我只是做这两件事。	1	5
773	# text = 而不应该做其他事。	1	4
774	# text = 最后，一个规程问题。	1	3
775	# text = 为了抗争，为表示我不同意现时的程序，我现在也走出来，站在你后面不会离开。	6	13
776	# text = 即使你呼吁我离开，我亦不会离开。	3	7
777	# text = 大家是否要一直这样继续下去呢？	3	6
778	# text = 如果你不影响大家的投票程序，我是不会阻止你的。	3	8
779	# text = 不过，在投票前，你首先需要确定我、梁颂恒和姚松炎三位议员的投票权。	2	11
780	# text = 其实，我也无权确定你们是否有权投票。	6	9
781	# text = 我只能够接受秘书给我的名单，包括候选人和有资格投票的议员。	5	11
782	# text = 其实，你应该向秘书处提出，而不是向我提出，因为我无权代表秘书处说话。	6	12
783	# text = 如果你要提出，可以向秘书处提出。	2	5
784	# text = 第二位想提出规程问题的议员是许智峯议员。	2	6
785	# text = 主席，我想你清醒地想想，我们今天是否……	4	8
786	# text = 我清醒与否不是由你判断的。	4	5
787	# text = ……我们是否应该继续进行会议并选举主席。	5	5
788	# text = 毛孟静议员和多位非建制派议员刚才说过，我们不信纳梁君彦议员已经完全放弃英籍或放弃英国的居留权。	4	13
789	# text = 在这种情况下，要我们选举主席并不公道。	3	7
790	# text = 这是第一点。	1	3
791	# text = 第二，站在你身后的数位议员，刚才在宣誓时遇到一些障碍。	3	10
792	# text = 由于负责监誓的秘书长没有处理他们的宣誓。	3	8
793	# text = 并表示他们在稍后举行的主席选举中不可以投票。	3	6
794	# text = 但是，多位议员认为，他们所采用的宣誓方式，历届立法会议员也曾采用类似方式，却没有问题。	4	12
795	# text = 这证明宣誓过程出现问题。	3	3
796	# text = 令数位议员稍后无法进行投票，这个选举便不会是公平及符合程序公义的选举。	5	15
797	# text = 我想请你决定，面对那么多程序公义问题，应否继续进行会议，选出一位没有任何代表性的立法会主席？	7	15
798	# text = 主席，你担任「代理主席」亦不容易。	3	6
799	# text = 但是，我支持你执行《议事规则》，包括维持议会的秩序，确保我们选举主席的程序能够顺利完成。	7	14
800	# text = 因为这是宪制工作，亦是全港市民正在看着我们做的事情。	4	13
801	# text = 此外，我想请你也了解一下《议事规则》。	3	6
802	# text = 有议员没有合理理由而在你身后及旁边站着。	3	8
803	# text = 我恐怕这些议员已涉嫌违反《议事规则》。	4	6
804	# text = 希望你考虑请这些议员返回座位。	4	5
805	# text = 如果他们经过多次劝谕仍不返回座位，我认为你应执行《议事规则》，以维持议会的秩序。	6	14
806	# text = 这是第一点。	1	3
807	# text = 第二点是关于议员的投票权。	1	5
808	# text = 我同意你的判断，便是秘书长已按照法例依法为我们监誓。	3	9
809	# text = 我亦认为有数位议员没有依照誓词的内容完成宣誓。	4	9
810	# text = 因此，在选举主席的过程中不能参与表决。	2	7
811	# text = 这情况我相信所有议员都明白。	2	4
812	# text = 由于未能完成宣誓，因此不能参与选举。	2	6
813	# text = 而秘书长亦对所有他怀疑未能完成宣誓议员给予多一次宣誓的机会。	5	14
814	# text = 我认为这做法已经兼顾到人情上的考虑。	2	6
815	# text = 第三点，至于大家质疑梁君彦议员的国籍问题，我早已很关心此事，并多次请梁议员澄清，要求他确认。	6	16
816	# text = 而他已多次确定地表示事情已经处理好。	2	8
817	# text = 及后，亦已提供英国领事馆发出的两封信，供大家参阅。	3	7
818	# text = 当然，议员可以要求梁议员提供一份证书。	2	6
819	# text = 这点我是理解的。	2	4
820	# text = 但我看过那两封信后，最低限度认为到此刻，没有其他新证据指梁议员的英籍问题并未处理。	5	16
821	# text = 既然已定了今天选举主席，我认为我们应按照所订定的时间安排顺利完成选举主席。	6	12
