sent_id	clause_text	word_n	character_n
651	刚才+秘书处+已+分钟+五+后+宣布	7	12
651	复会	1	2
652	现在+时间+已+了+分钟+五+过	7	10
653	我+想+大家+跟+说	5	6
653	会议+今天+的+部分+两+分为	6	10
654	刚才+大家+已+的+完成	5	8
654	部分+第一+是+宣誓	4	7
655	而+部分+第二+是	4	6
655	主席+立法会+选举	3	7
656	我+知道	2	3
656	同事+有	2	3
656	问题+对+候选人+主席+的+国籍+些+意见+有	9	15
657	候选人+要求	2	5
657	方面+就+某些+澄清+作出	5	9
658	由于+会议+今天+的+并+程序+任何+没有	8	14
658	我们+容许	2	4
658	会议厅+在+内+澄清+提问+辩论+谘询+或+等+进行	10	17
658	因此+我们+可以+不+会议厅+在+内+工作+这些+进行	10	18
659	为+议员+一些+让	4	6
659	事+此+的+关注	4	5
659	能+澄清+获	3	4
659	不过+我+建议	3	5
659	梁君彦+议员+稍后+会议厅+到+外+传媒+向+新闻+问题+他+的+国籍+交代	14	25
660	事+此+的+关注	4	5
660	而+议员+亦+可+出去	5	7
660	阐述+他+的+聆听	4	6
660	以及+可以+向+他+提问	5	8
661	议事	1	2
661	会议厅+在+内+规则+根据+我+不+能+大家+容许	10	16
661	提问	1	2
661	或+讨论+任何+作出	4	7
662	我+现在+议员+请	4	6
662	事+此+的+关注	4	5
662	会议厅+到+外+交代+梁君彦+议员+的+听取	8	15
663	我+预期	2	3
663	会议+将+下午+在+时+二+分+三十+正式+恢复	10	15
664	发言+我+的+到此+结束	5	8
665	现在+会议+暂停	3	6
666	现在+时+二+分+三十五+是	6	9
666	我+原先+的+宣布	4	6
666	时+二+分+三十+会议+恢复	6	9
666	时间+较+了+分钟+五+迟	6	8
667	我+想+不+再+延迟	5	6
668	现在+宣布	2	4
668	正式+复会	2	4
669	会议+现+已+恢复	4	6
669	我+希望	2	3
669	同事+所有+座位+自己+的+返回	6	11
670	我们+让	2	3
670	可以	1	2
670	秩序+地+有	3	4
670	今天+程式+进行	3	6
670	主席+的+选举	3	5
671	我+现在+再+同事+所有+请	6	9
671	座位+自己+的+返回	4	7
672	议员+有	2	3
672	想+问题+规程+提出	4	7
673	但+同事+其他+秘书+请	5	8
673	先行+座位+返回	3	6
673	让	1	1
673	我+帮	2	2
673	工作+一些+文书+做	4	7
674	秘书+没有	2	4
674	帮忙	1	2
674	上+处理	2	3
674	否则+会+比较+困难	4	7
675	我+希望	2	3
675	议员+其他+先+座位+返回	5	9
675	我们+让	2	3
675	可以+会议+进行	3	6
676	如果+大家+问题+任何+规程+有	6	11
676	可以+提出	2	4
677	我+会+大家+时间+给	5	7
678	主席+我+想+问	4	5
678	秘书处+有+否+问题+梁君彦+议员+的+国籍+处理	9	17
679	他+刚才	2	3
680	刚才+我+过+说	4	5
680	有关+议员+的+梁君彦	4	8
680	问题+国籍+不+是+会议+今天+的+讨论+范畴	9	15
681	的+好	2	2
682	请	1	1
682	先+我+让	3	3
682	说	1	1
682	吗+可以	2	3
