sent_id	clause_text	word_n	character_n
651	刚才秘书处已宣布五分钟后复会	8	14
652	现在时间已过了五分钟	7	10
653	我想跟大家说	5	6
653	今天的会议分为两部分	6	10
654	第一部分是刚才大家已完成的宣誓	9	15
655	而第二部分是选举立法会主席	7	13
656	我知道有同事对主席候选人的国籍问题有些意见	13	21
657	要求候选人就某些方面作出澄清	7	14
658	由于今天的会议并没有任何程序	8	14
658	容许我们在会议厅内进行澄清提问辩论或谘询等	12	21
658	因此我们不可以在会议厅内进行这些工作	10	18
659	不过	1	2
659	为让一些关注此事的议员能获澄清	11	15
659	我建议梁君彦议员稍后到会议厅外	8	15
659	向新闻传媒交代他的国籍问题	8	13
660	而关注此事的议员亦可出去聆听他的阐述	13	18
660	以及可以向他提问	5	8
661	在会议厅内	3	5
661	根据议事规则	3	6
661	我不能容许大家提问或作出任何讨论	10	16
662	我现在请关注此事的议员到会议厅外	11	16
662	听取梁君彦议员的交代	5	10
663	我预期会议将在下午二时三十分正式恢复	12	18
664	我的发言到此结束	5	8
665	现在暂停会议	3	6
666	现在是二时三十五分	6	9
666	较我原先宣布二时三十分恢复会议的时间	12	18
666	迟了五分钟	4	5
667	我不想再延迟	5	6
668	现在宣布正式复会	4	8
669	会议现已恢复	4	6
669	我希望所有同事返回自己的座位	8	14
670	让我们今天可以有秩序地进行选举主席的程式	12	20
671	我现在再请所有同事返回自己的座位	10	16
672	有议员想提出规程问题	6	10
673	但请其他同事先行返回座位	7	12
673	让秘书帮我做一些文书工作	8	12
674	否则	1	2
674	没有秘书帮忙	3	6
674	处理上会比较困难	5	8
675	我希望其他议员先返回座位	7	12
675	让我们可以进行会议	5	9
676	如果大家有任何规程问题	6	11
676	可以提出	2	4
677	我会给大家时间	5	7
678	主席	1	2
678	我想问秘书处有否处理梁君彦议员的国籍问题	12	20
679	他刚才	2	3
680	刚才我说过	4	5
680	有关梁君彦议员的国籍问题不是今天会议的讨论范畴	13	23
681	好的	2	2
682	请先让我说	5	5
682	可以吗	2	3
683	我刚才已经说过	5	7
683	为了让大家进一步了解有关梁君彦议员的国籍问题	11	22
