construct	frequency	avg_constituent_len
1	62	2.064516129032258
2	24	1.8958333333333333
3	37	1.6396396396396398
4	63	1.5555555555555556
5	87	1.5770114942528735
6	75	1.5533333333333335
7	75	1.5447619047619046
8	46	1.5951086956521738
9	37	1.5645645645645645
10	44	1.6568181818181817
11	28	1.5389610389610389
12	19	1.587719298245614
13	25	1.7353846153846153
14	14	1.6071428571428572
15	2	1.6666666666666667
16	2	1.5625
17	4	1.5588235294117647
19	3	1.5789473684210527
21	1	1.4285714285714286
23	1	1.608695652173913
