construct	frequency	avg_constituent_len
1	775	1.4632258064516128
2	131	1.713740458015267
3	90	1.551851851851852
4	60	1.6208333333333333
5	42	1.6285714285714286
6	48	1.607638888888889
7	38	1.6240601503759398
8	26	1.5528846153846154
9	20	1.5722222222222222
10	20	1.565
11	18	1.601010101010101
12	12	1.5833333333333333
13	8	1.7019230769230769
14	12	1.6428571428571428
15	8	1.65
16	4	1.609375
17	1	1.588235294117647
18	2	1.5555555555555556
19	2	1.763157894736842
20	3	1.6666666666666667
22	1	1.7272727272727273
25	1	1.88
30	1	1.4666666666666666
33	1	1.7272727272727273
