sent_id	word_char	character_token_n	component_n
651	刚才	2	4
651	秘书处	3	5
651	已	1	1
651	宣布	2	6
651	五	1	1
651	分钟	2	4
651	后	1	3
651	复会	2	6
652	现在	2	4
652	时间	2	4
652	过	1	2
652	了	1	1
653	我	1	2
653	想	1	3
653	跟	1	2
653	大家	2	3
653	说	1	4
653	今天	2	2
653	的	1	2
653	会议	2	5
653	分为	2	3
653	两	1	1
653	部分	2	5
654	第一	2	4
654	是	1	2
654	完成	2	4
654	宣誓	2	7
655	而	1	1
655	第二	2	5
655	选举	2	6
655	立法会	3	7
655	主席	2	5
656	知道	2	4
656	有	1	1
656	同事	2	6
656	对	1	2
656	候选人	3	7
656	国籍	2	7
656	问题	2	4
656	些	1	4
656	意见	2	3
657	要求	2	3
657	就	1	4
657	某些	2	6
657	方面	2	7
657	作出	2	4
657	澄清	2	5
658	由于	2	2
658	并	1	1
658	没有	2	3
658	任何	2	5
658	程序	2	5
658	容许	2	5
658	我们	2	4
658	在	1	2
658	会议厅	3	7
658	内	1	2
658	进行	2	5
658	提问	2	4
658	辩论	2	6
658	或	1	3
658	谘询	2	7
658	等	1	3
658	因此	2	4
658	不	1	1
658	可以	2	4
658	这些	2	6
658	工作	2	3
659	不过	2	3
659	为	1	1
659	让	1	2
659	一些	2	5
659	关注	2	4
659	此	1	2
659	事	1	3
659	议员	2	4
659	能	1	4
659	获	1	3
659	建议	2	4
659	梁君彦	3	7
659	稍后	2	6
659	到	1	2
659	外	1	2
659	向	1	2
659	新闻	2	5
659	传媒	2	5
659	交代	2	4
659	他	1	2
660	亦	1	4
660	可	1	2
660	出去	2	4
660	聆听	2	4
660	阐述	2	5
660	以及	2	3
661	根据	2	6
661	议事	2	5
661	规则	2	4
661	讨论	2	5
662	请	1	2
662	听取	2	4
663	预期	2	5
663	将	1	3
663	下午	2	4
663	二	1	2
663	时	1	2
663	三十	2	4
663	分	1	2
663	正式	2	4
663	恢复	2	6
664	发言	2	5
664	到此	2	4
664	结束	2	4
665	暂停	2	8
666	三十五	3	5
666	较	1	3
666	原先	2	5
666	迟	1	2
667	再	1	1
667	延迟	2	4
669	现	1	2
669	希望	2	6
669	所有	2	3
669	返回	2	6
669	自己	2	3
669	座位	2	6
670	秩序	2	4
670	地	1	2
670	程式	2	5
672	提出	2	4
672	规程	2	5
673	但	1	3
673	其他	2	4
673	先行	2	5
673	秘书	2	3
673	帮	1	3
673	做	1	4
673	文书	2	3
674	否则	2	4
674	帮忙	2	5
674	处理	2	4
674	上	1	2
674	会	1	3
674	比较	2	4
674	困难	2	5
675	先	1	2
676	如果	2	4
677	给	1	4
678	问	1	2
678	否	1	2
680	有关	2	3
680	范畴	2	5
681	好	1	2
682	吗	1	2
683	已经	2	4
683	为了	2	2
683	进一步	3	4
683	了解	2	4
683	特别	2	6
683	安排	2	4
683	梁	1	3
683	和	1	2
684	各位	2	4
684	出席	2	5
684	便	1	2
684	应该	2	4
684	情况	2	5
684	如何	2	5
685	无论	2	4
685	当事人	3	6
685	及	1	1
685	解释	2	6
685	这个	2	3
685	保证	2	5
685	令	1	3
685	满意	2	5
686	作为	2	3
686	主持人	3	6
686	只	1	2
687	确保	2	5
687	得到	2	6
687	答复	2	7
687	场合	2	5
688	中	1	1
688	则	1	2
688	办法	2	3
689	问一问	3	5
689	哪些	2	7
689	曾	1	4
689	举手	2	4
690	看	1	2
691	把	1	2
691	表示	2	5
691	名单	2	4
691	交	1	2
692	因为	2	3
693	争论	2	5
693	权力	2	3
693	这样	2	4
694	只是	2	4
694	执行	2	5
695	其实	2	5
695	也	1	1
695	很	1	2
695	主持	2	5
695	这	1	2
696	附表	2	5
696	一	1	1
696	第六	2	5
696	七	1	1
696	段	1	2
696	规定	2	4
696	由	1	1
696	担任	2	5
696	最	1	3
696	长	1	1
696	来	1	1
697	投票	2	4
697	过程	2	5
698	事情	2	5
698	无法	2	3
699	的话	2	4
699	违反	2	4
700	合法	2	5
701	要	1	2
701	表明	2	4
701	个	1	1
701	究竟	2	5
701	能够	2	8
703	邀请	2	6
704	离开	2	5
704	又	1	1
704	怎样	2	4
704	呢	1	3
705	真的	2	5
705	要紧	2	5
706	不要	2	3
706	骚扰	2	5
706	以便	2	4
706	继续	2	5
707	位	1	2
707	毛孟静	3	5
708	涉及	2	3
711	感谢	2	7
712	故意	2	5
712	为难	2	3
712	你	1	3
712	什么	2	3
713	还	1	2
713	试图	2	7
714	听	1	2
714	罢	1	2
715	封	1	3
715	信	1	2
715	关乎	2	3
715	其	1	2
715	外国	2	5
715	居留权	3	8
716	附上	2	5
716	放弃	2	4
716	声明	2	4
717	相关	2	4
717	却	1	2
717	并不	2	2
717	存在	2	4
718	原来	2	4
718	那	1	2
718	电邮	2	3
719	才	1	1
719	正本	2	4
720	暂时	2	5
720	仍	1	2
720	未	1	1
720	收	1	2
722	基本法	3	7
722	订明	2	4
722	必须	2	3
722	无	1	1
723	即使	2	4
723	都	1	3
723	政府	2	5
723	发出	2	3
723	一定	2	3
723	法律	2	4
723	文件	2	4
724	主要	2	4
724	份	1	3
725	本人	2	3
726	应	1	2
726	待	1	3
727	皆	1	2
727	被	1	2
727	确认	2	4
727	展开	2	4
728	谢谢	2	6
729	与	1	2
731	社会	2	5
731	大众	2	4
732	至于	2	3
732	回应	2	5
733	鉴于	2	4
733	一而再再而三	6	8
733	提供	2	5
733	资料	2	5
733	公开	2	3
733	大	1	1
733	自行	2	5
733	决定	2	4
733	支持	2	5
734	认为	2	3
734	寻求	2	3
735	那么	2	3
735	梁天琦	3	8
736	权利	2	4
736	参选	2	6
736	梁耀忠	3	8
736	考虑	2	4
737	选民	2	4
738	须	1	2
738	按照	2	7
738	所	1	2
738	订	1	2
739	条文	2	4
739	事宜	2	5
740	事实上	3	8
740	昨天	2	3
740	论坛	2	6
743	英国	2	5
744	当然	2	5
746	现时	2	4
746	得	1	4
746	清楚	2	5
747	理解	2	5
747	仍未	2	3
747	收到	2	4
748	试问	2	5
748	怎	1	2
748	这里	2	3
749	据	1	4
749	拥有	2	3
749	国家	2	5
750	提及	2	3
751	透过	2	5
751	途径	2	6
752	既	1	2
752	非	1	1
752	具有	2	3
752	背景	2	6
753	身份	2	4
753	作	1	2
753	回答	2	7
755	不好意思	4	7
755	觉得	2	7
755	插言	2	7
755	礼貌	2	5
757	说法	2	6
758	但是	2	5
758	人	1	1
758	于	1	1
758	半	1	1
758	小时	2	3
758	十	1	1
758	便会	2	5
758	当选	2	5
761	多谢	2	5
762	一旦	2	3
762	发觉	2	4
762	条件	2	4
762	符合	2	6
762	成为	2	2
763	正确	2	4
764	接着	2	5
764	该	1	2
766	坐	1	3
769	件	1	2
771	哪	1	3
774	最后	2	6
775	抗争	2	5
775	同意	2	5
775	走	1	2
775	出来	2	3
775	站	1	3
775	后面	2	8
776	呼吁	2	4
777	一直	2	3
777	下去	2	4
778	影响	2	8
778	阻止	2	3
779	前	1	3
779	首先	2	4
779	需要	2	4
779	确定	2	4
779	梁颂恒	3	10
779	姚松炎	3	7
779	三	1	3
779	投票权	3	6
780	权	1	2
780	你们	2	5
781	接受	2	6
781	包括	2	4
781	资格	2	6
782	代表	2	4
782	说话	2	6
784	许智峯	3	0
785	清醒	2	5
785	想想	2	6
786	判断	2	4
788	多	1	2
788	建制	2	4
788	派	1	3
788	信纳	2	4
788	完全	2	5
788	英籍	2	6
789	种	1	2
789	下	1	2
789	公道	2	4
790	点	1	3
791	身后	2	4
791	数	1	3
791	遇到	2	4
791	障碍	2	7
792	负责	2	4
792	监誓	2	6
792	秘书长	3	4
792	他们	2	4
793	举行	2	6
794	采用	2	4
794	方式	2	4
794	历	1	2
794	届	1	2
794	类似	2	4
795	证明	2	4
795	出现	2	4
796	公平	2	3
796	公义	2	3
797	面对	2	7
797	选	1	3
797	出	1	2
797	代表性	3	6
798	代理	2	4
798	容易	2	4
799	维持	2	5
799	议会	2	5
799	顺利	2	4
800	宪制	2	5
800	全	1	2
800	港	1	4
800	市民	2	3
800	正在	2	4
800	着	1	2
801	此外	2	4
801	一下	2	3
802	合理	2	5
802	理由	2	3
802	旁边	2	3
803	恐怕	2	5
803	涉嫌	2	4
805	经过	2	5
805	多次	2	4
805	劝谕	2	6
805	以	1	2
807	关于	2	3
808	法例	2	5
808	依法	2	4
809	依照	2	6
809	誓词	2	5
809	内容	2	4
810	参与	2	5
810	表决	2	4
811	相信	2	4
811	明白	2	3
813	怀疑	2	6
813	给予	2	5
813	次	1	2
813	机会	2	5
814	做法	2	6
814	兼顾	2	4
814	人情	2	3
815	第三	2	6
815	质疑	2	7
815	早	1	2
815	关心	2	3
817	及后	2	4
817	领事馆	3	8
817	供	1	3
817	参阅	2	7
818	证书	2	3
820	最低限度	4	10
820	此刻	2	4
820	新	1	3
820	证据	2	6
820	指	1	3
821	既然	2	5
821	定	1	2
821	今	1	1
821	天	1	1
821	订定	2	4
822	正如	2	4
822	一样	2	3
822	可能	2	6
822	不同	2	4
822	有误	2	4
823	日后	2	4
823	跟进	2	4
823	司法	2	5
823	覆核	2	7
825	公正	2	4
826	留意	2	5
826	有些	2	5
826	其中	2	3
826	提	1	2
827	虽然	2	5
827	政治	2	5
827	立场	2	4
827	抱持	2	6
827	态度	2	5
827	阻碍	2	6
827	既定	2	4
827	议程	2	5
828	至今	2	3
828	浪费	2	4
829	阁下	2	5
829	项	1	2
829	所以	2	4
829	直接	2	5
829	进入	2	3
831	观点	2	5
831	严谨	2	6
831	谨慎	2	6
832	实	1	3
832	难以	2	4
832	单凭	2	5
832	副本	2	6
832	予以	2	3
833	后果	2	5
833	十分	2	3
833	重大	2	2
833	足以	2	4
833	带来	2	4
833	危机	2	5
834	如此	2	4
834	草率	2	5
834	仓促	2	4
835	另	1	2
835	国籍法	3	9
835	取消	2	5
835	当中	2	3
835	争议	2	4
836	似乎	2	3
836	充分	2	4
837	第七十一	4	6
837	条	1	2
837	之前	2	4
837	刻	1	2
838	提到	2	4
839	责任	2	4
839	结果	2	5
840	属于	2	3
840	范围	2	5
840	中止	2	2
840	整个	2	4
841	风险	2	5
841	适宜	2	4
844	李慧琼	3	10
844	言	1	4
844	很多	2	4
844	香港	2	6
844	观看	2	4
845	正	1	2
845	因	1	2
845	更	1	1
845	高	1	4
846	最大	2	4
847	名	1	2
847	大学生	3	5
848	程度	2	6
848	比	1	1
848	大学	2	4
848	学生会	3	7
848	不如	2	3
849	尚	1	3
849	开展	2	4
850	口头	2	2
851	那些	2	6
851	信件	2	4
851	证实	2	5
851	口头上	3	4
852	倘若	2	7
852	取信于民	4	6
852	重新	2	4
852	取得	2	6
852	信任	2	4
852	每	1	2
852	按	1	3
852	章	1	2
852	即	1	2
852	查	1	3
853	书面	2	6
853	效力	2	4
853	本应	2	4
853	简单	2	5
854	参加	2	5
854	需	1	2
854	学生证	3	6
854	学生	2	4
855	连	1	2
855	取信于人	4	6
857	弄	1	2
857	多少	2	4
858	基本	2	5
858	精神	2	4
858	充足	2	4
859	基于	2	4
859	理据	2	6
859	无理	2	3
859	凭	1	3
859	个人	2	2
859	能力	2	5
861	成功	2	3
861	然后	2	6
862	陈维安	3	6
862	基础	2	6
863	翻看	2	5
863	录影	2	7
863	片段	2	3
863	完整	2	6
863	读	1	3
863	完	1	3
865	语气	2	6
865	标准	2	4
865	无权	2	3
866	面前	2	8
868	众多	2	5
868	广大	2	2
868	民意	2	3
868	直选	2	5
869	展示	2	6
869	粗疏	2	4
870	拿	1	4
871	像	1	2
872	糟糕	2	6
872	厘清	2	4
873	海	1	3
873	神仙	2	4
874	乐意	2	4
875	具体	2	4
876	以至	2	4
876	合	1	3
877	混乱	2	5
877	怕	1	2
877	背负	2	4
877	压力	2	3
878	耐心	2	3
878	裁决	2	4
879	服众	2	5
881	对于	2	3
881	只有	2	3
881	限制	2	4
882	当选者	3	7
883	绝对	2	4
883	义务	2	3
883	手续	2	4
883	并且	2	2
883	视听	2	4
884	维护	2	4
885	仍然	2	5
885	盖	1	2
885	正规	2	4
885	印章	2	4
886	除了	2	4
886	设置	2	5
886	投票箱	3	7
886	分别	2	5
886	投	1	2
886	废票	2	4
886	涂谨申	3	6
887	相当	2	4
887	未来	2	2
887	任期	2	5
887	公众	2	5
887	利益	2	5
887	莫大	2	4
887	关系	2	4
890	依书直说	4	9
890	引述	2	4
890	加入	2	3
891	况且	2	4
891	宜	1	2
892	未必	2	2
892	无误	2	4
893	参考	2	5
893	而已	2	2
894	不论	2	4
894	以往	2	4
896	修正	2	5
897	没	1	2
900	第十二	3	6
900	首	1	2
900	明	1	2
901	本	1	2
901	宗教	2	5
901	式	1	2
901	非宗教	3	6
902	第四	2	6
903	先后	2	5
903	次序	2	4
904	款	1	3
906	严重	2	5
907	就座	2	8
911	改选	2	5
912	和应	2	4
912	谢伟俊	3	9
913	称职	2	6
916	在席	2	5
918	是否	2	4
918	建基于	3	6
919	有效	2	4
919	准许	2	5
921	未曾	2	5
921	具	1	2
925	当	1	2
925	阶段	2	5
925	仪式	2	4
926	搞	1	2
926	错	1	3
926	逻辑	2	6
928	在于	2	3
929	先前	2	5
