sent_id	word_char	upos	character_token_n	component_n
651	刚才	ADV	2	4
651	秘书处	NOUN	3	5
651	已	ADV	1	1
651	宣布	VERB	2	6
651	五	NUM	1	1
651	分钟	NOUN	2	4
651	后	ADP	1	3
651	复会	VERB	2	6
652	现在	NOUN	2	4
652	时间	NOUN	2	4
652	已	ADV	1	1
652	过	VERB	1	2
652	了	AUX	1	1
652	五	NUM	1	1
652	分钟	NOUN	2	4
653	我	PRON	1	2
653	想	AUX	1	3
653	跟	ADP	1	2
653	大家	PRON	2	3
653	说	VERB	1	4
653	今天	NOUN	2	2
653	的	PART	1	2
653	会议	NOUN	2	5
653	分为	VERB	2	3
653	两	NUM	1	1
653	部分	NOUN	2	5
654	第一	ADJ	2	4
654	部分	NOUN	2	5
654	是	AUX	1	2
654	刚才	ADV	2	4
654	大家	PRON	2	3
654	已	ADV	1	1
654	完成	VERB	2	4
654	的	PART	1	2
654	宣誓	NOUN	2	7
655	而	CCONJ	1	1
655	第二	ADJ	2	5
655	部分	NOUN	2	5
655	是	VERB	1	2
655	选举	VERB	2	6
655	立法会	NOUN	3	7
655	主席	NOUN	2	5
656	我	PRON	1	2
656	知道	VERB	2	4
656	有	VERB	1	1
656	同事	NOUN	2	6
656	对	ADP	1	2
656	主席	NOUN	2	5
656	候选人	NOUN	3	7
656	的	PART	1	2
656	国籍	NOUN	2	7
656	问题	NOUN	2	4
656	有	ADV	1	1
656	些	NOUN	1	4
656	意见	NOUN	2	3
657	要求	VERB	2	3
657	候选人	NOUN	3	7
657	就	ADP	1	4
657	某些	DET	2	6
657	方面	NOUN	2	7
657	作出	VERB	2	4
657	澄清	NOUN	2	5
658	由于	SCONJ	2	2
658	今天	NOUN	2	2
658	的	PART	1	2
658	会议	NOUN	2	5
658	并	ADV	1	1
658	没有	VERB	2	3
658	任何	DET	2	5
658	程序	NOUN	2	5
658	容许	VERB	2	5
658	我们	PRON	2	4
658	在	ADP	1	2
658	会议厅	NOUN	3	7
658	内	ADP	1	2
658	进行	VERB	2	5
658	澄清	NOUN	2	5
658	提问	NOUN	2	4
658	辩论	NOUN	2	6
658	或	CCONJ	1	3
658	谘询	NOUN	2	7
658	等	PART	1	3
658	因此	ADV	2	4
658	我们	PRON	2	4
658	不	ADV	1	1
658	可以	AUX	2	4
658	在	ADP	1	2
658	会议厅	NOUN	3	7
658	内	ADP	1	2
658	进行	VERB	2	5
658	这些	DET	2	6
658	工作	NOUN	2	3
659	不过	ADV	2	3
659	为	ADP	1	1
659	让	VERB	1	2
659	一些	DET	2	5
659	关注	VERB	2	4
659	此	DET	1	2
659	事	NOUN	1	3
659	的	PART	1	2
659	议员	NOUN	2	4
659	能	AUX	1	4
659	获	VERB	1	3
659	澄清	NOUN	2	5
659	我	PRON	1	2
659	建议	VERB	2	4
659	议员	NOUN	2	4
659	稍后	ADV	2	6
659	到	ADP	1	2
659	会议厅	NOUN	3	7
659	外	ADP	1	2
659	向	VERB	1	2
659	新闻	NOUN	2	5
659	传媒	NOUN	2	5
659	交代	VERB	2	4
659	他	PRON	1	2
659	的	PART	1	2
659	国籍	NOUN	2	7
659	问题	NOUN	2	4
660	而	CCONJ	1	1
660	关注	VERB	2	4
660	此	DET	1	2
660	事	NOUN	1	3
660	的	PART	1	2
660	议员	NOUN	2	4
660	亦	ADV	1	4
660	可	AUX	1	2
660	出去	VERB	2	4
660	聆听	VERB	2	4
660	他	PRON	1	2
660	的	PART	1	2
660	阐述	NOUN	2	5
660	以及	CCONJ	2	3
660	可以	AUX	2	4
660	向	ADP	1	2
660	他	PRON	1	2
660	提问	VERB	2	4
661	在	ADP	1	2
661	会议厅	NOUN	3	7
661	内	NOUN	1	2
661	根据	ADP	2	6
661	议事	VERB	2	5
661	规则	NOUN	2	4
661	我	PRON	1	2
661	不	ADV	1	1
661	能	AUX	1	4
661	容许	VERB	2	5
661	大家	PRON	2	3
661	提问	VERB	2	4
661	或	CCONJ	1	3
661	作出	VERB	2	4
661	任何	DET	2	5
661	讨论	NOUN	2	5
662	我	PRON	1	2
662	现在	NOUN	2	4
662	请	VERB	1	2
662	关注	VERB	2	4
662	此	DET	1	2
662	事	NOUN	1	3
662	的	PART	1	2
662	议员	NOUN	2	4
662	到	ADP	1	2
662	会议厅	NOUN	3	7
662	外	NOUN	1	2
662	听取	VERB	2	4
662	议员	NOUN	2	4
662	的	PART	1	2
662	交代	NOUN	2	4
663	我	PRON	1	2
663	预期	VERB	2	5
663	会议	NOUN	2	5
663	将	ADV	1	3
663	在	ADP	1	2
663	下午	NOUN	2	4
663	二	NUM	1	2
663	时	NOUN	1	2
663	三十	NUM	2	4
663	分	NOUN	1	2
663	正式	ADV	2	4
663	恢复	VERB	2	6
664	我	PRON	1	2
664	的	PART	1	2
664	发言	NOUN	2	5
664	到此	ADV	2	4
664	结束	VERB	2	4
665	现在	NOUN	2	4
665	暂停	VERB	2	8
665	会议	NOUN	2	5
666	现在	NOUN	2	4
666	是	VERB	1	2
666	二	NUM	1	2
666	时	NOUN	1	2
666	三十五	NUM	3	5
666	分	NOUN	1	2
666	较	ADP	1	3
666	我	PRON	1	2
666	原先	ADV	2	5
666	宣布	VERB	2	6
666	二	NUM	1	2
666	时	NOUN	1	2
666	三十	NUM	2	4
666	分	NOUN	1	2
666	恢复	VERB	2	6
666	会议	NOUN	2	5
666	的	PART	1	2
666	时间	NOUN	2	4
666	迟	ADJ	1	2
666	了	AUX	1	1
666	五	NUM	1	1
666	分钟	NOUN	2	4
667	我	PRON	1	2
667	不	ADV	1	1
667	想	AUX	1	3
667	再	ADV	1	1
667	延迟	VERB	2	4
668	现在	NOUN	2	4
668	宣布	VERB	2	6
668	正式	ADV	2	4
668	复会	VERB	2	6
669	会议	NOUN	2	5
669	现	ADV	1	2
669	已	ADV	1	1
669	恢复	VERB	2	6
669	我	PRON	1	2
669	希望	VERB	2	6
669	所有	DET	2	3
669	同事	NOUN	2	6
669	返回	VERB	2	6
669	自己	PRON	2	3
669	的	PART	1	2
669	座位	NOUN	2	6
670	让	VERB	1	2
670	我们	PRON	2	4
670	今天	NOUN	2	2
670	可以	AUX	2	4
670	有	VERB	1	1
670	秩序	NOUN	2	4
670	地	PART	1	2
670	进行	VERB	2	5
670	选举	VERB	2	6
670	主席	NOUN	2	5
670	的	PART	1	2
670	程式	NOUN	2	5
671	我	PRON	1	2
671	现在	NOUN	2	4
671	再	ADV	1	1
671	请	VERB	1	2
671	所有	DET	2	3
671	同事	NOUN	2	6
671	返回	VERB	2	6
671	自己	PRON	2	3
671	的	PART	1	2
671	座位	NOUN	2	6
672	有	VERB	1	1
672	议员	NOUN	2	4
672	想	AUX	1	3
672	提出	VERB	2	4
672	规程	NOUN	2	5
672	问题	NOUN	2	4
673	但	CCONJ	1	3
673	请	VERB	1	2
673	其他	DET	2	4
673	同事	NOUN	2	6
673	先行	ADV	2	5
673	返回	VERB	2	6
673	座位	NOUN	2	6
673	让	VERB	1	2
673	秘书	NOUN	2	3
673	帮	VERB	1	3
673	我	PRON	1	2
673	做	VERB	1	4
673	一些	DET	2	5
673	文书	NOUN	2	3
673	工作	NOUN	2	3
674	否则	ADV	2	4
674	没有	VERB	2	3
674	秘书	NOUN	2	3
674	帮忙	VERB	2	5
674	处理	VERB	2	4
674	上	ADP	1	2
674	会	AUX	1	3
674	比较	ADV	2	4
674	困难	ADJ	2	5
675	我	PRON	1	2
675	希望	VERB	2	6
675	其他	DET	2	4
675	议员	NOUN	2	4
675	先	ADV	1	2
675	返回	VERB	2	6
675	座位	NOUN	2	6
675	让	VERB	1	2
675	我们	PRON	2	4
675	可以	AUX	2	4
675	进行	VERB	2	5
675	会议	NOUN	2	5
676	如果	SCONJ	2	4
676	大家	PRON	2	3
676	有	VERB	1	1
676	任何	DET	2	5
676	规程	NOUN	2	5
676	问题	NOUN	2	4
676	可以	AUX	2	4
676	提出	VERB	2	4
677	我	PRON	1	2
677	会	AUX	1	3
677	给	VERB	1	4
677	大家	PRON	2	3
677	时间	NOUN	2	4
678	主席	NOUN	2	5
678	我	PRON	1	2
678	想	AUX	1	3
678	问	VERB	1	2
678	秘书处	NOUN	3	5
678	有	AUX	1	1
678	否	ADV	1	2
678	处理	VERB	2	4
678	议员	NOUN	2	4
678	的	PART	1	2
678	国籍	NOUN	2	7
678	问题	NOUN	2	4
679	他	PRON	1	2
679	刚才	ADV	2	4
680	刚才	ADV	2	4
680	我	PRON	1	2
680	说	VERB	1	4
680	过	AUX	1	2
680	有关	ADP	2	3
680	议员	NOUN	2	4
680	的	PART	1	2
680	国籍	NOUN	2	7
680	问题	NOUN	2	4
680	不	ADV	1	1
680	是	AUX	1	2
680	今天	NOUN	2	2
680	会议	NOUN	2	5
680	的	PART	1	2
680	讨论	VERB	2	5
680	范畴	NOUN	2	5
681	好	INTJ	1	2
681	的	PART	1	2
682	请	VERB	1	2
682	先	ADV	1	2
682	让	VERB	1	2
682	我	PRON	1	2
682	说	VERB	1	4
682	可以	VERB	2	4
682	吗	PART	1	2
683	我	PRON	1	2
683	刚才	ADV	2	4
683	已经	ADV	2	4
683	说	VERB	1	4
683	过	AUX	1	2
683	为了	ADP	2	2
683	让	VERB	1	2
683	大家	PRON	2	3
683	进一步	ADV	3	4
683	了解	VERB	2	4
683	有关	ADP	2	3
683	议员	NOUN	2	4
683	的	PART	1	2
683	国籍	NOUN	2	7
683	问题	NOUN	2	4
683	或	CCONJ	1	3
683	要求	VERB	2	3
683	他	PRON	1	2
683	澄清	VERB	2	5
683	我	PRON	1	2
683	已	ADV	1	1
683	作出	VERB	2	4
683	特别	ADV	2	6
683	安排	VERB	2	4
683	时间	NOUN	2	4
683	让	VERB	1	2
683	议员	NOUN	2	4
683	在	ADP	1	2
683	会议厅	NOUN	3	7
683	外	ADP	1	2
683	向	ADP	1	2
683	传媒	NOUN	2	5
683	作出	VERB	2	4
683	交代	NOUN	2	4
683	和	CCONJ	1	2
683	澄清	NOUN	2	5
684	如果	SCONJ	2	4
684	各位	PRON	2	4
684	刚才	ADV	2	4
684	有	AUX	1	1
684	出席	VERB	2	5
684	便	ADV	1	2
684	应该	AUX	2	4
684	知道	VERB	2	4
684	情况	NOUN	2	5
684	如何	ADV	2	5
685	不过	ADV	2	3
685	无论	SCONJ	2	4
685	当事人	NOUN	3	6
685	如何	ADV	2	5
685	澄清	VERB	2	5
685	及	CCONJ	1	1
685	解释	VERB	2	6
685	在	ADP	1	2
685	这个	DET	2	3
685	会议	NOUN	2	5
685	上	ADP	1	2
685	我	PRON	1	2
685	不	ADV	1	1
685	能	AUX	1	4
685	保证	VERB	2	5
685	令	VERB	1	3
685	大家	PRON	2	3
685	满意	ADJ	2	5
686	作为	ADP	2	3
686	会议	NOUN	2	5
686	主持人	NOUN	3	6
686	我	PRON	1	2
686	只	ADV	1	2
686	能	AUX	1	4
686	根据	ADP	2	6
686	会议	NOUN	2	5
686	规则	NOUN	2	4
686	进行	VERB	2	5
686	程序	NOUN	2	5
687	如果	SCONJ	2	4
687	议员	NOUN	2	4
687	想	AUX	1	3
687	确保	VERB	2	5
687	他	PRON	1	2
687	的	PART	1	2
687	问题	NOUN	2	4
687	得到	VERB	2	6
687	满意	ADJ	2	5
687	的	PART	1	2
687	答复	NOUN	2	7
687	可以	AUX	2	4
687	在	ADP	1	2
687	其他	DET	2	4
687	场合	NOUN	2	5
687	提出	VERB	2	4
688	今天	NOUN	2	2
688	的	PART	1	2
688	会议	NOUN	2	5
688	中	ADP	1	1
688	则	ADV	1	2
688	没有	VERB	2	3
688	办法	NOUN	2	3
688	处理	VERB	2	4
688	这个	DET	2	3
688	问题	NOUN	2	4
689	我	PRON	1	2
689	现在	NOUN	2	4
689	想	AUX	1	3
689	问一问	VERB	3	5
689	刚才	ADV	2	4
689	有	VERB	1	1
689	哪些	DET	2	7
689	议员	NOUN	2	4
689	曾	ADV	1	4
689	举手	VERB	2	4
689	想	AUX	1	3
689	提出	VERB	2	4
689	规程	NOUN	2	5
689	问题	NOUN	2	4
690	我	PRON	1	2
690	看	VERB	1	2
690	不	ADV	1	1
690	到	VERB	1	2
691	请	VERB	1	2
691	秘书	NOUN	2	3
691	帮忙	VERB	2	5
691	把	ADP	1	2
691	曾	ADV	1	4
691	举手	VERB	2	4
691	表示	VERB	2	5
691	想	AUX	1	3
691	提出	VERB	2	4
691	规程	NOUN	2	5
691	问题	NOUN	2	4
691	的	PART	1	2
691	议员	NOUN	2	4
691	名单	NOUN	2	4
691	交	VERB	1	2
691	给	ADP	1	4
691	我	PRON	1	2
692	因为	ADV	2	3
692	我	PRON	1	2
692	看	VERB	1	2
