sent_id	word_char	character_token_n	stroke_n
651	刚才	2	9
651	秘书处	3	19
651	已	1	3
651	宣布	2	14
651	五	1	4
651	分钟	2	13
651	后	1	6
651	复会	2	15
652	现在	2	14
652	时间	2	14
652	已	1	3
652	过	1	6
652	了	1	2
652	五	1	4
652	分钟	2	13
653	我	1	7
653	想	1	13
653	跟	1	13
653	大家	2	13
653	说	1	9
653	今天	2	8
653	的	1	8
653	会议	2	11
653	分为	2	8
653	两	1	7
653	部分	2	14
654	第一	2	12
654	部分	2	14
654	是	1	9
654	刚才	2	9
654	大家	2	13
654	已	1	3
654	完成	2	13
654	的	1	8
654	宣誓	2	23
655	而	1	6
655	第二	2	13
655	部分	2	14
655	是	1	9
655	选举	2	18
655	立法会	3	19
655	主席	2	15
656	我	1	7
656	知道	2	22
656	有	1	6
656	同事	2	14
656	对	1	5
656	主席	2	15
656	候选人	3	21
656	的	1	8
656	国籍	2	28
656	问题	2	21
656	有	1	6
656	些	1	8
656	意见	2	17
657	要求	2	16
657	候选人	3	21
657	就	1	12
657	某些	2	17
657	方面	2	13
657	作出	2	12
657	澄清	2	26
658	由于	2	8
658	今天	2	8
658	的	1	8
658	会议	2	11
658	并	1	6
658	没有	2	13
658	任何	2	13
658	程序	2	19
658	容许	2	15
658	我们	2	12
658	在	1	6
658	会议厅	3	15
658	内	1	4
658	进行	2	13
658	澄清	2	26
658	提问	2	18
658	辩论	2	22
658	或	1	8
658	谘询	2	19
658	等	1	12
658	因此	2	12
658	我们	2	12
658	不	1	4
658	可以	2	9
658	在	1	6
658	会议厅	3	15
658	内	1	4
658	进行	2	13
658	这些	2	15
658	工作	2	10
659	不过	2	10
659	为	1	4
659	让	1	5
659	一些	2	9
659	关注	2	14
659	此	1	6
659	事	1	8
659	的	1	8
659	议员	2	12
659	能	1	10
659	获	1	10
659	澄清	2	26
659	我	1	7
659	建议	2	13
659	梁君彦	3	27
659	议员	2	12
659	稍后	2	18
659	到	1	8
659	会议厅	3	15
659	外	1	5
659	向	1	6
659	新闻	2	21
659	传媒	2	18
659	交代	2	11
659	他	1	5
659	的	1	8
659	国籍	2	28
659	问题	2	21
660	而	1	6
660	关注	2	14
660	此	1	6
660	事	1	8
660	的	1	8
660	议员	2	12
660	亦	1	6
660	可	1	5
660	出去	2	10
660	聆听	2	18
660	他	1	5
660	的	1	8
660	阐述	2	19
660	以及	2	7
660	可以	2	9
660	向	1	6
660	他	1	5
660	提问	2	18
661	在	1	6
661	会议厅	3	15
661	内	1	4
661	根据	2	21
661	议事	2	13
661	规则	2	14
661	我	1	7
661	不	1	4
661	能	1	10
661	容许	2	15
661	大家	2	13
661	提问	2	18
661	或	1	8
661	作出	2	12
661	任何	2	13
661	讨论	2	11
662	我	1	7
662	现在	2	14
662	请	1	10
662	关注	2	14
662	此	1	6
662	事	1	8
662	的	1	8
662	议员	2	12
662	到	1	8
662	会议厅	3	15
662	外	1	5
662	听取	2	15
662	梁君彦	3	27
662	议员	2	12
662	的	1	8
662	交代	2	11
663	我	1	7
663	预期	2	22
663	会议	2	11
663	将	1	9
663	在	1	6
663	下午	2	7
663	二	1	2
663	时	1	7
663	三十	2	5
663	分	1	4
663	正式	2	11
663	恢复	2	18
664	我	1	7
664	的	1	8
664	发言	2	12
664	到此	2	14
664	结束	2	16
665	现在	2	14
665	暂停	2	23
665	会议	2	11
666	现在	2	14
666	是	1	9
666	二	1	2
666	时	1	7
666	三十五	3	9
666	分	1	4
666	较	1	10
666	我	1	7
666	原先	2	16
666	宣布	2	14
666	二	1	2
666	时	1	7
666	三十	2	5
666	分	1	4
666	恢复	2	18
666	会议	2	11
666	的	1	8
666	时间	2	14
666	迟	1	7
666	了	1	2
666	五	1	4
666	分钟	2	13
667	我	1	7
667	不	1	4
667	想	1	13
667	再	1	6
667	延迟	2	13
668	现在	2	14
668	宣布	2	14
668	正式	2	11
668	复会	2	15
669	会议	2	11
669	现	1	8
669	已	1	3
669	恢复	2	18
669	我	1	7
669	希望	2	18
669	所有	2	14
669	同事	2	14
669	返回	2	13
669	自己	2	9
669	的	1	8
669	座位	2	17
670	让	1	5
670	我们	2	12
670	今天	2	8
670	可以	2	9
670	有	1	6
670	秩序	2	17
670	地	1	6
670	进行	2	13
670	选举	2	18
670	主席	2	15
670	的	1	8
670	程式	2	18
671	我	1	7
671	现在	2	14
671	再	1	6
671	请	1	10
671	所有	2	14
671	同事	2	14
671	返回	2	13
671	自己	2	9
671	的	1	8
671	座位	2	17
672	有	1	6
672	议员	2	12
672	想	1	13
672	提出	2	17
672	规程	2	20
672	问题	2	21
673	但	1	7
673	请	1	10
673	其他	2	13
673	同事	2	14
673	先行	2	12
673	返回	2	13
673	座位	2	17
673	让	1	5
673	秘书	2	14
673	帮	1	9
673	我	1	7
673	做	1	11
673	一些	2	9
673	文书	2	8
673	工作	2	10
674	否则	2	13
674	没有	2	13
674	秘书	2	14
674	帮忙	2	15
674	处理	2	16
674	上	1	3
674	会	1	6
674	比较	2	14
674	困难	2	17
675	我	1	7
675	希望	2	18
675	其他	2	13
675	议员	2	12
675	先	1	6
675	返回	2	13
675	座位	2	17
675	让	1	5
675	我们	2	12
675	可以	2	9
675	进行	2	13
675	会议	2	11
676	如果	2	14
676	大家	2	13
676	有	1	6
676	任何	2	13
676	规程	2	20
676	问题	2	21
676	可以	2	9
676	提出	2	17
677	我	1	7
677	会	1	6
677	给	1	9
677	大家	2	13
677	时间	2	14
678	主席	2	15
678	我	1	7
678	想	1	13
678	问	1	6
678	秘书处	3	19
678	有	1	6
678	否	1	7
678	处理	2	16
678	梁君彦	3	27
678	议员	2	12
678	的	1	8
678	国籍	2	28
678	问题	2	21
679	他	1	5
679	刚才	2	9
680	刚才	2	9
680	我	1	7
680	说	1	9
