sent_id	word_char	character_token_n	stroke_n
651	刚才	2	9
651	秘书处	3	19
651	已	1	3
651	宣布	2	14
651	五	1	4
651	分钟	2	13
651	后	1	6
651	复会	2	15
652	现在	2	14
652	时间	2	14
652	过	1	6
652	了	1	2
653	我	1	7
653	想	1	13
653	跟	1	13
653	大家	2	13
653	说	1	9
653	今天	2	8
653	的	1	8
653	会议	2	11
653	分为	2	8
653	两	1	7
653	部分	2	14
654	第一	2	12
654	是	1	9
654	完成	2	13
654	宣誓	2	23
655	而	1	6
655	第二	2	13
655	选举	2	18
655	立法会	3	19
655	主席	2	15
656	知道	2	22
656	有	1	6
656	同事	2	14
656	对	1	5
656	候选人	3	21
656	国籍	2	28
656	问题	2	21
656	些	1	8
656	意见	2	17
657	要求	2	16
657	就	1	12
657	某些	2	17
657	方面	2	13
657	作出	2	12
657	澄清	2	26
658	由于	2	8
658	并	1	6
658	没有	2	13
658	任何	2	13
658	程序	2	19
658	容许	2	15
658	我们	2	12
658	在	1	6
658	会议厅	3	15
658	内	1	4
658	进行	2	13
658	提问	2	18
658	辩论	2	22
658	或	1	8
658	谘询	2	19
658	等	1	12
658	因此	2	12
658	不	1	4
658	可以	2	9
658	这些	2	15
658	工作	2	10
659	不过	2	10
659	为	1	4
659	让	1	5
659	一些	2	9
659	关注	2	14
659	此	1	6
659	事	1	8
659	议员	2	12
659	能	1	10
659	获	1	10
659	建议	2	13
659	梁君彦	3	27
659	稍后	2	18
659	到	1	8
659	外	1	5
659	向	1	6
659	新闻	2	21
659	传媒	2	18
659	交代	2	11
659	他	1	5
660	亦	1	6
660	可	1	5
660	出去	2	10
660	聆听	2	18
660	阐述	2	19
660	以及	2	7
661	根据	2	21
661	议事	2	13
661	规则	2	14
661	讨论	2	11
662	请	1	10
662	听取	2	15
663	预期	2	22
663	将	1	9
663	下午	2	7
663	二	1	2
663	时	1	7
663	三十	2	5
663	分	1	4
663	正式	2	11
663	恢复	2	18
664	发言	2	12
664	到此	2	14
664	结束	2	16
665	暂停	2	23
666	三十五	3	9
666	较	1	10
666	原先	2	16
666	迟	1	7
667	再	1	6
667	延迟	2	13
669	现	1	8
669	希望	2	18
669	所有	2	14
669	返回	2	13
669	自己	2	9
669	座位	2	17
670	秩序	2	17
670	地	1	6
670	程式	2	18
672	提出	2	17
672	规程	2	20
673	但	1	7
673	其他	2	13
673	先行	2	12
673	秘书	2	14
673	帮	1	9
673	做	1	11
673	文书	2	8
674	否则	2	13
674	帮忙	2	15
674	处理	2	16
674	上	1	3
674	会	1	6
674	比较	2	14
674	困难	2	17
675	先	1	6
676	如果	2	14
677	给	1	9
678	问	1	6
678	否	1	7
680	有关	2	12
680	范畴	2	20
681	好	1	6
682	吗	1	6
683	已经	2	11
683	为了	2	6
683	进一步	3	15
683	了解	2	15
683	特别	2	17
683	安排	2	17
683	梁	1	11
683	和	1	8
684	各位	2	13
684	出席	2	15
684	便	1	9
684	应该	2	15
684	情况	2	18
684	如何	2	13
685	无论	2	10
685	当事人	3	16
685	及	1	3
685	解释	2	25
685	这个	2	10
685	保证	2	16
685	令	1	5
685	满意	2	26
686	作为	2	11
686	主持人	3	16
686	只	1	5
687	确保	2	21
687	得到	2	19
687	答复	2	21
687	场合	2	12
688	中	1	4
688	则	1	6
688	办法	2	12
689	问一问	3	13
689	哪些	2	17
689	曾	1	12
689	举手	2	13
690	看	1	9
691	把	1	7
691	表示	2	13
691	名单	2	14
691	交	1	6
692	因为	2	10
693	争论	2	12
693	权力	2	8
693	这样	2	17
694	只是	2	14
694	执行	2	20
695	其实	2	16
695	也	1	3
695	很	1	9
695	主持	2	14
695	这	1	7
696	附表	2	15
696	一	1	1
696	第六	2	15
696	七	1	2
696	段	1	9
696	规定	2	16
696	由	1	5
696	担任	2	14
696	最	1	12
696	长	1	4
696	来	1	7
697	投票	2	18
697	过程	2	18
698	事情	2	19
698	无法	2	12
699	的话	2	16
699	违反	2	11
700	合法	2	14
701	要	1	9
701	表明	2	16
701	个	1	3
701	究竟	2	18
701	能够	2	21
703	邀请	2	26
704	离开	2	14
704	又	1	2
704	怎样	2	19
704	呢	1	8
705	真的	2	18
705	要紧	2	19
706	不要	2	13
706	骚扰	2	19
706	以便	2	13
706	继续	2	21
707	位	1	7
707	毛孟静	3	26
708	涉及	2	13
711	感谢	2	25
712	故意	2	22
712	为难	2	14
712	你	1	7
712	什么	2	7
713	还	1	7
713	试图	2	16
714	听	1	7
714	罢	1	10
715	封	1	9
715	信	1	9
715	关乎	2	12
715	其	1	8
715	外国	2	13
715	居留权	3	24
716	附上	2	10
716	放弃	2	15
716	声明	2	15
717	相关	2	15
717	却	1	7
717	并不	2	10
717	存在	2	12
718	原来	2	17
718	那	1	6
718	电邮	2	12
719	才	1	3
719	正本	2	10
720	暂时	2	19
720	仍	1	6
720	未	1	5
720	收	1	6
722	基本法	3	24
722	订明	2	12
722	必须	2	14
722	无	1	4
723	即使	2	15
723	都	1	10
723	政府	2	17
723	发出	2	10
723	一定	2	9
723	法律	2	17
723	文件	2	10
724	主要	2	14
724	份	1	6
725	本人	2	7
726	应	1	7
726	待	1	9
727	皆	1	9
727	被	1	10
727	确认	2	16
727	展开	2	14
728	谢谢	2	24
729	与	1	3
731	社会	2	13
731	大众	2	9
732	至于	2	9
732	回应	2	13
733	鉴于	2	16
733	一而再再而三	6	28
733	提供	2	20
733	资料	2	20
733	公开	2	8
733	大	1	3
733	自行	2	12
733	决定	2	14
733	支持	2	13
734	认为	2	8
734	寻求	2	13
735	那么	2	9
735	梁天琦	3	27
736	权利	2	13
736	参选	2	17
736	梁耀忠	3	39
736	考虑	2	16
737	选民	2	14
738	须	1	9
738	按照	2	22
738	所	1	8
738	订	1	4
739	条文	2	11
739	事宜	2	16
