sent_id	word_sound	character_token_n	sound_n
651	['gaŋ', 'c#']	2	5
651	['mi', '$u', '$u']	3	6
651	['yi']	1	2
651	['xuan', 'bu']	2	6
651	['wu']	1	2
651	['fen', '$oŋ']	2	6
651	['h#']	1	2
651	['fu', 'hui']	2	5
652	['xian', 'z#']	2	6
652	['$i', 'jian']	2	6
652	['yi']	1	2
652	['guo']	1	3
652	['le']	1	2
652	['wu']	1	2
652	['fen', '$oŋ']	2	6
653	['wo']	1	2
653	['xiaŋ']	1	4
653	['gen']	1	3
653	['da', 'jia']	2	5
653	['$uo']	1	3
653	['jin', 'tian']	2	7
653	['de']	1	2
653	['hui', 'yi']	2	5
653	['fen', 'w#']	2	5
653	['liaŋ']	1	4
653	['bu', 'fen']	2	5
654	['di', 'yi']	2	4
654	['bu', 'fen']	2	5
654	['$i']	1	2
654	['gaŋ', 'c#']	2	5
654	['da', 'jia']	2	5
654	['yi']	1	2
654	['wan', '$eŋ']	2	6
654	['de']	1	2
654	['xuan', '$i']	2	6
655	['er']	1	2
655	['di', 'er']	2	4
655	['bu', 'fen']	2	5
655	['$i']	1	2
655	['xuan', 'ju']	2	6
655	['li', 'fa', 'hui']	3	7
655	['$u', 'xi']	2	4
656	['wo']	1	2
656	['$i', 'd#']	2	4
656	['y#']	1	2
656	['toŋ', '$i']	2	5
656	['dui']	1	3
656	['$u', 'xi']	2	4
656	['h#', 'xuan', 'ren']	3	9
656	['de']	1	2
656	['guo', 'ji']	2	5
656	['wen', 'ti']	2	5
656	['y#']	1	2
656	['xie']	1	3
656	['yi', 'jian']	2	6
657	['y#', 'qiu']	2	5
657	['h#', 'xuan', 'ren']	3	9
657	['jiu']	1	3
657	['m#', 'xie']	2	5
657	['faŋ', 'mian']	2	7
657	['zuo', '$u']	2	5
657	['$eŋ', 'qjəŋ']	2	7
658	['y#', 'yu']	2	4
658	['jin', 'tian']	2	7
658	['de']	1	2
658	['hui', 'yi']	2	5
658	['bjəŋ']	1	4
658	['m#', 'y#']	2	4
658	['ren', 'he']	2	5
658	['$eŋ', 'xu']	2	5
658	['roŋ', 'xu']	2	5
658	['wo', 'men']	2	5
658	['z#']	1	2
