sent_id	word_sound	character_token_n	sound_n
651	['gaŋ', 'c#']	2	5
651	['mi', '$u', '$u']	3	6
651	['yi']	1	2
651	['xuan', 'bu']	2	6
651	['wu']	1	2
651	['fen', '$oŋ']	2	6
651	['h#']	1	2
651	['fu', 'hui']	2	5
652	['xian', 'z#']	2	6
652	['$i', 'jian']	2	6
652	['guo']	1	3
652	['le']	1	2
653	['wo']	1	2
653	['xiaŋ']	1	4
653	['gen']	1	3
653	['da', 'jia']	2	5
653	['$uo']	1	3
653	['jin', 'tian']	2	7
653	['de']	1	2
653	['hui', 'yi']	2	5
653	['fen', 'w#']	2	5
653	['liaŋ']	1	4
653	['bu', 'fen']	2	5
654	['di', 'yi']	2	4
654	['$i']	1	2
654	['wan', '$eŋ']	2	6
654	['xuan', '$i']	2	6
655	['er']	1	2
655	['di', 'er']	2	4
655	['xuan', 'ju']	2	6
655	['li', 'fa', 'hui']	3	7
655	['$u', 'xi']	2	4
656	['$i', 'd#']	2	4
656	['y#']	1	2
656	['toŋ', '$i']	2	5
656	['dui']	1	3
656	['h#', 'xuan', 'ren']	3	9
656	['guo', 'ji']	2	5
656	['wen', 'ti']	2	5
656	['xie']	1	3
656	['yi', 'jian']	2	6
657	['y#', 'qiu']	2	5
657	['jiu']	1	3
657	['m#', 'xie']	2	5
657	['faŋ', 'mian']	2	7
657	['zuo', '$u']	2	5
657	['$eŋ', 'qjəŋ']	2	7
658	['y#', 'yu']	2	4
658	['bjəŋ']	1	4
658	['m#', 'y#']	2	4
658	['ren', 'he']	2	5
658	['$eŋ', 'xu']	2	5
658	['roŋ', 'xu']	2	5
658	['wo', 'men']	2	5
658	['z#']	1	2
658	['hui', 'yi', 'tjəŋ']	3	9
658	['n#']	1	2
658	['jin', 'xjəŋ']	2	7
658	['ti', 'wen']	2	5
658	['bian', 'lwən']	2	8
658	['huo']	1	3
658	['zi', 'xun']	2	5
658	['deŋ']	1	3
658	['yin', 'ci']	2	5
658	['bu']	1	2
658	['ke', 'yi']	2	4
658	['$e', 'xie']	2	5
658	['goŋ', 'zuo']	2	6
659	['bu', 'guo']	2	5
659	['w#']	1	2
659	['raŋ']	1	3
