construct	frequency	avg_constituent_len
1	213	1.8732394366197183
2	419	1.6957040572792363
3	448	1.703125
4	374	1.7586898395721926
5	292	1.7226027397260275
6	210	1.7452380952380953
7	188	1.7591185410334347
8	142	1.7746478873239437
9	101	1.6985698569856984
10	101	1.7465346534653468
11	85	1.8385026737967913
12	77	1.788961038961039
13	60	1.776923076923077
14	40	1.8267857142857142
15	51	1.7620915032679738
16	30	1.7875
17	32	1.7169117647058822
18	18	1.7777777777777777
19	22	1.7727272727272727
20	21	1.730952380952381
21	15	1.8222222222222222
22	14	1.7662337662337662
23	6	1.8623188405797102
24	5	1.7916666666666667
25	3	1.9333333333333333
26	3	1.7307692307692308
27	4	1.7685185185185186
28	3	1.738095238095238
29	2	1.5862068965517242
30	1	1.7666666666666666
32	1	1.65625
35	1	2.8285714285714287
