construct	frequency	avg_constituent_len
1	213	1.8732394366197185
2	419	1.6957040572792363
3	448	1.703125
4	374	1.7586898395721926
5	292	1.7226027397260275
6	210	1.7452380952380953
7	188	1.759118541033435
8	142	1.7746478873239435
9	101	1.6985698569856984
10	101	1.7465346534653468
11	85	1.8385026737967916
12	77	1.788961038961039
13	60	1.7769230769230768
14	40	1.8267857142857145
15	51	1.7620915032679738
16	30	1.7875
17	32	1.7169117647058822
18	18	1.7777777777777777
19	22	1.7727272727272727
20	21	1.7309523809523808
21	15	1.8222222222222224
22.3	20	1.7950592885375491
24.818181818181817	11	1.8136946386946387
28.916666666666668	12	1.8093551397251109
