construct	frequency	avg_constituent_len
1	78	2.1538461538461537
2	90	2.033333333333333
3	135	1.8024691358024691
4	158	1.7895569620253164
5	174	1.7885057471264367
6	181	1.7292817679558012
7	188	1.7180851063829787
8	189	1.7056878306878307
9	176	1.7272727272727273
10	141	1.770921985815603
11	146	1.7391033623910337
12	125	1.7906666666666666
13	95	1.7457489878542511
14	77	1.7690166975881263
15	56	1.7107142857142856
16	43	1.7979651162790697
17	35	1.8184873949579832
18	29	1.718390804597701
19	13	1.8137651821862348
20	16	1.759375
21	10	1.6857142857142857
22	11	1.7561983471074378
23	5	1.7304347826086954
24	1	2.125
25	2	1.68
26	2	1.6346153846153846
27	1	3.1481481481481484
28	1	1.75
29	1	2.5172413793103448
32	1	1.53125
