construct	frequency	avg_constituent_len
1	213	1.8732394366197183
2	416	1.6814903846153846
3	440	1.678030303030303
4	340	1.6801470588235294
5	259	1.6602316602316602
6	181	1.6611418047882136
7	150	1.6933333333333334
8	115	1.6565217391304348
9	77	1.6363636363636362
10	72	1.6791666666666667
11	56	1.7727272727272727
12	50	1.6483333333333334
13	40	1.65
14	24	1.6458333333333335
15	31	1.6365591397849462
16	20	1.75
17	19	1.6191950464396285
18	8	1.7638888888888888
19	11	1.7559808612440193
20	14	1.6392857142857142
21	9	1.7142857142857142
22	6	1.6666666666666665
23	3	1.6956521739130435
24	3	1.7083333333333333
25	1	1.8
26	1	1.4615384615384615
28	1	1.7857142857142858
32	1	1.65625
