construct	frequency	avg_constituent_len
1	213	1.8732394366197185
2	416	1.6814903846153846
3	440	1.6780303030303032
4	340	1.6801470588235294
5	259	1.6602316602316602
6	181	1.6611418047882136
7	150	1.6933333333333334
8	115	1.6565217391304348
9	77	1.6363636363636362
10	72	1.6791666666666667
11	56	1.7727272727272727
12	50	1.6483333333333334
13	40	1.65
14	24	1.6458333333333337
15	31	1.6365591397849462
16	20	1.75
17.296296296296298	27	1.662067296054224
19	11	1.7559808612440193
20	14	1.6392857142857142
21.4	15	1.695238095238095
25.2	10	1.6915459268991877
