sent_id	phrase_text	word_n	character_n
n01001011	存在+虽然+美国+的+许多+数字化+转型+都是+史无前例+的+但+权力+的+和平+转移+却+先例+	17	32
n01001011	助理+奥巴马+的+特别+科瑞+舒尔曼+	6	13
n01001011	博客+在+周+一+发布+的+中+	7	9
n01001013	言+对于+通过+社交+媒体+来+跟踪+国会山+任职+变迁+的+人+而+	13	22
n01001013	次+这+	2	2
n01001013	以往+与+	2	3
n01001013	有+	1	1
n01001013	所+	1	1
n01002017	但是+	1	2
n01002017	作+他+在+过去+的+一+次+进行+移民+削减+相关+演说+的+休息+环节+为+共和党+候选人+	18	30
n01002017	他+	1	1
n01002017	曾+	1	1
n01002017	允许+作+为+总统+基+于+政绩+的+考量+他+将+超+大量+合法+移民+	15	22
n01002032	命运+所以+我+不想+给+你们+施加+哪怕+一丁点+的+压力+但+你们+肩负+的+是+共和国+的+	18	31
n01002032	奥巴马+	1	3
n01002032	群众+对+在+北卡罗来纳+大学+运动场+上+的+	8	16
n01002042	帐户+希拉里+的+巨额+银行+	5	10
n01002042	突破+政府+支出+的+了+新上限+	6	11
n01002058	所行+她+的+所言+	4	6
n01002058	简直+	1	2
n01002058	难以置信+人+	2	5
n01003007	限额+最高+	2	4
n01003007	为+	1	1
n01003007	每人+	1	2
n01003007	5,000+	1	5
n01003007	美+	1	1
n01003010	会见+在+十+月+初+政权+转移+团队+在+同+一+场地+了+技术+团队+的+说客+代表+	18	27
n01003010	他们+	1	2
n01003010	分别+	1	2
n01003010	自+	1	1
n01003010	公司+Uber+美国+电影+协会+美国+消费+科技+协会+及+其他+团体+	12	25
n01003012	集会+这+次+	3	4
n01003012	原本+	1	2
n01003012	举行+在+几+个+街区+之外+的+H+街+上+华盛顿+的+私人+大都会+俱乐部+	15	25
n01003013	也许+	1	2
n01003013	要求+着装+	2	4
n01003013	过+	1	1
n01003013	于+	1	1
n01004009	不是+而+把+科学+研究+方法+作+为+一+个+独立+的+章节+来+教授+	15	22
n01004009	学习+学生+通过+实际+运用+来+科学+课程+的+内容+	10	18
n01004017	成绩+他们+的+	3	5
n01004017	属+于+4+年级+的+全国+平均+水平+	8	12
n01004017	且+	1	1
n01004017	于+	1	1
n01004017	水平+8+年级+的+全国+平均+	6	10
n01005023	相比+之下+	2	4
n01005023	成本+于+2004+年+开业+的+诺玛+城际+地铁站+修建+所+耗+	12	22
n01005023	为+	1	1
n01005023	103.7亿+	1	6
n01005023	美+	1	1
