construct	frequency	avg_constituent_len
1	1756	1.5580865603644647
2	386	1.9468911917098446
3	315	1.785185185185185
4	267	1.8230337078651686
5	231	1.8043290043290043
6	210	1.7682539682539682
7	168	1.7772108843537413
8	137	1.77007299270073
9	109	1.7359836901121306
10	111	1.7801801801801802
11	75	1.8472727272727274
12	58	1.778735632183908
13	51	1.7481146304675717
14	41	1.8135888501742161
15	36	1.7129629629629628
16	26	1.7307692307692308
17	25	1.7458823529411764
18	19	1.7777777777777777
19	15	1.6947368421052633
20	10	1.7149999999999999
21	10	1.7142857142857142
22	5	1.6727272727272726
23	4	1.6630434782608696
24	7	1.5892857142857144
25	5	1.6640000000000001
26	3	1.6538461538461537
27	4	2.064814814814815
28	1	2.142857142857143
29	4	1.6379310344827587
30	2	1.5166666666666666
31	1	1.7419354838709677
32	2	1.765625
38	1	1.736842105263158
