construct	frequency	avg_constituent_len
1	1756	1.5580865603644647
2	386	1.9468911917098448
3	315	1.785185185185185
4	267	1.8230337078651688
5	231	1.8043290043290043
6	210	1.7682539682539682
7	168	1.7772108843537413
8	137	1.77007299270073
9	109	1.7359836901121306
10	111	1.7801801801801802
11	75	1.8472727272727276
12	58	1.7787356321839083
13	51	1.7481146304675717
14	41	1.813588850174216
15	36	1.7129629629629628
16	26	1.7307692307692308
17	25	1.7458823529411764
18	19	1.7777777777777777
19	15	1.694736842105263
20	10	1.715
21.333333333333332	15	1.7004329004329004
23.636363636363637	11	1.6161067193675889
26.076923076923077	13	1.8218196048965278
30.9	10	1.6595085060398496
