construct	frequency	avg_constituent_len
1	4418	1.5273879583521957
2	839	1.9517282479141835
3	605	1.8137741046831957
4	378	1.8194444444444444
5	275	1.8014545454545456
6	176	1.8267045454545456
7	123	1.8153310104529616
8	84	1.7604166666666667
9	56	1.865079365079365
10	48	1.8958333333333333
11	27	1.9764309764309764
12	19	1.9035087719298245
13	16	1.6201923076923077
14	15	1.9190476190476191
15	6	1.7111111111111112
16	3	1.7291666666666667
17	1	2.3529411764705883
18	1	1.6111111111111112
20	1	1.65
24	1	3.3333333333333335
