sent_id	word_char	upos	character_token_n	component_n
n01001011	虽然	SCONJ	2	4
n01001011	的	PART	1	3
n01001011	许多	NUM	2	5
n01001011	数字化	NOUN	3	7
n01001011	转型	NOUN	2	6
n01001011	都是	VERB	2	5
n01001011	史无前例	VERB	4	8
n01001011	但	ADV	1	3
n01001011	权力	NOUN	2	3
n01001011	和平	NOUN	2	3
n01001011	转移	NOUN	2	5
n01001011	却	ADV	1	3
n01001011	存在	VERB	2	4
n01001011	先例	NOUN	2	5
n01001011	特别	ADJ	2	6
n01001011	助理	NOUN	2	5
n01001011	在	ADP	1	2
n01001011	周	NOUN	1	2
n01001011	一	NUM	1	1
n01001011	发布	VERB	2	5
n01001011	博客	NOUN	2	6
n01001011	中	ADP	1	1
n01001011	写道	VERB	2	5
n01001013	对于	ADP	2	3
n01001013	通过	ADP	2	5
n01001013	社交	NOUN	2	4
n01001013	媒体	NOUN	2	5
n01001013	来	ADV	1	1
n01001013	跟踪	VERB	2	5
n01001013	任职	NOUN	2	6
n01001013	变迁	NOUN	2	7
n01001013	人	NOUN	1	1
n01001013	而	ADV	1	1
n01001013	言	VERB	1	1
n01001013	这	DET	1	2
n01001013	次	NOUN	1	2
n01001013	与	ADP	1	2
n01001013	以往	NOUN	2	5
n01001013	有	AUX	1	2
n01001013	所	ADV	1	2
n01001013	不同	ADJ	2	3
n01002017	但是	ADV	2	5
n01002017	他	PRON	1	2
n01002017	过去	NOUN	2	4
n01002017	进行	VERB	2	5
n01002017	移民	NOUN	2	4
n01002017	削减	NOUN	2	7
n01002017	相关	ADJ	2	6
n01002017	演说	NOUN	2	6
n01002017	休息	NOUN	2	4
n01002017	环节	NOUN	2	4
n01002017	作	VERB	1	2
n01002017	为	VERB	1	1
n01002017	共和党	NOUN	3	6
n01002017	候选人	VERB	3	7
n01002017	曾	ADV	1	3
n01002017	宣称	VERB	2	7
n01002017	总统	NOUN	2	8
n01002017	基	VERB	1	3
n01002017	于	VERB	1	1
n01002017	政绩	NOUN	2	6
n01002017	考量	NOUN	2	6
n01002017	将	ADV	1	3
n01002017	允许	VERB	2	5
n01002017	超	ADV	1	4
n01002017	大量	ADJ	2	5
n01002017	合法	NOUN	2	5
n01002032	所以	ADV	2	4
n01002032	我	PRON	1	1
n01002032	不想	AUX	2	4
n01002032	给	VERB	1	3
n01002032	你们	PRON	2	5
n01002032	施加	VERB	2	4
n01002032	哪怕	ADP	2	5
n01002032	一丁点	ADJ	3	5
n01002032	压力	NOUN	2	4
n01002032	肩负	VERB	2	4
n01002032	是	AUX	1	2
