sent_id	character	component_n	stroke_n
n01001011	虽	2	9
n01001011	然	3	12
n01001011	美	2	9
n01001011	国	3	8
n01001011	的	2	8
n01001011	许	3	6
n01001011	多	2	6
n01001011	数	3	13
n01001011	字	2	6
n01001011	化	2	4
n01001011	转	2	8
n01001011	型	3	9
n01001011	都	3	10
n01001011	是	2	9
n01001011	史	1	5
n01001011	无	1	4
n01001011	前	3	9
n01001011	例	3	8
n01001011	但	3	7
n01001011	权	2	6
n01001011	力	1	2
n01001011	和	3	8
n01001011	平	1	5
n01001011	移	4	11
n01001011	却	3	7
n01001011	存	2	6
n01001011	在	2	6
n01001011	先	2	6
n01001011	奥	3	12
n01001011	巴	1	4
n01001011	马	1	3
n01001011	特	3	10
n01001011	别	3	7
n01001011	助	2	7
n01001011	理	2	11
n01001011	科	3	9
n01001011	瑞	3	13
n01001011	舒	4	12
n01001011	尔	2	5
n01001011	曼	3	11
n01001011	周	3	8
n01001011	一	1	1
n01001011	发	1	5
n01001011	布	2	5
n01001011	博	3	12
n01001011	客	3	9
n01001011	中	1	4
n01001011	写	3	5
n01001011	道	4	14
n01001013	对	2	5
n01001013	于	1	3
n01001013	通	3	10
n01001013	过	2	6
n01001013	社	2	7
n01001013	交	3	6
n01001013	媒	3	12
n01001013	体	3	7
n01001013	来	1	7
n01001013	跟	3	13
n01001013	踪	6	15
n01001013	会	3	6
n01001013	山	1	8
n01001013	任	2	6
n01001013	职	3	11
n01001013	变	2	8
n01001013	迁	2	6
n01001013	人	1	2
n01001013	而	1	6
n01001013	言	4	7
n01001013	这	3	7
n01001013	次	3	6
n01001013	与	2	3
n01001013	以	2	4
n01001013	往	3	8
n01001013	有	1	6
n01001013	所	2	8
n01001013	不	1	4
n01001013	同	3	6
n01002017	他	2	5
n01002017	去	2	5
n01002017	进	2	7
n01002017	行	3	6
n01002017	民	1	5
n01002017	削	3	9
n01002017	减	4	11
n01002017	相	2	9
n01002017	关	2	6
n01002017	演	4	14
n01002017	说	4	9
n01002017	休	2	6
n01002017	息	3	10
n01002017	环	2	8
n01002017	节	2	5
n01002017	作	5	7
n01002017	为	1	4
n01002017	共	2	6
n01002017	党	3	10
n01002017	候	4	10
n01002017	选	3	9
n01002017	曾	4	12
n01002017	宣	4	9
n01002017	称	4	10
n01002017	总	3	9
n01002017	统	3	9
n01002017	基	3	11
n01002017	政	3	9
n01002017	绩	3	11
n01002017	考	2	6
n01002017	量	3	12
n01002017	将	3	9
n01002017	允	2	4
n01002017	超	4	12
n01002017	大	1	3
n01002017	合	3	6
