sent_id	character	component_n	stroke_n
n01001011	虽	2	9
n01001011	然	2	12
n01001011	美	2	9
n01001011	国	2	8
n01001011	的	3	8
n01001011	许	3	6
n01001011	多	2	6
n01001011	数	3	13
n01001011	字	2	6
n01001011	化	2	4
n01001011	转	2	8
n01001011	型	4	9
n01001011	都	3	10
n01001011	是	2	9
n01001011	史	1	5
n01001011	无	1	4
n01001011	前	3	9
n01001011	例	3	8
n01001011	但	3	7
n01001011	权	2	6
n01001011	力	1	2
n01001011	和	2	8
n01001011	平	1	5
n01001011	移	3	11
n01001011	却	3	7
n01001011	存	2	6
n01001011	在	2	6
n01001011	先	2	6
n01001011	奥	2	12
n01001011	巴	1	4
n01001011	马	1	3
n01001011	特	3	10
n01001011	别	3	7
n01001011	助	2	7
n01001011	理	3	11
n01001011	科	2	9
n01001011	瑞	3	13
n01001011	舒	4	12
n01001011	尔	2	5
n01001011	曼	2	11
n01001011	周	2	8
n01001011	一	1	1
n01001011	发	3	5
n01001011	布	2	5
n01001011	博	3	12
n01001011	客	3	9
n01001011	中	1	4
n01001011	写	3	5
n01001011	道	2	14
n01001013	对	2	5
n01001013	于	1	3
n01001013	通	3	10
n01001013	过	2	6
n01001013	社	2	7
n01001013	交	2	6
n01001013	媒	3	12
n01001013	体	2	7
n01001013	来	1	7
n01001013	跟	2	13
n01001013	踪	3	15
n01001013	会	3	6
n01001013	山	1	8
n01001013	任	3	6
n01001013	职	3	11
n01001013	变	5	8
n01001013	迁	2	6
n01001013	人	1	2
n01001013	而	1	6
n01001013	言	1	7
n01001013	这	2	7
n01001013	次	2	6
n01001013	与	2	3
n01001013	以	2	4
n01001013	往	3	8
n01001013	有	2	6
n01001013	所	2	8
n01001013	不	1	4
n01001013	同	2	6
n01002017	他	2	5
n01002017	去	2	5
n01002017	进	2	7
n01002017	行	3	6
n01002017	民	1	5
n01002017	削	3	9
n01002017	减	4	11
n01002017	相	2	9
n01002017	关	4	6
n01002017	演	3	14
n01002017	说	3	9
n01002017	休	2	6
n01002017	息	2	10
n01002017	环	2	8
n01002017	节	2	5
n01002017	作	2	7
n01002017	为	1	4
n01002017	共	2	6
n01002017	党	2	10
n01002017	候	3	10
n01002017	选	3	9
n01002017	曾	3	12
n01002017	宣	4	9
n01002017	称	3	10
n01002017	总	4	9
n01002017	统	4	9
n01002017	基	3	11
n01002017	政	3	9
n01002017	绩	3	11
n01002017	考	2	6
n01002017	量	4	12
n01002017	将	3	9
n01002017	允	2	4
n01002017	超	4	12
n01002017	大	1	3
n01002017	合	2	6
n01002017	法	3	8
n01002032	我	1	7
n01002032	想	3	13
n01002032	给	3	9
n01002032	你	3	7
n01002032	们	2	5
n01002032	施	2	9
n01002032	加	2	5
n01002032	哪	3	9
n01002032	怕	2	8
n01002032	丁	1	2
n01002032	点	3	9
n01002032	压	3	6
n01002032	肩	2	8
n01002032	负	2	6
n01002032	命	4	8
n01002032	运	3	7
n01002032	北	2	5
n01002032	卡	2	12
n01002032	罗	2	8
n01002032	纳	2	7
n01002032	学	2	8
n01002032	动	3	6
n01002032	场	2	6
n01002032	上	1	3
n01002032	群	3	13
n01002032	众	3	6
n01002042	希	3	7
n01002042	拉	2	8
n01002042	里	2	7
n01002042	巨	1	4
n01002042	额	4	15
n01002042	银	2	11
n01002042	帐	2	7
n01002042	户	1	4
n01002042	使	2	8
n01002042	府	3	8
n01002042	支	2	4
n01002042	出	2	5
n01002042	突	3	9
n01002042	破	2	10
n01002042	了	1	2
n01002042	新	3	12
n01002042	限	2	8
n01002058	她	2	6
n01002058	简	3	13
n01002058	直	2	8
n01002058	令	3	5
n01002058	难	2	10
n01002058	置	3	13
n01002058	信	2	9
n01003007	最	3	12
n01003007	高	4	10
n01003007	每	2	7
n01003007	元	2	4
n01003010	十	1	2
n01003010	月	1	4
n01003010	初	2	7
n01003010	团	2	6
n01003010	队	2	4
n01003010	地	2	6
n01003010	见	1	4
n01003010	技	3	7
n01003010	术	2	5
n01003010	代	2	5
n01003010	表	2	8
n01003010	分	2	4
n01003010	自	1	6
n01003010	公	2	4
n01003010	司	2	5
n01003010	电	1	5
n01003010	影	5	15
n01003010	协	2	6
n01003010	消	3	10
n01003010	费	2	9
n01003010	及	1	3
n01003010	其	2	8
n01003012	集	2	12
n01003012	原	2	10
n01003012	本	1	5
n01003012	定	2	8
n01003012	几	1	2
n01003012	个	2	3
n01003012	街	5	12
n01003012	区	2	4
n01003012	之	1	3
n01003012	外	2	5
n01003012	华	3	6
n01003012	盛	3	11
n01003012	顿	2	10
n01003012	私	2	7
n01003012	俱	3	10
n01003012	乐	1	5
n01003012	部	3	10
n01003012	举	3	9
n01003013	也	1	3
n01003013	着	2	11
n01003013	装	3	12
n01003013	要	2	9
n01003013	求	1	7
n01003013	沉	3	7
n01003013	闷	2	7
n01004009	把	2	7
n01004009	研	3	9
n01004009	究	3	7
n01004009	方	1	4
n01004009	独	2	9
n01004009	立	1	5
n01004009	章	2	11
n01004009	教	3	11
n01004009	授	3	11
n01004009	如	2	6
n01004009	生	1	5
n01004009	实	2	8
n01004009	际	2	7
n01004009	用	1	5
n01004009	习	1	3
n01004009	课	2	10
n01004009	程	3	12
n01004009	内	1	4
n01004009	容	2	9
n01004017	成	2	6
n01004017	属	2	12
n01004017	年	1	6
n01004017	级	2	6
n01004017	全	2	6
n01004017	均	3	7
n01004017	水	1	4
n01004017	且	1	5
n01004017	优	2	6
n01005023	比	1	4
n01005023	下	1	3
n01005023	开	2	4
n01005023	业	1	5
n01005023	诺	4	10
n01005023	玛	2	7
n01005023	城	3	9
n01005023	铁	3	10
n01005023	站	3	10
n01005023	修	3	9
n01005023	建	2	8
n01005023	耗	2	10
n01005023	亿	2	3
n01005024	面	1	9
n01005024	临	2	9
n01005024	很	2	9
n01005024	竞	3	10
n01005024	争	2	6
n01005024	认	2	4
n01005024	能	2	10
n01005024	此	2	6
n01005024	局	2	7
n01005024	帮	3	9
n01005024	乔	3	6
n01005024	治	3	8
n01005024	商	3	11
n01005024	改	2	7
n01005024	善	3	12
n01005024	主	2	5
n01005024	席	2	10
n01005024	斯	3	12
n01005024	雷	2	13
n01005031	根	2	10
n01005031	据	4	11
n01005031	可	2	5
n01005031	性	2	8
n01005031	估	3	7
n01005031	计	2	4
n01005031	乘	1	10
n01005031	坐	3	7
n01005031	缆	3	12
n01005031	车	1	4
n01005031	穿	3	9
n01005031	越	3	12
n01005031	波	2	8
n01005031	托	3	6
n01005031	克	3	7
n01005031	河	3	8
n01005031	需	2	14
n01005031	时	2	7
n01005031	约	3	6
n01005031	四	1	5
n01005031	钟	2	9
n01006011	位	2	7
n01006011	目	1	5
n01006011	击	2	5
n01006011	者	2	8
n01006011	告	2	7
n01006011	诉	2	7
n01006011	警	5	19
n01006011	被	2	10
n01006011	害	2	10
n01006011	袭	2	11
n01006011	嫌	3	13
n01006011	疑	2	17
n01007012	游	3	12
n01007012	戏	2	6
n01007012	日	1	4
n01007012	常	2	11
n01007012	活	2	9
n01007012	似	3	6
n01007012	处	2	5
n01008017	稳	4	14
n01008017	步	2	7
n01008017	升	2	4
n01008017	口	1	3
n01008017	普	3	12
