construct	frequency	avg_constituent_len
1	113	1.8938053097345133
2	232	1.6853448275862069
3	235	1.646808510638298
4	210	1.725
5	168	1.7226190476190475
6	114	1.7353801169590641
7	91	1.7441130298273155
8	75	1.7166666666666666
9	48	1.6712962962962963
10	45	1.7822222222222224
11	42	1.8181818181818181
12	39	1.794871794871795
13	26	1.668639053254438
14	18	1.9325396825396826
15	21	1.673015873015873
16	8	1.7421875
17	16	1.7647058823529411
18	8	1.8263888888888888
19	8	1.756578947368421
20	9	1.6944444444444442
21	6	1.8888888888888888
22	5	1.718181818181818
23	4	1.815217391304348
24	2	1.7916666666666667
25	1	1.84
26	1	1.4615384615384615
27	1	2.5925925925925926
28	1	1.7142857142857142
29	1	1.4827586206896552
30	1	1.7666666666666666
35	1	2.8285714285714287
