construct	frequency	avg_constituent_len
1	113	1.893805309734513
2	232	1.6853448275862069
3	235	1.6468085106382981
4	210	1.725
5	168	1.7226190476190475
6	114	1.735380116959064
7	91	1.7441130298273155
8	75	1.7166666666666666
9	48	1.6712962962962965
10	45	1.7822222222222224
11	42	1.818181818181818
12	39	1.794871794871795
13	26	1.6686390532544384
14	18	1.9325396825396823
15.275862068965518	29	1.6920977011494254
17.333333333333332	24	1.7852668845315904
19.529411764705884	17	1.7236842105263157
21.454545454545453	11	1.81129476584022
26.153846153846153	13	1.886970490991942
