construct	frequency	avg_constituent_len
1	50	2.2
2	55	1.9272727272727272
3	73	1.82648401826484
4	80	1.784375
5	84	1.7666666666666668
6	84	1.6884920634920635
7	85	1.7025210084033613
8	81	1.6527777777777777
9	70	1.692063492063492
10	65	1.6953846153846155
11	61	1.6959761549925483
12	61	1.7827868852459015
13	43	1.779964221824687
14	41	1.7508710801393728
15	28	1.6523809523809523
16	22	1.8125
17	23	1.7544757033248082
18	15	1.737037037037037
19	6	1.8859649122807018
20	10	1.78
21	9	1.6984126984126984
22	8	1.7840909090909092
23	3	1.7246376811594202
24	1	2.125
25	1	1.68
26	2	1.6346153846153846
27	1	3.1481481481481484
29	1	2.5172413793103448
32	1	1.53125
