construct	frequency	avg_constituent_len
1	50	2.2
2	55	1.9272727272727272
3	73	1.8264840182648399
4	80	1.784375
5	84	1.7666666666666668
6	84	1.6884920634920637
7	85	1.7025210084033613
8	81	1.6527777777777777
9	70	1.692063492063492
10	65	1.6953846153846155
11	61	1.6959761549925485
12	61	1.7827868852459017
13	43	1.7799642218246867
14	41	1.7508710801393728
15	28	1.6523809523809525
16	22	1.8125
17	23	1.7544757033248082
18.285714285714285	21	1.7795878585352267
20	10	1.78
21.470588235294116	17	1.7387318563789151
25.8	10	1.9444783340167526
