construct	frequency	avg_constituent_len
1	876	1.5273972602739727
2	180	1.9444444444444444
3	129	1.702842377260982
4	117	1.7841880341880343
5	104	1.8173076923076923
6	94	1.702127659574468
7	74	1.754826254826255
8	55	1.8045454545454545
9	52	1.688034188034188
10	51	1.7843137254901962
11	35	1.8493506493506493
12	29	1.8132183908045976
13	29	1.7082228116710876
14	25	1.8114285714285714
15	20	1.6633333333333333
16	13	1.7115384615384615
17	15	1.8
18	11	1.8686868686868685
19	9	1.695906432748538
20	2	1.6
21	5	1.5904761904761904
22	2	1.7954545454545454
23	4	1.6630434782608696
24	6	1.5555555555555556
25	4	1.65
26	1	1.5384615384615385
27	3	2.0864197530864197
28	1	2.142857142857143
29	3	1.6551724137931034
32	2	1.765625
38	1	1.736842105263158
