construct	frequency	avg_constituent_len
1	876	1.5273972602739727
2	180	1.9444444444444444
3	129	1.7028423772609818
4	117	1.7841880341880345
5	104	1.8173076923076923
6	94	1.702127659574468
7	74	1.7548262548262548
8	55	1.8045454545454545
9	52	1.6880341880341883
10	51	1.7843137254901962
11	35	1.8493506493506493
12	29	1.8132183908045976
13	29	1.7082228116710876
14	25	1.8114285714285716
15	20	1.663333333333333
16	13	1.7115384615384617
17	15	1.8
18	11	1.8686868686868685
19.181818181818183	11	1.678468899521531
21.90909090909091	11	1.654133086939411
24.545454545454547	11	1.5883449883449883
29.8	10	1.8635725748758873
