sent_id	word_char	character_token_n	component_n
n01001011	虽然	2	5
n01001011	美国	2	5
n01001011	的	1	2
n01001011	许多	2	5
n01001011	数字化	3	7
n01001011	转型	2	5
n01001011	都是	2	5
n01001011	史无前例	4	8
n01001011	但	1	3
n01001011	权力	2	3
n01001011	和平	2	3
n01001011	转移	2	5
n01001011	却	1	2
n01001011	存在	2	4
n01001011	先例	2	5
n01001011	奥巴马	3	5
n01001011	特别	2	6
n01001011	助理	2	4
n01001011	科瑞	2	5
n01001011	舒尔曼	3	9
n01001011	在	1	2
n01001011	周	1	3
n01001011	一	1	1
n01001011	发布	2	3
n01001011	博客	2	6
n01001011	中	1	1
n01001011	写道	2	5
n01001013	对于	2	3
n01001013	通过	2	5
n01001013	社交	2	4
n01001013	媒体	2	5
n01001013	来	1	1
n01001013	跟踪	2	5
n01001013	国会山	3	7
n01001013	任职	2	5
n01001013	变迁	2	4
n01001013	人	1	1
n01001013	而	1	1
n01001013	言	1	4
n01001013	这	1	2
n01001013	次	1	2
n01001013	与	1	2
n01001013	以往	2	4
n01001013	有	1	1
n01001013	所	1	2
n01001013	不同	2	4
n01002017	但是	2	5
n01002017	他	1	2
n01002017	过去	2	4
n01002017	进行	2	5
n01002017	移民	2	4
n01002017	削减	2	7
n01002017	相关	2	4
n01002017	演说	2	8
n01002017	休息	2	4
n01002017	环节	2	4
n01002017	作	1	2
n01002017	为	1	1
n01002017	共和党	3	7
n01002017	候选人	3	7
n01002017	曾	1	4
n01002017	宣称	2	7
n01002017	总统	2	6
n01002017	基	1	3
n01002017	于	1	1
n01002017	政绩	2	5
n01002017	考量	2	5
n01002017	将	1	3
n01002017	允许	2	5
n01002017	超	1	3
n01002017	大量	2	4
n01002017	合法	2	5
n01002032	所以	2	4
n01002032	我	1	2
n01002032	不想	2	4
n01002032	给	1	4
n01002032	你们	2	5
n01002032	施加	2	5
n01002032	哪怕	2	5
n01002032	一丁点	3	5
n01002032	压力	2	3
n01002032	肩负	2	4
n01002032	是	1	2
n01002032	共和国	3	7
n01002032	命运	2	6
n01002032	对	1	2
n01002032	北卡罗来纳	5	8
n01002032	大学	2	4
n01002032	运动场	3	8
n01002032	上	1	2
n01002032	群众	2	6
n01002032	说道	2	6
n01002042	希拉里	3	6
n01002042	巨额	2	6
n01002042	银行	2	5
n01002042	帐户	2	4
n01002042	使	1	2
n01002042	政府	2	5
n01002042	支出	2	4
n01002042	突破	2	4
n01002042	了	1	1
n01002042	新上限	3	7
n01002058	她	1	2
n01002058	所言	2	6
n01002058	所行	2	5
n01002058	简直	2	5
n01002058	令	1	3
n01002058	难以置信	4	9
n01003007	最高	2	7
n01003007	限额	2	6
n01003007	每人	2	3
n01003007	美	1	2
n01003007	元	1	2
n01003010	十	1	1
n01003010	月	1	1
n01003010	初	1	2
n01003010	政权	2	4
n01003010	团队	2	4
n01003010	同	1	3
n01003010	场地	2	4
n01003010	会见	2	4
n01003010	技术	2	3
n01003010	说客	2	7
n01003010	代表	2	4
n01003010	他们	2	4
n01003010	分别	2	5
n01003010	自	1	2
n01003010	公司	2	5
n01003010	电影	2	6
n01003010	协会	2	5
n01003010	消费	2	5
n01003010	科技	2	4
n01003010	及	1	1
n01003010	其他	2	4
n01003010	团体	2	4
n01003012	集会	2	5
n01003012	原本	2	5
n01003012	定	1	2
