sent_id	word_char	upos	character_token_n	component_n
n01001011	虽然	SCONJ	2	5
n01001011	美国	PROPN	2	5
n01001011	的	PART	1	2
n01001011	许多	NUM	2	5
n01001011	数字化	NOUN	3	7
n01001011	转型	NOUN	2	5
n01001011	都是	VERB	2	5
n01001011	史无前例	VERB	4	8
n01001011	但	ADV	1	3
n01001011	权力	NOUN	2	3
n01001011	和平	NOUN	2	4
n01001011	转移	NOUN	2	6
n01001011	却	ADV	1	3
n01001011	存在	VERB	2	4
n01001011	先例	NOUN	2	5
n01001011	奥巴马	PROPN	3	5
n01001011	特别	ADJ	2	6
n01001011	助理	NOUN	2	4
n01001011	科瑞	PROPN	2	6
n01001011	舒尔曼	PROPN	3	9
n01001011	在	ADP	1	2
n01001011	周	NOUN	1	3
n01001011	一	NUM	1	1
n01001011	发布	VERB	2	3
n01001011	博客	NOUN	2	6
n01001011	中	ADP	1	1
n01001011	写道	VERB	2	7
n01001013	对于	ADP	2	3
n01001013	通过	ADP	2	5
n01001013	社交	NOUN	2	5
n01001013	媒体	NOUN	2	6
n01001013	来	ADV	1	1
n01001013	跟踪	VERB	2	9
n01001013	国会山	PROPN	3	7
n01001013	任职	NOUN	2	5
n01001013	变迁	NOUN	2	4
n01001013	人	NOUN	1	1
n01001013	而	ADV	1	1
n01001013	言	VERB	1	4
n01001013	这	DET	1	3
n01001013	次	NOUN	1	3
n01001013	与	ADP	1	2
n01001013	以往	NOUN	2	5
n01001013	有	AUX	1	1
n01001013	所	ADV	1	2
n01001013	不同	ADJ	2	4
n01002017	但是	ADV	2	5
n01002017	他	PRON	1	2
n01002017	过去	NOUN	2	4
n01002017	进行	VERB	2	5
n01002017	移民	NOUN	2	5
n01002017	削减	NOUN	2	7
n01002017	相关	ADJ	2	4
n01002017	演说	NOUN	2	8
n01002017	休息	NOUN	2	5
n01002017	环节	NOUN	2	4
n01002017	作	VERB	1	5
n01002017	为	VERB	1	1
n01002017	共和党	NOUN	3	8
n01002017	候选人	VERB	3	8
n01002017	曾	ADV	1	4
n01002017	宣称	VERB	2	8
n01002017	总统	NOUN	2	6
n01002017	基	VERB	1	3
n01002017	于	VERB	1	1
n01002017	政绩	NOUN	2	6
n01002017	考量	NOUN	2	5
n01002017	将	ADV	1	3
n01002017	允许	VERB	2	5
n01002017	超	ADV	1	4
n01002017	大量	ADJ	2	4
n01002017	合法	NOUN	2	6
n01002032	所以	ADV	2	4
n01002032	我	PRON	1	2
n01002032	不想	AUX	2	4
n01002032	给	VERB	1	4
n01002032	你们	PRON	2	5
n01002032	施加	VERB	2	6
n01002032	哪怕	ADP	2	5
n01002032	一丁点	ADJ	3	5
n01002032	压力	NOUN	2	3
n01002032	肩负	VERB	2	5
n01002032	是	AUX	1	2
n01002032	共和国	NOUN	3	8
n01002032	命运	NOUN	2	6
n01002032	对	ADP	1	2
n01002032	北卡罗来纳	PROPN	5	10
n01002032	大学	NOUN	2	4
n01002032	运动场	VERB	3	8
n01002032	上	ADP	1	2
n01002032	群众	NOUN	2	6
n01002032	说道	VERB	2	8
n01002042	希拉里	PROPN	3	7
n01002042	巨额	NOUN	2	8
n01002042	银行	NOUN	2	5
n01002042	帐户	NOUN	2	4
n01002042	使	VERB	1	2
n01002042	政府	NOUN	2	6
n01002042	支出	VERB	2	4
n01002042	突破	VERB	2	5
n01002042	了	PART	1	1
n01002042	新上限	NOUN	3	8
n01002058	她	PRON	1	2
n01002058	所言	NOUN	2	6
n01002058	所行	NOUN	2	5
n01002058	简直	ADV	2	5
n01002058	令	VERB	1	3
n01002058	难以置信	VERB	4	12
n01003007	最高	ADJ	2	7
n01003007	限额	NOUN	2	8
n01003007	每人	NOUN	2	3
n01003007	美	PROPN	1	2
n01003007	元	NOUN	1	2
n01003010	十	NUM	1	1
n01003010	月	NOUN	1	1
n01003010	初	ADP	1	2
n01003010	政权	NOUN	2	5
n01003010	团队	NOUN	2	4
n01003010	同	DET	1	3
n01003010	场地	NOUN	2	4
n01003010	会见	VERB	2	4
n01003010	技术	NOUN	2	4
n01003010	说客	NOUN	2	7
n01003010	代表	NOUN	2	4
n01003010	他们	PRON	2	4
n01003010	分别	ADV	2	5
n01003010	自	VERB	1	2
n01003010	公司	NOUN	2	5
n01003010	电影	NOUN	2	6
n01003010	协会	NOUN	2	5
n01003010	消费	NOUN	2	5
n01003010	科技	NOUN	2	6
n01003010	及	CCONJ	1	1
n01003010	其他	DET	2	4
n01003010	团体	NOUN	2	5
n01003012	集会	NOUN	2	5
n01003012	原本	ADV	2	5
n01003012	定	VERB	1	2
n01003012	几	NUM	1	1
n01003012	个	NOUN	1	1
n01003012	街区	NOUN	2	7
n01003012	之外	ADP	2	3
n01003012	街	PART	1	5
n01003012	华盛顿	PROPN	3	9
n01003012	私人	ADJ	2	4
n01003012	大都会	NOUN	3	7
n01003012	俱乐部	NOUN	3	9
n01003012	举行	VERB	2	6
n01003013	也许	ADV	2	4
n01003013	着装	NOUN	2	6
n01003013	要求	NOUN	2	3
n01003013	过	AUX	1	2
n01003013	沉闷	ADJ	2	5
n01004009	不是	VERB	2	3
n01004009	把	ADP	1	2
n01004009	科学	NOUN	2	6
n01004009	研究	NOUN	2	5
n01004009	方法	NOUN	2	5
n01004009	独立	VERB	2	4
n01004009	章节	NOUN	2	6
n01004009	教授	VERB	2	7
n01004009	例如	VERB	2	5
n01004009	学生	NOUN	2	4
n01004009	实际	NOUN	2	7
n01004009	运用	NOUN	2	5
n01004009	学习	VERB	2	4
n01004009	课程	NOUN	2	9
n01004009	内容	NOUN	2	6
n01004017	成绩	NOUN	2	4
n01004017	属	VERB	1	4
n01004017	年级	NOUN	2	4
n01004017	全国	NOUN	2	5
n01004017	平均	ADJ	2	4
n01004017	水平	NOUN	2	2
n01004017	且	ADV	1	1
n01004017	优	ADJ	1	2
n01005023	相比	VERB	2	3
n01005023	之下	ADP	2	3
n01005023	年	NOUN	1	2
n01005023	开业	VERB	2	4
n01005023	诺玛	PROPN	2	6
n01005023	城际	NOUN	2	6
n01005023	地铁站	NOUN	3	8
n01005023	修建	VERB	2	6
n01005023	耗	VERB	1	2
n01005023	成本	NOUN	2	3
n01005024	我们	PRON	2	4
n01005024	面临	VERB	2	8
n01005024	很多	NUM	2	4
n01005024	竞争	NOUN	2	6
n01005024	认为	VERB	2	3
n01005024	能	AUX	1	4
n01005024	此	DET	1	2
n01005024	局面	NOUN	2	7
n01005024	帮助	VERB	2	5
n01005024	乔治城	PROPN	3	7
n01005024	商业	NOUN	2	6
n01005024	改善会	VERB	3	8
n01005024	主席	NOUN	2	5
n01005024	乔	PROPN	1	2
n01005024	斯顿雷	PROPN	3	11
n01005031	根据	ADP	2	6
n01005031	可行性	VERB	3	7
n01005031	估计	VERB	2	5
n01005031	乘客	NOUN	2	7
n01005031	乘坐	VERB	2	7
n01005031	缆车	NOUN	2	5
n01005031	穿越	VERB	2	6
n01005031	波托马克河	PROPN	5	11
n01005031	需时	VERB	2	4
n01005031	约	ADV	1	2
n01005031	四	NUM	1	3
n01005031	分钟	NOUN	2	4
n01006011	位	NOUN	1	3
n01006011	目击者	VERB	3	5
n01006011	告诉	VERB	2	4
n01006011	警方	NOUN	2	10
n01006011	被	AUX	1	2
n01006011	害人	VERB	2	4
n01006011	袭击	VERB	2	5
n01006011	嫌疑人	NOUN	3	9
n01007012	游戏	NOUN	2	7
n01007012	日常	ADJ	2	4
n01007012	生活	NOUN	2	4
n01007012	相似	ADJ	2	5
n01007012	之	PART	1	1
n01007012	处	NOUN	1	2
n01008017	比例	NOUN	2	4
n01008017	多	NUM	1	2
n01008017	一直	ADV	2	3
n01008017	稳步	ADV	2	6
n01008017	上升	VERB	2	3
n01008017	人口	NOUN	2	2
n01008017	普查局	VERB	3	11
n01008017	数据	NOUN	2	7
n01008017	显示	VERB	2	7
n01008017	选举日	VERB	3	7
n01008017	之前	ADP	2	4
n01008017	接收	VERB	2	6
n01008017	投票	NOUN	2	7
n01008017	只有	VERB	2	3
