sent_id	sent_text	clause_n	c_phrase_n
w01001049	# text = 宪章曾允许创立由城镇市民管理的商人行会，以向途经城镇的人士征收税费。	6	10
w01002008	# text = 矿物资源尤为丰富，蕴含大量的黄金、钻石、锰矿、铅矿、锌矿、镍矿、钴矿以及钼矿。	2	4
w01002013	# text = 在极西北地区以外，泰加林具有统治地位，它覆盖了整个西伯利亚的一个重要部分。	1	4
w01002075	# text = 2019年世界大学生冬季运动会将由雅茨克举办。	2	3
w01003051	# text = 例如位于太平洋的莱恩群岛和位于印度洋的马尔代夫。	3	7
w01003056	# text = 花岗岩岛屿包括塞舌尔和刁曼岛，火山岩岛屿则如圣赫勒拿岛。	1	4
w01003062	# text = 比如墨西哥下加利福尼亚州离岸的小岛屿就属于沙漠荒岛。	2	5
w01004051	# text = 公元前五世纪的希腊雅典城邦依赖来自塞西亚的进口谷物，因此与控制着海峡要道的城市，例如麦加拉的殖民地拜占廷，保持着关键同盟关系。	5	13
w01005020	# text = 大流士十分赏识的司令官美伽巴佐斯负责实现征服巴尔干的目标。	4	7
w01005021	# text = 阿契美尼德军队征服了色雷斯、希腊的沿海城市以及培奥尼亚人。	1	3
w01005022	# text = 最终，在约公元前512年-511年，马其顿国王阿闵塔斯一世接受了阿契美尼德的统治，全国投降成为阿契美尼德波斯帝国的附庸国。	1	6
w01005023	# text = 多族裔的阿契美尼德军队吸纳了许多巴尔干人从军。	2	3
w01005024	# text = 此外，许多马其顿和波斯的精英人士通婚。	1	2
w01006027	# text = 首家电影公司(Athina Film)于1912年成立，Asty Film则于1916年成立。	1	4
w01006081	# text = 2007年最成功的电影是由亚尼斯·斯玛拉迪斯导演的《葛雷柯》。	3	5
w01007004	# text = 《法国-摩纳哥条约》于1918年7月签署，法国据此为摩纳哥提供有限的保护。	1	5
w01007035	# text = 执行机构包括一名国务大臣作为政府首脑，并由其主持政府的五人理事会。	3	7
w01007070	# text = 其警察队伍包括一个负责巡逻和监管船只的特别单元。	3	5
w01007087	# text = 当前的土地开垦项目包括对芳特维耶区进行扩建这一项。	1	2
w01008043	# text = 但北爱尔兰、英格兰和威尔士之间在法律和程序上存在重要的差异。	1	4
w01009010	# text = 白吉龙分类法是最广为接受的气体质量分类法。	2	7
w01009017	# text = 气体质量分类法于19世纪50年代就在天气预报中获得首次应用，而气候学家在1973年开始据此想法建立起了气象气候学。	2	8
w01009027	# text = 季风是季节性的盛行风，可持续数月之久，它为地区带来多雨的季节。	2	6
w01010044	# text = 在斯拉夫人于公元六世纪立足前，多个日耳曼部落和主要的斯拉夫部落在欧洲民族大迁徙期间途径摩拉维亚。	2	7
w01010045	# text = 至八世纪末，摩拉维亚公国在当今的摩拉维亚东南部、斯洛伐克西南Zahorie地区以及奥地利下部形成。	2	3
w01010046	# text = 公元833年，这里成为了大摩拉维亚国，其中包括被征服的尼特拉公国（现为斯洛伐克）。	3	7
w01010047	# text = 第一个国王是莫伊米尔一世（830-846年在位）。	2	4
w01010048	# text = 日耳曼路易入侵了摩拉维亚，并让其侄子Rastiz取代了莫伊米尔一世的王位，Rastiz后被称为圣罗斯季斯拉夫(St. Rastislav)。	3	11
w01012052	# text = 另外，由法令确定各地区及市区议会的选举。	2	3
w01013083	# text = 虽然直至较晚的日期前（1918年），冰岛仍处于丹麦的政治控制下，但在冰岛语中几乎没有借用丹麦语的元素，也鲜有受其影响之处。	6	14
w01013096	# text = 也有源于芬兰语并独立演化的语言，如瑞典的托尔讷河谷芬兰语(Meänkieli)以及挪威的克温斯语(Kven)。	4	7
w01013102	# text = 辅音渐变是芬兰语和北部萨米人方言的共同特征，但在被认为具有不同语言历史的南部萨米方言中则不存在此特征。	4	10
w01014002	# text = 高加索山脉北部区域亦可称为内高加索地区(Ciscaucasus)，而南部区域可称为外高加索地区(Transcaucasus)。	1	6
w01016028	# text = 大气层是一个混沌的系统，所以系统中某部分的微小变化会给整个系统带来很大影响。	2	6
w01016034	# text = 在降雨期间，液滴从周围的空气中吸收并分解二氧化碳。	1	5
w01016070	# text = 中国为2008年夏季奥运会进行的准备工作是近期天气控制的一个例子。	2	7
