sent_id	clause_text	word_n	character_n
w01001049	宪章+曾+允许	3	5
w01001049	行会+商人+创立	3	6
w01001049	的+由	2	2
w01001049	市民+城镇+管理	3	6
w01001049	城镇+的+途经	3	5
w01001049	以+人士+向+税费+征收	5	8
w01002008	尤+为+丰富	3	4
w01002008	资源+矿物+黄金+大量+的+钻石+锰矿+铅矿+锌矿+镍矿+钴矿+钼矿+以及+蕴含	14	27
w01002013	具有+地区+在+极西北+以外+泰加林+地位+统治+它+了+部分+西伯利亚+整个+的+个+一+重要+覆盖	18	34
w01002075	运动会+年+2019+世界+大学生+冬季+将+由	8	17
w01002075	雅茨克+举办	2	5
w01003051	群岛+莱恩+马尔代夫+和+例如	5	11
w01003051	于+太平洋+的+位	4	6
w01003051	于+印度洋+的+位	4	6
w01003056	包括+岛屿+花岗岩+塞舌尔+刁曼岛+和+岛屿+火山岩+则+圣赫勒拿岛+如	11	26
w01003062	比如	1	2
w01003062	的+离岸	2	3
w01003062	小岛屿+墨西哥+加利福尼亚州+下+就+于+荒岛+沙漠+属	9	20
w01004051	谷物+进口+依赖	3	6
w01004051	塞西亚+自+的+来	4	6
w01004051	着+要道+海峡+的+控制	5	8
w01004051	与+城市+殖民地+麦加拉+的+拜占廷+例如	7	15
w01004051	城邦+世纪+公元+前+五+的+希腊+雅典+此+因+着+关系+关键+同盟+保持	15	24
w01005020	大流士+十分+的+赏识	4	8
w01005020	司令官+美伽巴佐斯+负责	3	10
w01005020	目标+实现	2	4
w01005020	巴尔干+的+征服	3	6
w01005021	军队+阿契美尼德+了+城市+色雷斯+希腊+的+沿海+培奥尼亚人+以及+征服	11	27
w01005022	投降	1	2
w01005022	最终+年+在+约+公元+前+年+512+511+接受+国王+马其顿+阿闵塔斯+一世+了+统治+阿契美尼德+的+全国+为+附庸国+帝国+阿契美尼德波斯+的+成	25	54
w01005023	军队+族裔+多+的+阿契美尼德+了+吸纳	7	14
w01005023	巴尔干人+许多+从军	3	8
w01005024	此外+人士+许多+马其顿+波斯+和+的+精英+通婚	9	17
w01006027	成立+公司+首家+电影+Athina+Film+年+于+1912+Asty+Film+则+年+于+1916+成立	16	41
w01006081	的+由	2	2
w01006081	亚尼斯+斯玛拉迪斯+导演	3	10
w01006081	年+2007+电影+成功+最+的+是+葛雷柯	8	15
w01007004	签署+条约+法国+摩纳哥+月+于+年+1918+7+法国+此+据+摩纳哥+为+保护+有限+的+提供	18	32
w01007035	包括	1	2
w01007035	大臣+名+一+国务+为+首脑+政府+作	8	12
w01007035	机构+执行+并+由	4	6
w01007035	其+理事会+政府+的+人+五+主持	7	11
w01007070	队伍+其+警察+单元+个+一+特别+包括	8	13
w01007070	的+负责	2	3
w01007070	巡逻	1	2
w01007070	和+船只+监管	3	5
w01007087	项目+当前+的+土地+开垦+进行+芳特维耶区+对+扩建+这+一+项+包括	13	24
w01008043	但+爱尔兰+北+英格兰+威尔士+和+之间+法律+在+程序+和+上+差异+重要+的+存在	16	28
w01009010	最+广+的+为	4	4
w01009010	接受	1	2
w01009010	分类法+白吉龙+是+气体+质量+分类法	6	14
w01009017	获得+分类法+气体+质量+年代+于+世纪+19+50+就+预报+在+天气+中+应用+首次+而+气候学家+年+在+1973+开始	22	42
w01009017	想法+据+此+起+了+气候学+气象+建立	8	13
w01009027	是+季节性+的+盛行风	4	8
w01009027	持续+季风+可+久+月+数+之+它+地区+为+季节+雨+多+的+带来	15	20
w01010044	在+斯拉夫人+世纪+于+公元+六+前+立足	8	14
w01010044	部落+个+多+日耳曼+部落+和+主要+的+斯拉夫+期间+在+欧洲+民族+大迁徙+摩拉维亚+途径	16	32
w01010045	东南部+当今+的+摩拉维亚+地区+斯洛伐克+西南+Zahorie+下部+以及+奥地利+在	12	33
w01010045	世纪+至+八+末+公国+摩拉维亚+形成	7	13
w01010046	成+年+公元+833+这里+为+了+大摩拉维亚国+其中+包括	10	21
w01010046	被+的+征服	3	4
w01010046	公国+尼特拉+现+为+斯洛伐克	5	11
w01010047	是+一世+莫伊米尔	3	7
w01010047	国王+个+第一+年+830-846+在位	6	15
w01010048	了+摩拉维亚+入侵	3	7
w01010048	侄子+其+Rastiz+了+王位+莫伊米尔+一世+的+取代	9	21
w01010048	让+日耳曼+路易+并+Rastiz+后+被+为+罗斯季斯拉夫+圣+St.+Rastislav+称	13	36
w01012052	另外+由	2	3
w01012052	法令+选举+议会+地区+各+市区+及+的+确定	9	15
w01013083	虽然+日期+直至+较晚+的+前+年+1918+冰岛+仍+于+控制+丹麦+的+政治+下+处	17	28
w01013083	几乎+没有	2	4
w01013083	元素+丹麦语+的+借用	4	8
w01013083	但+冰岛语+在+中+也+处+鲜有	7	10
w01013083	之+受	2	2
w01013083	其+影响	2	3
w01013096	也+有	2	2
w01013096	于+芬兰语+源	3	5
w01013096	独立	1	2
w01013096	并+的+演化	3	4
w01013096	语言+芬兰语+瑞典+的+托尔讷+河谷+Meänkieli+克温斯语+以及+挪威+的+Kven+如	13	36
w01013102	辅音+渐变	2	4
w01013102	被+的+认为	3	4
w01013102	历史+不同+语言+具有	4	8
w01013102	特征+是+芬兰语+方言+和+北部+萨米人+的+共同+但+方言+在+南部+萨米+中+则+不+特征+此+存在	20	33
w01014002	称+区域+高加索+山脉+北部+亦+可+为+地区+内+高加索+Ciscaucasus+而+区域+南部+可+为+地区+外+高加索+Transcaucasus+称	22	57
w01016028	系统+整个+给	3	5
w01016028	系统+大气层+是+个+一+混沌+的+所以+变化+系统+中+部分+某+的+微小+会+影响+很大+带来	19	31
w01016034	吸收	1	2
