construct	frequency	avg_constituent_len
1	100	1.85
2	187	1.7085561497326203
3	213	1.7652582159624413
4	164	1.8018292682926829
5	124	1.7225806451612904
6	96	1.7569444444444444
7	97	1.77319587628866
8	67	1.8395522388059702
9	53	1.7232704402515724
10	56	1.7178571428571427
11	43	1.8583509513742071
12	38	1.7828947368421053
13	34	1.8597285067873304
14	22	1.7402597402597402
15	30	1.8244444444444445
16	22	1.8039772727272727
17	16	1.6691176470588236
18	10	1.738888888888889
19	14	1.7819548872180448
20	12	1.7583333333333333
21	9	1.777777777777778
22	9	1.7929292929292928
23	2	1.9565217391304348
24	3	1.7916666666666667
25	2	1.98
26	2	1.8653846153846154
27	3	1.4938271604938274
28	2	1.75
29	1	1.6896551724137931
32	1	1.65625
