construct	frequency	avg_constituent_len
1	100	1.85
2	187	1.7085561497326205
3	213	1.7652582159624413
4	164	1.8018292682926829
5	124	1.7225806451612904
6	96	1.7569444444444444
7	97	1.77319587628866
8	67	1.8395522388059704
9	53	1.7232704402515724
10	56	1.7178571428571427
11	43	1.8583509513742071
12	38	1.7828947368421053
13	34	1.8597285067873304
14	22	1.7402597402597402
15	30	1.8244444444444443
16	22	1.8039772727272727
17	16	1.6691176470588236
18	10	1.7388888888888892
19	14	1.7819548872180448
20.428571428571427	21	1.766666666666667
22.571428571428573	14	1.8160290796160363
27.272727272727273	11	1.7289232622422277
