sent_id	clause_text	word_n	character_n
w01001049	宪章曾允许创立由城镇市民管理的商人行会	11	19
w01001049	以向途经城镇的人士征收税费	8	13
w01002008	矿物资源尤为丰富	5	8
w01002008	蕴含大量的黄金钻石锰矿铅矿锌矿镍矿钴矿以及钼矿	12	23
w01002013	在极西北地区以外	4	8
w01002013	泰加林具有统治地位	4	9
w01002013	它覆盖了整个西伯利亚的一个重要部分	10	17
w01002075	2019年世界大学生冬季运动会将由雅茨克举办	10	22
w01003051	例如位于太平洋的莱恩群岛和位于印度洋的马尔代夫	13	23
w01003056	花岗岩岛屿包括塞舌尔和刁曼岛	6	14
w01003056	火山岩岛屿则如圣赫勒拿岛	5	12
w01003062	比如墨西哥下加利福尼亚州离岸的小岛屿就属于沙漠荒岛	12	25
w01004051	公元前五世纪的希腊雅典城邦依赖来自塞西亚的进口谷物	15	25
w01004051	因此与控制着海峡要道的城市	9	13
w01004051	例如麦加拉的殖民地拜占廷	5	12
w01004051	保持着关键同盟关系	5	9
w01005020	大流士十分赏识的司令官美伽巴佐斯负责实现征服巴尔干的目标	12	28
w01005021	阿契美尼德军队征服了色雷斯希腊的沿海城市以及培奥尼亚人	11	27
w01005022	最终	1	2
w01005022	在约公元前512年511年	8	13
w01005022	马其顿国王阿闵塔斯一世接受了阿契美尼德的统治	9	22
w01005022	全国投降成为阿契美尼德波斯帝国的附庸国	8	19
w01005023	多族裔的阿契美尼德军队吸纳了许多巴尔干人从军	10	22
w01005024	此外	1	2
w01005024	许多马其顿和波斯的精英人士通婚	8	15
w01006027	首家电影公司AthinaFilm于1912年成立	9	24
w01006027	AstyFilm则于1916年成立	7	17
w01006081	2007年最成功的电影是由亚尼斯斯玛拉迪斯导演的葛雷柯	13	27
w01007004	法国摩纳哥条约于1918年7月签署	9	17
w01007004	法国据此为摩纳哥提供有限的保护	9	15
w01007035	执行机构包括一名国务大臣作为政府首脑	11	18
w01007035	并由其主持政府的五人理事会	9	13
w01007070	其警察队伍包括一个负责巡逻和监管船只的特别单元	14	23
w01007087	当前的土地开垦项目包括对芳特维耶区进行扩建这一项	13	24
w01008043	但北爱尔兰英格兰和威尔士之间在法律和程序上存在重要的差异	16	28
w01009010	白吉龙分类法是最广为接受的气体质量分类法	11	20
w01009017	气体质量分类法于19世纪50年代就在天气预报中获得首次应用	16	29
w01009017	而气候学家在1973年开始据此想法建立起了气象气候学	14	26
w01009027	季风是季节性的盛行风	5	10
w01009027	可持续数月之久	6	7
w01009027	它为地区带来多雨的季节	8	11
w01010044	在斯拉夫人于公元六世纪立足前	8	14
w01010044	多个日耳曼部落和主要的斯拉夫部落在欧洲民族大迁徙期间途径摩拉维亚	16	32
w01010045	至八世纪末	4	5
w01010045	摩拉维亚公国在当今的摩拉维亚东南部斯洛伐克西南Zahorie地区以及奥地利下部形成	15	41
w01010046	公元833年	3	6
w01010046	这里成为了大摩拉维亚国	5	11
w01010046	其中包括被征服的尼特拉公国现为斯洛伐克	10	19
w01010047	第一个国王是莫伊米尔一世830-846年在位	9	22
w01010048	日耳曼路易入侵了摩拉维亚	5	12
w01010048	并让其侄子Rastiz取代了莫伊米尔一世的王位	11	23
w01010048	Rastiz后被称为圣罗斯季斯拉夫St.Rastislav	9	29
w01012052	另外	1	2
w01012052	由法令确定各地区及市区议会的选举	10	16
w01013083	虽然直至较晚的日期前1918年	8	15
w01013083	冰岛仍处于丹麦的政治控制下	9	13
w01013083	但在冰岛语中几乎没有借用丹麦语的元素	10	18
w01013083	也鲜有受其影响之处	7	9
w01013096	也有源于芬兰语并独立演化的语言	10	15
w01013096	如瑞典的托尔讷河谷芬兰语Meänkieli以及挪威的克温斯语Kven	12	34
w01013102	辅音渐变是芬兰语和北部萨米人方言的共同特征	11	21
w01013102	但在被认为具有不同语言历史的南部萨米方言中则不存在此特征	18	28
w01014002	高加索山脉北部区域亦可称为内高加索地区Ciscaucasus	12	30
w01014002	而南部区域可称为外高加索地区Transcaucasus	10	27
w01016028	大气层是一个混沌的系统	7	11
w01016028	所以系统中某部分的微小变化会给整个系统带来很大影响	15	25
w01016034	在降雨期间	3	5
w01016034	液滴从周围的空气中吸收并分解二氧化碳	10	18
w01016070	中国为2008年夏季奥运会进行的准备工作是近期天气控制的一个例子	18	32
w01017004	全球板块构造力的影响形成了东非大裂谷	10	18
w01017004	乞力马扎罗山和肯尼亚山位于东非	7	15
w01017004	它们是非洲最高的两个山峰	8	12
w01017046	后者让伊斯兰教传播到沿岸一带	7	14
w01017046	但大部分的班图人从未接触过伊斯兰教	9	17
w01017046	并保留了非洲传统宗教信徒的身份	9	15
w01018019	法国把喀麦隆的经济与法国经济融为一体	11	18
w01018019	利用资金投资和熟练工人提升基础设施	9	17
w01018019	调节劳动力系统	3	7
w01018029	1961年10月1日	6	10
w01018029	前英属南喀麦隆与法属喀麦隆统一	8	15
w01018029	组成喀麦隆联邦共和国	4	10
w01018101	根据劳动部有关最恶劣童工形式的研究报导称	11	20
w01018101	在五至十四岁的儿童中有56%为童工	12	17
w01018101	在七至十四岁的儿童中近53%处于半工半学的状态	18	23
w01019014	非洲撒海尔区的气候与位于北部的撒哈拉沙漠的气候相似	14	25
w01019014	但是其极端程度相对较低	6	11
w01019073	2010年六月至八月期间	8	12
w01019073	非洲撒海尔区发生饥荒	4	10
w01020016	位于地中海海岸附近的几个古老文明均因位置近海而受到极大的影响	19	30
w01020017	在那些时代中	4	6
w01020017	它为数个社区的贸易殖民战争乃至来自捕鱼以及海产采集的食品提供了通道	21	33
w01020018	由于气候地理和近海情况相似	7	13
w01020018	以地中海为中心的数个文明均在某程度上拥有互相交错的文化和历史	20	30
w01020019	其中两个古典时代的最著名地中海文明是希腊城邦和腓尼基人	16	27
w01020019	两者均大规模地在地中海的海岸线进行殖民活动	12	21
w01020020	后来奥古斯塔斯建立了罗马帝国	6	14
w01020020	罗马人把地中海称为我们的海MareNostrum	10	24
w01022033	Blindleia运河是一个由礁石保护起来的水路	11	24
w01022033	从挪威南部的克里斯蒂安松开始	6	14
w01022033	穿过利勒桑蜿蜒而行	5	9
w01022055	在丹麦语中	3	5
w01022055	这个词可能也适用于浅礁湖	8	12
w01022092	如峡湾一样	3	5
w01022092	淡水湖通常较深	3	7
