construct	frequency	avg_constituent_len
1	28	2.0714285714285716
2	35	2.2
3	62	1.7741935483870968
4	78	1.794871794871795
5	90	1.8088888888888888
6	97	1.7646048109965635
7	103	1.7309292649098473
8	108	1.7453703703703705
9	106	1.750524109014675
10	76	1.8355263157894737
11	85	1.7700534759358286
12	64	1.7981770833333333
13	52	1.717455621301775
14	36	1.7896825396825398
15	28	1.769047619047619
16	21	1.7827380952380953
17	12	1.9411764705882353
18	14	1.6984126984126986
19	7	1.7518796992481203
20	6	1.725
21	1	1.5714285714285714
22	3	1.6818181818181819
23	2	1.7391304347826086
25	1	1.68
28	1	1.75
