construct	frequency	avg_constituent_len
1	28	2.071428571428572
2	35	2.2
3	62	1.7741935483870968
4	78	1.794871794871795
5	90	1.8088888888888888
6	97	1.7646048109965635
7	103	1.730929264909847
8	108	1.7453703703703705
9	106	1.750524109014675
10	76	1.8355263157894737
11	85	1.7700534759358286
12	64	1.7981770833333333
13	52	1.7174556213017749
14	36	1.7896825396825398
15	28	1.7690476190476192
16	21	1.7827380952380951
17	12	1.9411764705882355
18.333333333333332	21	1.7162350320245057
21.857142857142858	14	1.7053674276034525
