sent_id	clause_text	clause_deprel	c_phrase_n	word_n
w01001049	宪章+曾+	root	2	3
w01001049	行会+商人+	advcl	1	3
w01001049	的+	acl:relcl	1	2
w01001049	市民+城镇+	ccomp	1	3
w01001049	城镇+的+	acl:relcl	2	3
w01001049	以+人士+向+税费+	xcomp	3	5
w01002008	尤+为+	advcl	2	3
w01002008	资源+矿物+黄金+大量+的+钻石+锰矿+铅矿+锌矿+镍矿+钴矿+钼矿+以及+	root	2	14
w01002013	具有+地区+在+极西北+以外+泰加林+地位+统治+它+了+部分+西伯利亚+整个+的+个+一+重要+	root	4	18
w01002075	运动会+年+2019+世界+大学生+冬季+将+	root	2	8
w01002075	雅茨克+	ccomp	1	2
w01003051	群岛+莱恩+马尔代夫+和+	root	1	5
w01003051	于+太平洋+的+	acl:relcl	3	4
w01003051	于+印度洋+的+	acl:relcl	3	4
w01003056	包括+岛屿+花岗岩+塞舌尔+刁曼岛+和+岛屿+火山岩+则+圣赫勒拿岛+	root	4	11
w01003062		root	0	1
w01003062	的+	acl:relcl	1	2
w01003062	小岛屿+墨西哥+加利福尼亚州+下+就+于+荒岛+沙漠+	ccomp	4	9
w01004051	谷物+进口+	advcl	1	3
w01004051	塞西亚+自+的+	acl:relcl	2	4
w01004051	着+要道+海峡+的+	acl:relcl	3	5
w01004051	与+城市+殖民地+麦加拉+的+拜占廷+	xcomp	3	7
w01004051	城邦+世纪+公元+前+五+的+希腊+雅典+此+因+着+关系+关键+同盟+	root	4	15
w01005020	大流士+十分+的+	acl:relcl	3	4
w01005020	司令官+美伽巴佐斯+	root	1	3
w01005020	目标+	xcomp	1	2
w01005020	巴尔干+的+	acl:relcl	2	3
w01005021	军队+阿契美尼德+了+城市+色雷斯+希腊+的+沿海+培奥尼亚人+以及+	root	3	11
w01005022		advcl	0	1
w01005022	最终+年+在+约+公元+前+年+512+511+接受+国王+马其顿+阿闵塔斯+一世+了+统治+阿契美尼德+的+全国+为+附庸国+帝国+阿契美尼德波斯+的+	root	6	25
w01005023	军队+族裔+多+的+阿契美尼德+了+	root	2	7
w01005023	巴尔干人+许多+	ccomp	1	3
w01005024	此外+人士+许多+马其顿+波斯+和+的+精英+	root	2	9
w01006027	成立+公司+首家+电影+Athina+Film+年+于+1912+Asty+Film+则+年+于+1916+	root	4	16
w01006081	的+	acl:relcl	1	2
w01006081	亚尼斯+斯玛拉迪斯+	ccomp	1	3
w01006081	年+2007+电影+成功+最+的+是+	root	3	8
w01007004	签署+条约+法国+摩纳哥+月+于+年+1918+7+法国+此+据+摩纳哥+为+保护+有限+的+	root	5	18
w01007035		advcl	0	1
w01007035	大臣+名+一+国务+为+首脑+政府+	ccomp	3	8
w01007035	机构+执行+并+	root	2	4
w01007035	其+理事会+政府+的+人+五+	ccomp	2	7
w01007070	队伍+其+警察+单元+个+一+特别+	root	2	8
w01007070	的+	acl:relcl	1	2
w01007070		xcomp	0	1
w01007070	和+船只+	conj	2	3
w01007087	项目+当前+的+土地+开垦+进行+芳特维耶区+对+扩建+这+一+项+	root	2	13
w01008043	但+爱尔兰+北+英格兰+威尔士+和+之间+法律+在+程序+和+上+差异+重要+的+	root	4	16
w01009010	最+广+的+	acl:relcl	3	4
w01009010		xcomp	0	1
w01009010	分类法+白吉龙+是+气体+质量+	root	4	6
w01009017	获得+分类法+气体+质量+年代+于+世纪+19+50+就+预报+在+天气+中+应用+首次+而+气候学家+年+在+1973+	root	4	22
w01009017	想法+据+此+起+了+气候学+气象+	xcomp	4	8
w01009027	是+季节性+的+	advcl	2	4
w01009027	持续+季风+可+久+月+数+之+它+地区+为+季节+雨+多+的+	root	4	15
w01010044	在+斯拉夫人+世纪+于+公元+六+前+	xcomp	4	8
w01010044	部落+个+多+日耳曼+部落+和+主要+的+斯拉夫+期间+在+欧洲+民族+大迁徙+摩拉维亚+	root	3	16
w01010045	东南部+当今+的+摩拉维亚+地区+斯洛伐克+西南+Zahorie+下部+以及+奥地利+	advcl	1	12
w01010045	世纪+至+八+末+公国+摩拉维亚+	root	2	7
w01010046	成+年+公元+833+这里+为+了+大摩拉维亚国+其中+	root	2	10
w01010046	被+的+	acl:relcl	2	3
w01010046	公国+尼特拉+现+为+	ccomp	3	5
w01010047	是+一世+	advcl	2	3
w01010047	国王+个+第一+年+830-846+	root	2	6
w01010048	了+摩拉维亚+	advcl	2	3
w01010048	侄子+其+Rastiz+了+王位+莫伊米尔+一世+的+	advcl	3	9
w01010048	让+日耳曼+路易+并+Rastiz+后+被+为+罗斯季斯拉夫+圣+St.+Rastislav+	root	6	13
w01012052	另外+	root	1	2
w01012052	法令+选举+议会+地区+各+市区+及+的+	ccomp	2	9
w01013083	虽然+日期+直至+较晚+的+前+年+1918+冰岛+仍+于+控制+丹麦+的+政治+下+	advcl	6	17
w01013083	几乎+	advcl	1	2
w01013083	元素+丹麦语+的+	xcomp	1	4
w01013083	但+冰岛语+在+中+也+处+	root	4	7
w01013083	之+	acl:relcl	1	2
w01013083	其+	ccomp	1	2
w01013096	也+	root	1	2
w01013096	于+芬兰语+	advcl	2	3
w01013096		advcl	0	1
w01013096	并+的+	acl:relcl	2	3
w01013096	语言+芬兰语+瑞典+的+托尔讷+河谷+Meänkieli+克温斯语+以及+挪威+的+Kven+	ccomp	2	13
w01013102	辅音+	csubj	1	2
w01013102	被+的+	acl:relcl	2	3
w01013102	历史+不同+语言+	xcomp	1	4
w01013102	特征+是+芬兰语+方言+和+北部+萨米人+的+共同+但+方言+在+南部+萨米+中+则+不+特征+此+	root	6	20
w01014002	称+区域+高加索+山脉+北部+亦+可+为+地区+内+高加索+Ciscaucasus+而+区域+南部+可+为+地区+外+高加索+Transcaucasus+	root	6	22
w01016028	系统+整个+	advcl	1	3
w01016028	系统+大气层+是+个+一+混沌+的+所以+变化+系统+中+部分+某+的+微小+会+影响+很大+	root	5	19
w01016034		advcl	0	1
w01016034	期间+在+降雨+液滴+空气+从+周围+的+中+并+二氧化碳+	root	5	12
w01016070	中国+奥运会+为+年+2008+夏季+的+	acl:relcl	3	8
