sent_id	clause_text	lds_n	word_n
w01001049	允许+宪章+曾+	2	3
w01001049	创立+行会+商人+	2	3
w01001049	由+的+	2	2
w01001049	管理+市民+城镇+	1	3
w01001049	途经+城镇+的+	2	3
w01001049	征收+以+人士+向+税费+	3	5
w01002008	丰富+尤+为+	2	3
w01002008	蕴含+资源+矿物+黄金+大量+的+钻石+锰矿+铅矿+锌矿+镍矿+钴矿+钼矿+以及+	10	14
w01002013	覆盖+具有+地区+在+极西北+以外+泰加林+地位+统治+它+了+部分+西伯利亚+整个+的+个+一+重要+	8	18
w01002075	由+运动会+年+2019+世界+大学生+冬季+将+	5	8
w01002075	举办+雅茨克+	1	2
w01003051	例如+群岛+莱恩+马尔代夫+和+	4	5
w01003051	位+于+太平洋+的+	3	4
w01003051	位+于+印度洋+的+	3	4
w01003056	如+包括+岛屿+花岗岩+塞舌尔+刁曼岛+和+岛屿+火山岩+则+圣赫勒拿岛+	4	11
w01003062	比如+	1	1
w01003062	离岸+的+	1	2
w01003062	属+小岛屿+墨西哥+加利福尼亚州+下+就+于+荒岛+沙漠+	5	9
w01004051	依赖+谷物+进口+	2	3
w01004051	来+塞西亚+自+的+	3	4
w01004051	控制+着+要道+海峡+的+	3	5
w01004051	例如+与+城市+殖民地+麦加拉+的+拜占廷+	4	7
w01004051	保持+城邦+世纪+公元+前+五+的+希腊+雅典+此+因+着+关系+关键+同盟+	8	15
w01005020	赏识+大流士+十分+的+	2	4
w01005020	负责+司令官+美伽巴佐斯+	2	3
w01005020	实现+目标+	2	2
w01005020	征服+巴尔干+的+	2	3
w01005021	征服+军队+阿契美尼德+了+城市+色雷斯+希腊+的+沿海+培奥尼亚人+以及+	5	11
w01005022	投降+	1	1
w01005022	成+最终+年+在+约+公元+前+年+512+511+接受+国王+马其顿+阿闵塔斯+一世+了+统治+阿契美尼德+的+全国+为+附庸国+帝国+阿契美尼德波斯+的+	15	25
w01005023	吸纳+军队+族裔+多+的+阿契美尼德+了+	2	7
w01005023	从军+巴尔干人+许多+	1	3
w01005024	通婚+此外+人士+许多+马其顿+波斯+和+的+精英+	6	9
w01006027	成立+成立+公司+首家+电影+Athina+Film+年+于+1912+Asty+Film+则+年+于+1916+	8	16
w01006081	由+的+	2	2
w01006081	导演+亚尼斯+斯玛拉迪斯+	2	3
w01006081	葛雷柯+年+2007+电影+成功+最+的+是+	5	8
w01007004	提供+签署+条约+法国+摩纳哥+月+于+年+1918+7+法国+此+据+摩纳哥+为+保护+有限+的+	10	18
w01007035	包括+	1	1
w01007035	作+大臣+名+一+国务+为+首脑+政府+	3	8
w01007035	由+机构+执行+并+	2	4
w01007035	主持+其+理事会+政府+的+人+五+	3	7
w01007070	包括+队伍+其+警察+单元+个+一+特别+	4	8
w01007070	负责+的+	2	2
w01007070	巡逻+	1	1
w01007070	监管+和+船只+	1	3
w01007087	包括+项目+当前+的+土地+开垦+进行+芳特维耶区+对+扩建+这+一+项+	7	13
w01008043	存在+但+爱尔兰+北+英格兰+威尔士+和+之间+法律+在+程序+和+上+差异+重要+的+	10	16
w01009010	为+最+广+的+	3	4
w01009010	接受+	1	1
w01009010	分类法+分类法+白吉龙+是+气体+质量+	4	6
w01009017	开始+获得+分类法+气体+质量+年代+于+世纪+19+50+就+预报+在+天气+中+应用+首次+而+气候学家+年+在+1973+	14	22
w01009017	建立+想法+据+此+起+了+气候学+气象+	4	8
w01009027	盛行风+是+季节性+的+	3	4
w01009027	带来+持续+季风+可+久+月+数+之+它+地区+为+季节+雨+多+的+	8	15
w01010044	立足+在+斯拉夫人+世纪+于+公元+六+前+	5	8
w01010044	途径+部落+个+多+日耳曼+部落+和+主要+的+斯拉夫+期间+在+欧洲+民族+大迁徙+摩拉维亚+	9	16
w01010045	在+东南部+当今+的+摩拉维亚+地区+斯洛伐克+西南+Zahorie+下部+以及+奥地利+	8	12
w01010045	形成+世纪+至+八+末+公国+摩拉维亚+	4	7
w01010046	包括+成+年+公元+833+这里+为+了+大摩拉维亚国+其中+	6	10
w01010046	征服+被+的+	1	3
w01010046	斯洛伐克+公国+尼特拉+现+为+	3	5
w01010047	莫伊米尔+是+一世+	1	3
w01010047	在位+国王+个+第一+年+830-846+	2	6
w01010048	入侵+了+摩拉维亚+	2	3
w01010048	取代+侄子+其+Rastiz+了+王位+莫伊米尔+一世+的+	5	9
w01010048	称+让+日耳曼+路易+并+Rastiz+后+被+为+罗斯季斯拉夫+圣+St.+Rastislav+	6	13
w01012052	由+另外+	1	2
w01012052	确定+法令+选举+议会+地区+各+市区+及+的+	5	9
w01013083	处+虽然+日期+直至+较晚+的+前+年+1918+冰岛+仍+于+控制+丹麦+的+政治+下+	9	17
w01013083	没有+几乎+	1	2
w01013083	借用+元素+丹麦语+的+	3	4
w01013083	鲜有+但+冰岛语+在+中+也+处+	4	7
w01013083	受+之+	2	2
w01013083	影响+其+	1	2
w01013096	有+也+	1	2
w01013096	源+于+芬兰语+	2	3
w01013096	独立+	1	1
w01013096	演化+并+的+	2	3
w01013096	如+语言+芬兰语+瑞典+的+托尔讷+河谷+Meänkieli+克温斯语+以及+挪威+的+Kven+	7	13
w01013102	渐变+辅音+	1	2
w01013102	认为+被+的+	2	3
w01013102	具有+历史+不同+语言+	3	4
w01013102	存在+特征+是+芬兰语+方言+和+北部+萨米人+的+共同+但+方言+在+南部+萨米+中+则+不+特征+此+	14	20
w01014002	称+称+区域+高加索+山脉+北部+亦+可+为+地区+内+高加索+Ciscaucasus+而+区域+南部+可+为+地区+外+高加索+Transcaucasus+	12	22
w01016028	给+系统+整个+	2	3
w01016028	带来+系统+大气层+是+个+一+混沌+的+所以+变化+系统+中+部分+某+的+微小+会+影响+很大+	12	19
w01016034	吸收+	1	1
w01016034	分解+期间+在+降雨+液滴+空气+从+周围+的+中+并+二氧化碳+	7	12
w01016070	进行+中国+奥运会+为+年+2008+夏季+的+	4	8
w01016070	例子+工作+准备+是+控制+近期+天气+的+个+一+	5	10
w01017004	山峰+形成+影响+构造力+全球+板块+的+了+大裂谷+东+非+位+乞力马扎罗山+肯尼亚山+和+于+非+东+它们+是+非洲+最高+的+个+两+	14	25
w01017046	传播+伊斯兰教+到+一带+沿岸+	2	5
w01017046	接触+从未+过+伊斯兰教+	2	4
w01017046	保留+让+后者+但+人+大部分+的+班图+并+了+身份+信徒+非洲+传统+宗教+的+	9	16
w01018019	融+经济+把+喀麦隆+的+经济+与+法国+为+一体+	5	10
w01018019	利用+投资+资金+工人+和+熟练+	4	6
w01018019	提升+设施+基础+	2	3
w01018019	调节+法国+系统+劳动力+	3	4
w01018029	统一+喀麦隆+与+属+法+	2	5
w01018029	组成+日+年+1961+月+10+1+喀麦隆+前英属+南+共和国+喀麦隆+联邦+	8	13
w01018101	称+报导+根据+劳动部+有关+形式+恶劣+最+童工+的+研究+	7	11
w01018101	童工+56%+为+	2	3
w01018101	处+有+儿童+在+岁+五+十四+至+的+中+儿童+在+岁+七+十四+至+的+中+53%+近+于+状态+学+工+半+半+的+	15	27
w01019014	位+于+北部+的+	3	4
w01019014	较低+相似+气候+撒海尔区+非洲+的+气候+与+沙漠+撒哈拉+的+但是+程度+其+极端+相对+	9	16
w01019073	发生+期间+年+2010+月+六+月+至+八+撒海尔区+非洲+饥荒+	6	12
w01020016	位+于+附近+地中海+海岸+的+	4	6
w01020016	近海+因+位置+	2	3
w01020016	受到+文明+个+几+古老+均+而+影响+极大+的+	6	10
w01020017	来+自+捕鱼+采集+以及+海产+的+	5	7
w01020017	提供+时代+在+那些+中+它+贸易+为+社区+个+数+的+殖民+战争+食品+乃至+了+通道+	11	18
w01020018	相似+由于+气候+地理+情况+和+近海+	4	7
w01020018	以+的+	2	2
w01020018	中心+地中海+为+	2	3
w01020018	拥有+文明+个+数+均+程度+在+某+上+文化+历史+和+	7	12
w01020018	交错+互相+的+	1	3
w01020019	在+海岸线+地中海+的+	3	4
w01020019	进行+人+其中+文明+个+两+时代+古典+的+著名+最+地中海+是+城邦+希腊+腓尼基+和+者+两+均+大规模+地+活动+殖民+	15	24
w01020020	称+建立+后来+奥古斯塔斯+了+帝国+罗马+罗马人+地中海+把+为+海+我们+的+Mare+Nostrum+	7	16
w01022033	由+的+	2	2
w01022033	保护+礁石+起来+	1	3
w01022033	水路+是+个+一+	3	4
w01022033	开始+运河+Blindleia+克里斯蒂安松+从+南部+挪威+的+	4	8
w01022033	穿过+利勒桑+	1	2
w01022033	行+蜿蜒+而+	2	3
w01022055	适用+丹麦语+在+中+词+个+这+可能+也+于+浅礁湖+	5	11
w01022092	一样+峡湾+如+	1	3
w01022092	较深+淡水湖+通常+	2	3
w01023074	诸如+饮品+酒精类+啤酒+蜂蜜酒+bjorr酒+和+水果酒+种+一+烈性+	4	11
w01023074	享用+提供+这里+富人+还+可以+到+葡萄酒+进口+	5	9
w01023120	什么+无论+规则+是+	3	4
w01023120	导致+搏斗+在+这些+中+通常+会+	4	7
w01023120	死亡+种马+其中+匹+一+	2	5
w01025083	紧邻+南部+丹内维尔克+的+	1	4
w01025083	前进+的+	1	2
w01025083	攻占+来临+严冬+时+形成+施莱湾+丹内维尔克+胡苏姆+和+之间+的+湿地+和+了+冻土+土地+已+军队+被+德国+	13	20
w01025084	让+行动+次+这+撤退+	2	5
w01025084	意外+联军+普+奥+感到+	3	5
w01025084	完成+因为+几乎+军队+所有+丹麦+都+成功+了+撤离+	7	10
w01025085	遗弃+部件+重型+火炮+关键+被+	4	6
w01025085	通往+当时+弗伦斯堡+的+	2	4
w01025085	议题+导致+不过+这+也+而+疑问+关于+利用+何+为+铁路+未+被+妥善+的+也+一直+是+个+一+历史+	17	22
w01025086	撤退+的+	1	2
w01025086	震惊+大众+丹麦+十分+	2	4
w01025086	是+丹内维尔克+的+	2	3
w01025086	坚不可摧+	1	1
w01025086	解除+让+消息+认为+他们+曾+将军+梅塞+也+被+随即+被+指挥权+	8	13
w01025087	归+此+自+以后+丹内维尔克+便+	3	6
w01025087	管辖+德国+	1	2
w01026024	运输+多瑙河+上+的+	2	4
w01026024	上升+年+1987+数量+货物+至+吨+约+一亿+	4	9
w01026037	在+左岸+奇莉娅湾+Chiliaarm+	3	4
w01026037	位+位+区域+角洲+多瑙河+三+的+大部分+于+图尔恰郡+罗马尼亚+而+区域+其+北部+于+境内+乌克兰+敖德萨州+	10	19
w01027007	有+干燥+气候+这里+的+非常+偶尔+甚至+会+	6	9
w01027007	以为+人+误+	2	3
w01027007	部分+平原+个+这+是+沙漠+撒哈拉+的+一+	4	9
w01027015	在+处+它+与+西部+国家+个+这+的+不同+之+于+	6	12
w01027015	相同+特点+其+主要+的+地形+区域+与+海岸+不+	6	10
w01027035	地处+温带+	1	2
w01027035	享有+北部+阿尔及利亚+气候+温和+的+地中海+	4	7
w01028004	重要+最+的+	1	3
w01028004	汇入+最终+密西西比河+的+	2	4
w01028004	俄亥俄河+就是+	2	2
w01028050	在+问题+矛盾+的+核心+于+	2	6
w01028050	是+堪萨斯州+	1	2
w01028050	加入+身份+以+自由州+奴隶制州+还是+的+联邦+	5	8
w01028069	说明+反应+全国+对于+事件+堪萨斯州+的+了+	5	8
w01028069	严重+现象+国家+个+这+的+分化+是+多么+	4	9
w01029015	展示+叶子+的+	1	3
w01029015	到+黄绿色+从+蓝绿色+	1	4
w01029015	不一而足+绿色+方面+在+颜色+是+多样+的+	6	8
w01029049	依赖+印第安人+美+全+的+都+	3	6
w01029049	作+其+为+方法+主要+的+医学+治疗+	4	8
w01029083	位+于+西北部+欧洲+乌克兰+和+的+	4	7
w01029083	用+教堂+基督+通常+庆典+在+主日+棕枝+的+上+	6	10
w01029083	取代+柳枝+棕榈叶+	1	3
w01030092	提供+山脉+阿尔卑斯+地区+为+欧洲+低海拔+了+饮用水+灌溉水+条件+和+	7	12
w01030092	发电+水力+的+	1	3
w01030093	占据+虽然+区域+此+只+11%+地表+欧洲+的+	5	9
w01030093	提供+但+山脉+阿尔卑斯+地区+为+欧洲+低海拔+是+特别+地区+在+干旱+月份+和+夏季+了+资源+水+	12	19
w01030093	高达+90%+的+	2	3
w01030094	来+城市+在+如+米兰+等+中+供水+80%+的+自+于+径流+阿尔卑斯山+的+	8	15
w01030095	利用+了+资源+河流+的+水+	3	6
w01030095	产生+水电站+超过+座+500+可+电力+	5	7
w01030095	多达+千瓦+2900+的+	3	4
w01030096	来+均+瑞士+自+	2	4
w01030096	有+例如+河流+欧洲+的+主要+莱茵河+罗讷河+茵河+提契诺河+宝河+和+河流+所有+均+	8	15
w01030096	来+源头+自+山脉+阿尔卑斯+	2	5
w01031003	称+学习+对+火山+的+研究+可+为+	4	8
w01031003	拼写+火山学+volcanology+有时+也+可以+为+vulcanology+	5	8
w01031015	高+因+含量+矽+	2	4
w01031015	无法+一般+	1	2
w01031015	到达+地表+	1	2
w01031015	冷却+粘稠+岩浆+一般+而+较为+此+因+它+而是+深处+在+	8	12
w01031034	发生+一般+它们+也+不会+爆炸+灾难性+的+	6	8
