sent_id	phrase_text	word_n	character_n
w01001049	宪章+	1	2
w01001049	曾+	1	1
w01001049	征收+创立+由+城镇+市民+管理+的+商人+行会+以+向+途经+城镇+的+人士+税费+	16	27
w01002008	资源+矿物+	2	4
w01002008	丰富+尤+为+	3	4
w01002008	黄金+大量+的+钻石+锰矿+铅矿+锌矿+镍矿+钴矿+以及+钼矿+	11	21
w01002013	具有+在+极西北+地区+以外+泰加林+统治+地位+	8	17
w01002013	它+	1	1
w01002013	了+	1	1
w01002013	部分+整个+西伯利亚+的+一+个+重要+	7	13
w01002075	运动会+2019+年+世界+大学生+冬季+	6	15
w01002075	将+	1	1
w01002075	举办+雅茨克+	2	5
w01003051	群岛+位+于+太平洋+的+莱恩+和+位+于+印度洋+的+马尔代夫+	12	21
w01003056	包括+花岗岩+岛屿+塞舌尔+和+刁曼岛+	6	14
w01003056	岛屿+火山岩+	2	5
w01003056	则+	1	1
w01003056	圣赫勒拿岛+	1	5
w01003062	属+墨西哥+下+加利福尼亚州+离岸+的+小岛屿+就+于+沙漠+荒岛+	11	23
w01004051	城邦+公元+前+五+世纪+的+希腊+雅典+	8	13
w01004051	依赖+来+自+塞西亚+的+进口+谷物+	7	12
w01004051	此+因+	2	2
w01004051	例如+与+控制+着+海峡+要道+的+城市+麦加拉+的+殖民地+拜占廷+	12	23
w01004051	着+	1	1
w01004051	关系+关键+同盟+	3	6
w01005020	司令官+大流士+十分+赏识+的+美伽巴佐斯+	6	16
w01005020	实现+征服+巴尔干+的+目标+	5	10
w01005021	军队+阿契美尼德+	2	7
w01005021	了+	1	1
w01005021	城市+色雷斯+希腊+的+沿海+以及+培奥尼亚人+	7	17
w01005022	最终+	1	2
w01005022	年+在+约+公元+前+512+年+511+	8	13
w01005022	接受+马其顿+国王+阿闵塔斯+一世+了+阿契美尼德+的+统治+	9	22
w01005022	全国+	1	2
w01005022	投降+	1	2
w01005022	为+	1	1
w01005022	附庸国+阿契美尼德波斯+帝国+的+	4	13
w01005023	军队+多+族裔+的+阿契美尼德+	5	11
w01005023	了+	1	1
w01005023	从军+许多+巴尔干人+	3	8
w01005024	此外+	1	2
w01005024	人士+许多+马其顿+和+波斯+的+精英+	7	13
w01006027	成立+首家+电影+公司+Athina+Film+于+1912+年+	9	24
w01006027	Asty+Film+	2	8
w01006027	则+	1	1
w01006027	年+于+1916+	3	6
w01006081	年+2007+	2	5
w01006081	电影+最+成功+的+	4	6
w01006081	是+	1	1
