construct	frequency	avg_constituent_len
1	880	1.5886363636363636
2	206	1.9490291262135921
3	186	1.842293906810036
4	150	1.8533333333333333
5	127	1.793700787401575
6	116	1.8218390804597702
7	94	1.7948328267477205
8	82	1.7469512195121952
9	57	1.7797270955165692
10	60	1.7766666666666666
11	40	1.8454545454545455
12	29	1.7442528735632183
13	22	1.8006993006993008
14	16	1.8169642857142858
15	16	1.775
16	13	1.75
17	10	1.6647058823529413
18	8	1.6527777777777777
19	6	1.6929824561403508
20	8	1.74375
21	5	1.8380952380952382
22	3	1.5909090909090908
24	1	1.7916666666666667
25	1	1.72
26	2	1.7115384615384615
27	1	2.0
29	1	1.5862068965517242
30	2	1.5166666666666666
31	1	1.7419354838709677
