construct	frequency	avg_constituent_len
1	880	1.5886363636363636
2	206	1.949029126213592
3	186	1.842293906810036
4	150	1.8533333333333333
5	127	1.793700787401575
6	116	1.8218390804597704
7	94	1.7948328267477205
8	82	1.7469512195121952
9	57	1.7797270955165692
10	60	1.7766666666666666
11	40	1.8454545454545452
12	29	1.7442528735632183
13	22	1.8006993006993008
14	16	1.8169642857142856
15	16	1.775
16	13	1.75
17	10	1.6647058823529413
18.428571428571427	14	1.6700083542188804
20.384615384615383	13	1.7800366300366302
26.166666666666668	12	1.672412214685574
