sent_id	word_char	upos	character_token_n	component_n
w01001049	宪章	NOUN	2	4
w01001049	曾	ADV	1	2
w01001049	允许	VERB	2	4
w01001049	创立	VERB	2	3
w01001049	由	VERB	1	1
w01001049	城镇	NOUN	2	4
w01001049	市民	NOUN	2	3
w01001049	管理	VERB	2	4
w01001049	的	PART	1	2
w01001049	商人	NOUN	2	3
w01001049	行会	NOUN	2	4
w01001049	以	ADV	1	2
w01001049	向	ADP	1	2
w01001049	途经	VERB	2	4
w01001049	人士	NOUN	2	2
w01001049	征收	VERB	2	4
w01001049	税费	NOUN	2	4
w01002008	矿物	NOUN	2	4
w01002008	资源	NOUN	2	4
w01002008	尤	ADV	1	1
w01002008	为	AUX	1	1
w01002008	丰富	ADJ	2	3
w01002008	蕴含	VERB	2	4
w01002008	大量	ADJ	2	3
w01002008	黄金	NOUN	2	2
w01002008	钻石	NOUN	2	3
w01002008	锰矿	NOUN	2	4
w01002008	铅矿	NOUN	2	5
w01002008	锌矿	NOUN	2	4
w01002008	镍矿	NOUN	2	4
w01002008	钴矿	NOUN	2	4
w01002008	以及	CCONJ	2	3
w01002008	钼矿	NOUN	2	4
w01002013	在	ADP	1	2
w01002013	极西北	NOUN	3	5
w01002013	地区	NOUN	2	4
w01002013	以外	ADP	2	4
w01002013	泰加林	PROPN	3	6
w01002013	具有	VERB	2	4
w01002013	统治	NOUN	2	4
w01002013	地位	NOUN	2	4
w01002013	它	PRON	1	2
w01002013	覆盖	VERB	2	4
w01002013	了	PART	1	1
w01002013	整个	DET	2	4
w01002013	西伯利亚	PROPN	4	6
w01002013	一	NUM	1	1
w01002013	个	NOUN	1	2
w01002013	重要	ADJ	2	3
w01002013	部分	NOUN	2	4
w01002075	年	NOUN	1	1
w01002075	世界	NOUN	2	3
w01002075	大学生	NOUN	3	4
w01002075	冬季	NOUN	2	4
w01002075	运动会	VERB	3	6
w01002075	将	ADV	1	3
w01002075	雅茨克	PROPN	3	6
w01002075	举办	VERB	2	3
w01003051	例如	VERB	2	4
w01003051	位	VERB	1	2
w01003051	于	VERB	1	1
w01003051	太平洋	PROPN	3	5
w01003051	莱恩	PROPN	2	4
w01003051	群岛	NOUN	2	4
w01003051	和	CCONJ	1	2
w01003051	印度洋	PROPN	3	6
w01003051	马尔代夫	PROPN	4	6
w01003056	花岗岩	NOUN	3	6
w01003056	岛屿	NOUN	2	4
w01003056	包括	VERB	2	4
w01003056	塞舌尔	PROPN	3	5
w01003056	刁曼岛	PROPN	3	6
w01003056	火山岩	NOUN	3	4
w01003056	则	ADV	1	2
w01003056	如	VERB	1	2
w01003056	圣赫勒拿岛	PROPN	5	10
w01003062	比如	VERB	2	3
w01003062	墨西哥	PROPN	3	5
w01003062	下	NOUN	1	1
w01003062	加利福尼亚州	PROPN	6	10
w01003062	离岸	VERB	2	4
w01003062	小岛屿	NOUN	3	5
w01003062	就	ADV	1	2
w01003062	属	VERB	1	2
w01003062	沙漠	NOUN	2	4
w01003062	荒岛	NOUN	2	4
w01004051	公元	NOUN	2	4
w01004051	前	ADP	1	3
w01004051	五	NUM	1	1
w01004051	世纪	NOUN	2	3
w01004051	希腊	PROPN	2	4
w01004051	雅典	PROPN	2	4
w01004051	城邦	NOUN	2	4
w01004051	依赖	VERB	2	4
w01004051	来	VERB	1	1
w01004051	自	ADP	1	1
w01004051	塞西亚	PROPN	3	4
w01004051	进口	NOUN	2	3
w01004051	谷物	NOUN	2	3
