sent_id	word_char	upos	character_token_n	component_n
w01001049	宪章	NOUN	2	7
w01001049	曾	ADV	1	4
w01001049	允许	VERB	2	5
w01001049	创立	VERB	2	5
w01001049	由	VERB	1	1
w01001049	城镇	NOUN	2	6
w01001049	市民	NOUN	2	3
w01001049	管理	VERB	2	5
w01001049	的	PART	1	2
w01001049	商人	NOUN	2	4
w01001049	行会	NOUN	2	6
w01001049	以	ADV	1	2
w01001049	向	ADP	1	2
w01001049	途经	VERB	2	6
w01001049	城镇	NOUN	2	6
w01001049	的	PART	1	2
w01001049	人士	NOUN	2	2
w01001049	征收	VERB	2	5
w01001049	税费	NOUN	2	7
w01002008	矿物	NOUN	2	4
w01002008	资源	NOUN	2	8
w01002008	尤	ADV	1	1
w01002008	为	AUX	1	1
w01002008	丰富	ADJ	2	7
w01002008	蕴含	VERB	2	6
w01002008	大量	ADJ	2	4
w01002008	的	PART	1	2
w01002008	黄金	NOUN	2	5
w01002008	钻石	NOUN	2	4
w01002008	锰矿	NOUN	2	5
w01002008	铅矿	NOUN	2	5
w01002008	锌矿	NOUN	2	6
w01002008	镍矿	NOUN	2	6
w01002008	钴矿	NOUN	2	5
w01002008	以及	CCONJ	2	3
w01002008	钼矿	NOUN	2	4
w01002013	在	ADP	1	2
w01002013	极西北	NOUN	3	4
w01002013	地区	NOUN	2	4
w01002013	以外	ADP	2	4
w01002013	泰加林	PROPN	3	6
w01002013	具有	VERB	2	3
w01002013	统治	NOUN	2	6
w01002013	地位	NOUN	2	5
w01002013	它	PRON	1	2
w01002013	覆盖	VERB	2	7
w01002013	了	PART	1	1
w01002013	整个	DET	2	5
w01002013	西伯利亚	PROPN	4	10
w01002013	的	PART	1	2
w01002013	一	NUM	1	1
w01002013	个	NOUN	1	1
w01002013	重要	ADJ	2	3
w01002013	部分	NOUN	2	6
w01002075	年	NOUN	1	2
w01002075	世界	NOUN	2	6
w01002075	大学生	NOUN	3	5
w01002075	冬季	NOUN	2	5
w01002075	运动会	VERB	3	9
w01002075	将	ADV	1	3
w01002075	由	VERB	1	1
w01002075	雅茨克	PROPN	3	9
w01002075	举办	VERB	2	4
w01003051	例如	VERB	2	5
w01003051	位	VERB	1	3
w01003051	于	VERB	1	1
w01003051	太平洋	PROPN	3	4
w01003051	的	PART	1	2
w01003051	莱恩	PROPN	2	6
w01003051	群岛	NOUN	2	5
w01003051	和	CCONJ	1	3
w01003051	位	VERB	1	3
w01003051	于	VERB	1	1
w01003051	印度洋	PROPN	3	7
w01003051	的	PART	1	2
w01003051	马尔代夫	PROPN	4	6
w01003056	花岗岩	NOUN	3	8
w01003056	岛屿	NOUN	2	5
w01003056	包括	VERB	2	5
w01003056	塞舌尔	PROPN	3	8
w01003056	和	CCONJ	1	3
w01003056	刁曼岛	PROPN	3	6
w01003056	火山岩	NOUN	3	4
w01003056	岛屿	NOUN	2	5
w01003056	则	ADV	1	2
w01003056	如	VERB	1	2
w01003056	圣赫勒拿岛	PROPN	5	14
w01003062	比如	VERB	2	3
w01003062	墨西哥	PROPN	3	8
w01003062	下	NOUN	1	2
w01003062	加利福尼亚州	PROPN	6	18
w01003062	离岸	VERB	2	7
w01003062	的	PART	1	2
w01003062	小岛屿	NOUN	3	6
w01003062	就	ADV	1	4
w01003062	属	VERB	1	4
w01003062	于	VERB	1	1
w01003062	沙漠	NOUN	2	7
w01003062	荒岛	NOUN	2	5
w01004051	公元	NOUN	2	4
w01004051	前	ADP	1	3
w01004051	五	NUM	1	1
w01004051	世纪	NOUN	2	3
w01004051	的	PART	1	2
w01004051	希腊	PROPN	2	6
w01004051	雅典	PROPN	2	4
w01004051	城邦	NOUN	2	4
w01004051	依赖	VERB	2	6
w01004051	来	VERB	1	1
w01004051	自	ADP	1	2
w01004051	塞西亚	PROPN	3	9
w01004051	的	PART	1	2
w01004051	进口	NOUN	2	3
w01004051	谷物	NOUN	2	5
w01004051	因	ADP	1	2
w01004051	此	PRON	1	2
w01004051	与	ADP	1	2
w01004051	控制	VERB	2	6
w01004051	着	PART	1	2
w01004051	海峡	NOUN	2	5
w01004051	要道	NOUN	2	6
w01004051	的	PART	1	2
w01004051	城市	NOUN	2	4
w01004051	例如	VERB	2	5
w01004051	麦加拉	PROPN	3	7
w01004051	的	PART	1	2
w01004051	殖民地	VERB	3	6
w01004051	拜占廷	PROPN	3	6
w01004051	保持	VERB	2	6
w01004051	着	PART	1	2
w01004051	关键	NOUN	2	6
w01004051	同盟	NOUN	2	6
w01004051	关系	NOUN	2	4
w01005020	大流士	NOUN	3	4
w01005020	十分	ADV	2	3
w01005020	赏识	VERB	2	6
w01005020	的	PART	1	2
w01005020	司令官	NOUN	3	8
w01005020	美伽巴佐斯	PROPN	5	12
w01005020	负责	VERB	2	4
w01005020	实现	VERB	2	5
w01005020	征服	VERB	2	5
w01005020	巴尔干	PROPN	3	4
w01005020	的	PART	1	2
w01005020	目标	NOUN	2	5
w01005021	阿契美尼德	PROPN	5	15
w01005021	军队	NOUN	2	4
w01005021	征服	VERB	2	5
w01005021	了	PART	1	1
w01005021	色雷斯	PROPN	3	9
w01005021	希腊	PROPN	2	6
w01005021	的	PART	1	2
w01005021	沿海	NOUN	2	6
w01005021	城市	NOUN	2	4
w01005021	以及	CCONJ	2	3
w01005021	培奥尼亚人	PROPN	5	14
w01005022	最终	NOUN	2	6
w01005022	在	ADP	1	2
w01005022	约	ADV	1	2
w01005022	公元	NOUN	2	4
w01005022	前	ADP	1	3
w01005022	年	NOUN	1	2
w01005022	年	NOUN	1	2
w01005022	马其顿	PROPN	3	7
w01005022	国王	NOUN	2	4
w01005022	阿闵塔斯	PROPN	4	14
w01005022	一世	PROPN	2	2
w01005022	接受	VERB	2	7
w01005022	了	PART	1	1
w01005022	阿契美尼德	PROPN	5	15
w01005022	的	PART	1	2
w01005022	统治	NOUN	2	6
w01005022	全国	NOUN	2	5
w01005022	投降	VERB	2	6
w01005022	成	VERB	1	1
w01005022	为	VERB	1	1
w01005022	阿契美尼德波斯	PROPN	7	20
w01005022	帝国	NOUN	2	5
w01005022	的	PART	1	2
w01005022	附庸国	VERB	3	8
w01005023	多	NUM	1	2
w01005023	族裔	NOUN	2	10
w01005023	的	PART	1	2
w01005023	阿契美尼德	PROPN	5	15
w01005023	军队	NOUN	2	4
w01005023	吸纳	VERB	2	5
w01005023	了	PART	1	1
w01005023	许多	NUM	2	5
w01005023	巴尔干人	PROPN	4	5
w01005023	从军	VERB	2	4
w01005024	此外	NOUN	2	4
w01005024	许多	NUM	2	5
w01005024	马其顿	PROPN	3	7
w01005024	和	CCONJ	1	3
w01005024	波斯	PROPN	2	5
w01005024	的	PART	1	2
w01005024	精英	NOUN	2	5
w01005024	人士	NOUN	2	2
w01005024	通婚	VERB	2	6
w01006027	首家	NUM	2	5
w01006027	电影	NOUN	2	6
w01006027	公司	NOUN	2	5
w01006027	于	ADP	1	1
w01006027	年	NOUN	1	2
w01006027	成立	VERB	2	3
w01006027	则	ADV	1	2
w01006027	于	ADP	1	1
w01006027	年	NOUN	1	2
w01006027	成立	VERB	2	3
w01006081	年	NOUN	1	2
w01006081	最	ADV	1	3
w01006081	成功	ADJ	2	3
w01006081	的	PART	1	2
w01006081	电影	NOUN	2	6
w01006081	是	AUX	1	2
w01006081	由	VERB	1	1
w01006081	亚尼斯	PROPN	3	9
w01006081	斯玛拉迪斯	PROPN	5	13
w01006081	导演	VERB	2	6
w01006081	的	PART	1	2
w01006081	葛雷柯	PROPN	3	12
w01007004	法国	PROPN	2	6
w01007004	摩纳哥	PROPN	3	11
w01007004	条约	NOUN	2	4
w01007004	于	ADP	1	1
w01007004	年	NOUN	1	2
w01007004	月	NOUN	1	1
w01007004	签署	VERB	2	6
w01007004	法国	PROPN	2	6
w01007004	据	ADP	1	4
w01007004	此	PRON	1	2
w01007004	为	ADP	1	1
w01007004	摩纳哥	PROPN	3	11
w01007004	提供	VERB	2	6
w01007004	有限	ADJ	2	3
w01007004	的	PART	1	2
w01007004	保护	NOUN	2	6
w01007035	执行	NOUN	2	5
w01007035	机构	NOUN	2	5
w01007035	包括	VERB	2	5
w01007035	一	NUM	1	1
w01007035	名	NOUN	1	2
w01007035	国务	NOUN	2	5
w01007035	大臣	NOUN	2	2
w01007035	作	VERB	1	5
w01007035	为	VERB	1	1
w01007035	政府	NOUN	2	6
w01007035	首脑	NOUN	2	7
w01007035	并	ADV	1	1
w01007035	由	VERB	1	1
w01007035	其	PRON	1	2
w01007035	主持	VERB	2	5
w01007035	政府	NOUN	2	6
w01007035	的	PART	1	2
w01007035	五	NUM	1	1
