sent_id	word_char	character_token_n	stroke_n
w01001049	宪章	2	20
w01001049	曾	1	12
w01001049	允许	2	10
w01001049	创立	2	11
w01001049	由	1	5
w01001049	城镇	2	24
w01001049	市民	2	10
w01001049	管理	2	25
w01001049	的	1	8
w01001049	商人	2	13
w01001049	行会	2	12
w01001049	以	1	4
w01001049	向	1	6
w01001049	途经	2	18
w01001049	人士	2	5
w01001049	征收	2	14
w01001049	税费	2	21
w01002008	矿物	2	16
w01002008	资源	2	23
w01002008	尤	1	3
w01002008	为	1	4
w01002008	丰富	2	16
w01002008	蕴含	2	22
w01002008	大量	2	15
w01002008	黄金	2	19
w01002008	钻石	2	15
w01002008	锰矿	2	21
w01002008	铅矿	2	18
w01002008	锌矿	2	20
w01002008	镍矿	2	23
w01002008	钴矿	2	18
w01002008	以及	2	7
w01002008	钼矿	2	18
w01002013	在	1	6
w01002013	极西北	3	18
w01002013	地区	2	10
w01002013	以外	2	9
w01002013	泰加林	3	23
w01002013	具有	2	14
w01002013	统治	2	17
w01002013	地位	2	13
w01002013	它	1	5
w01002013	覆盖	2	29
w01002013	了	1	2
w01002013	整个	2	19
w01002013	西伯利亚	4	26
w01002013	一	1	1
w01002013	个	1	3
w01002013	重要	2	18
w01002013	部分	2	14
w01002075	年	1	6
w01002075	世界	2	14
w01002075	大学生	3	16
w01002075	冬季	2	13
w01002075	运动会	3	19
w01002075	将	1	9
w01002075	雅茨克	3	28
w01002075	举办	2	13
w01003051	例如	2	14
w01003051	位	1	7
w01003051	于	1	3
w01003051	太平洋	3	18
w01003051	莱恩	2	20
w01003051	群岛	2	20
w01003051	和	1	8
w01003051	印度洋	3	23
w01003051	马尔代夫	4	17
w01003056	花岗岩	3	22
w01003056	岛屿	2	13
w01003056	包括	2	14
w01003056	塞舌尔	3	24
w01003056	刁曼岛	3	20
w01003056	火山岩	3	20
w01003056	则	1	6
w01003056	如	1	6
w01003056	圣赫勒拿岛	5	47
w01003062	比如	2	10
w01003062	墨西哥	3	31
w01003062	下	1	3
w01003062	加利福尼亚州	6	42
w01003062	离岸	2	19
w01003062	小岛屿	3	16
w01003062	就	1	12
w01003062	属	1	12
w01003062	沙漠	2	20
w01003062	荒岛	2	16
w01004051	公元	2	8
w01004051	前	1	9
w01004051	五	1	4
w01004051	世纪	2	11
w01004051	希腊	2	19
w01004051	雅典	2	20
w01004051	城邦	2	15
w01004051	依赖	2	21
w01004051	来	1	7
w01004051	自	1	6
w01004051	塞西亚	3	25
w01004051	进口	2	10
w01004051	谷物	2	15
w01004051	因	1	6
w01004051	此	1	6
w01004051	与	1	3
w01004051	控制	2	19
w01004051	着	1	11
w01004051	海峡	2	19
w01004051	要道	2	23
w01004051	城市	2	14
w01004051	麦加拉	3	20
w01004051	殖民地	3	23
w01004051	拜占廷	3	20
w01004051	保持	2	18
w01004051	关键	2	19
w01004051	同盟	2	19
w01004051	关系	2	13
w01005020	大流士	3	16
w01005020	十分	2	6
w01005020	赏识	2	19
w01005020	司令官	3	18
w01005020	美伽巴佐斯	5	39
w01005020	负责	2	14
w01005020	实现	2	16
w01005020	征服	2	16
w01005020	巴尔干	3	12
w01005020	目标	2	14
w01005021	阿契美尼德	5	45
w01005021	军队	2	10
w01005021	色雷斯	3	31
w01005021	沿海	2	18
w01005021	培奥尼亚人	5	36
w01005022	最终	2	20
w01005022	约	1	6
w01005022	马其顿	3	21
w01005022	国王	2	12
w01005022	阿闵塔斯	4	38
w01005022	一世	2	6
w01005022	接受	2	19
w01005022	全国	2	14
w01005022	投降	2	15
w01005022	成	1	6
w01005022	阿契美尼德波斯	7	65
w01005022	帝国	2	17
w01005022	附庸国	3	26
w01005023	多	1	6
w01005023	族裔	2	24
w01005023	吸纳	2	13
w01005023	许多	2	12
w01005023	巴尔干人	4	14
w01005023	从军	2	10
w01005024	此外	2	11
w01005024	波斯	2	20
w01005024	精英	2	22
w01005024	通婚	2	21
w01006027	首家	2	19
w01006027	电影	2	20
w01006027	公司	2	9
w01006027	成立	2	11
w01006081	最	1	12
w01006081	成功	2	11
w01006081	是	1	9
w01006081	亚尼斯	3	23
w01006081	斯玛拉迪斯	5	47
w01006081	导演	2	20
w01006081	葛雷柯	3	34
w01007004	法国	2	16
w01007004	摩纳哥	3	32
w01007004	条约	2	13
w01007004	月	1	4
w01007004	签署	2	26
w01007004	据	1	11
w01007004	提供	2	20
w01007004	有限	2	14
w01007004	保护	2	16
w01007035	执行	2	20
w01007035	机构	2	14
w01007035	名	1	6
w01007035	国务	2	13
w01007035	大臣	2	9
w01007035	作	1	7
w01007035	政府	2	17
w01007035	首脑	2	19
w01007035	并	1	6
w01007035	其	1	8
w01007035	主持	2	14
w01007035	人	1	2
w01007035	理事会	3	25
w01007070	警察	2	33
w01007070	队伍	2	10
w01007070	巡逻	2	17
w01007070	监管	2	24
w01007070	船只	2	16
w01007070	特别	2	17
w01007070	单元	2	12
w01007087	当前	2	15
w01007087	土地	2	9
w01007087	开垦	2	13
w01007087	项目	2	14
w01007087	对	1	5
w01007087	芳特维耶区	5	40
w01007087	进行	2	13
w01007087	扩建	2	14
w01007087	这	1	7
w01007087	项	1	9
w01008043	但	1	7
w01008043	北	1	5
w01008043	爱尔兰	3	20
w01008043	英格兰	3	23
w01008043	威尔士	3	17
w01008043	之间	2	10
w01008043	法律	2	17
w01008043	程序	2	19
w01008043	上	1	3
w01008043	存在	2	12
w01008043	差异	2	25
w01009010	白吉龙	3	19
w01009010	分类法	3	21
w01009010	广	1	3
w01009010	气体	2	11
w01009010	质量	2	20
w01009017	年代	2	11
w01009017	天气	2	8
w01009017	预报	2	17
w01009017	中	1	4
w01009017	获得	2	21
w01009017	首次	2	15
w01009017	应用	2	12
w01009017	而	1	6
w01009017	气候学家	4	32
w01009017	开始	2	12
w01009017	想法	2	21
w01009017	建立	2	13
w01009017	起	1	10
w01009017	气象	2	15
w01009017	气候学	3	22
w01009027	季风	2	12
w01009027	季节性	3	21
w01009027	盛行风	3	21
w01009027	可	1	5
w01009027	持续	2	20
w01009027	数	1	13
w01009027	之	1	3
w01009027	久	1	3
w01009027	带来	2	16
w01009027	雨	1	8
w01009027	季节	2	13
w01010044	斯拉夫人	4	26
w01010044	六	1	4
w01010044	立足	2	12
w01010044	日耳曼	3	21
w01010044	部落	2	22
w01010044	主要	2	14
w01010044	斯拉夫	3	24
w01010044	欧洲	2	17
w01010044	民族	2	16
w01010044	大迁徙	3	20
w01010044	期间	2	19
w01010044	途径	2	18
w01010044	摩拉维亚	4	40
w01010045	至	1	6
w01010045	八	1	2
w01010045	末	1	5
w01010045	公国	2	12
w01010045	当今	2	10
w01010045	东南部	3	24
w01010045	斯洛伐克	4	34
w01010045	西南	2	15
w01010045	奥地利	3	25
w01010045	下部	2	13
w01010045	形成	2	13
w01010046	这里	2	14
w01010046	大摩拉维亚国	6	51
w01010046	其中	2	12
w01010046	被	1	10
w01010046	尼特拉	3	23
w01010046	现	1	8
w01010047	第一	2	12
w01010047	莫伊米尔	4	27
w01010047	在位	2	13
w01010048	路易	2	21
w01010048	入侵	2	11
w01010048	让	1	5
w01010048	侄子	2	13
w01010048	取代	2	13
w01010048	王位	2	11
w01010048	后	1	6
w01010048	称	1	10
w01010048	圣	1	5
w01010048	罗斯季斯拉夫	6	52
w01012052	另外	2	10
w01012052	法令	2	13
w01012052	确定	2	20
w01012052	各	1	6
w01012052	及	1	3
w01012052	市区	2	9
w01012052	议会	2	11
w01012052	选举	2	18
w01013083	虽然	2	21
w01013083	直至	2	14
w01013083	较晚	2	21
w01013083	日期	2	16
w01013083	冰岛	2	13
w01013083	仍	1	6
w01013083	处	1	5
w01013083	丹麦	2	11
w01013083	政治	2	17
