sent_id	character	component_n	stroke_n
w01001049	宪	3	9
w01001049	章	2	11
w01001049	曾	3	12
w01001049	允	2	4
w01001049	许	3	6
w01001049	创	3	6
w01001049	立	1	5
w01001049	由	1	5
w01001049	城	3	9
w01001049	镇	4	15
w01001049	市	2	5
w01001049	民	1	5
w01001049	管	3	14
w01001049	理	3	11
w01001049	的	3	8
w01001049	商	3	11
w01001049	人	1	2
w01001049	行	3	6
w01001049	会	3	6
w01001049	以	2	4
w01001049	向	2	6
w01001049	途	3	10
w01001049	经	2	8
w01001049	士	1	3
w01001049	征	3	8
w01001049	收	2	6
w01001049	税	3	12
w01001049	费	2	9
w01002008	矿	2	8
w01002008	物	3	8
w01002008	资	3	10
w01002008	源	3	13
w01002008	尤	1	3
w01002008	为	1	4
w01002008	丰	1	4
w01002008	富	3	12
w01002008	蕴	4	15
w01002008	含	4	7
w01002008	大	1	3
w01002008	量	4	12
w01002008	黄	1	11
w01002008	金	1	8
w01002008	钻	3	10
w01002008	石	1	5
w01002008	锰	3	13
w01002008	铅	3	10
w01002008	锌	2	12
w01002008	镍	3	15
w01002008	钴	3	10
w01002008	及	1	3
w01002008	钼	2	10
w01002013	在	2	6
w01002013	极	2	7
w01002013	西	1	6
w01002013	北	2	5
w01002013	地	2	6
w01002013	区	2	4
w01002013	外	2	5
w01002013	泰	2	10
w01002013	加	2	5
w01002013	林	2	8
w01002013	具	2	8
w01002013	有	2	6
w01002013	统	4	9
w01002013	治	3	8
w01002013	位	2	7
w01002013	它	2	5
w01002013	覆	4	18
w01002013	盖	2	11
w01002013	了	1	2
w01002013	整	4	16
w01002013	个	2	3
w01002013	伯	2	7
w01002013	利	2	7
w01002013	亚	1	6
w01002013	一	1	1
w01002013	重	1	9
w01002013	要	2	9
w01002013	部	3	10
w01002013	分	2	4
w01002075	年	1	6
w01002075	世	1	5
w01002075	界	3	9
w01002075	学	2	8
w01002075	生	1	5
w01002075	冬	2	5
w01002075	季	2	8
w01002075	运	3	7
w01002075	动	3	6
w01002075	将	3	9
w01002075	雅	2	12
w01002075	茨	3	9
w01002075	克	3	7
w01002075	举	3	9
w01002075	办	1	4
w01003051	例	3	8
w01003051	如	2	6
w01003051	于	1	3
w01003051	太	2	4
w01003051	平	1	5
w01003051	洋	2	9
w01003051	莱	2	10
w01003051	恩	3	10
w01003051	群	3	13
w01003051	岛	2	7
w01003051	和	2	8
w01003051	印	2	5
w01003051	度	2	9
w01003051	马	1	3
w01003051	尔	2	5
w01003051	代	2	5
w01003051	夫	1	4
w01003056	花	3	7
w01003056	岗	3	7
w01003056	岩	2	8
w01003056	屿	3	6
w01003056	包	2	5
w01003056	括	2	9
w01003056	塞	2	13
w01003056	舌	1	6
w01003056	刁	2	2
w01003056	曼	2	11
w01003056	火	1	4
w01003056	山	1	8
w01003056	则	2	6
w01003056	圣	2	5
w01003056	赫	2	14
w01003056	勒	2	11
w01003056	拿	3	10
w01003062	比	1	4
w01003062	墨	2	15
w01003062	哥	4	10
w01003062	下	1	3
w01003062	福	3	13
w01003062	尼	2	5
w01003062	州	1	6
w01003062	离	2	10
w01003062	岸	3	9
w01003062	小	1	3
w01003062	就	4	12
w01003062	属	2	12
w01003062	沙	3	7
w01003062	漠	4	13
w01003062	荒	3	9
w01004051	公	2	4
w01004051	元	2	4
w01004051	前	3	9
w01004051	五	1	4
w01004051	纪	2	6
w01004051	希	3	7
w01004051	腊	4	12
w01004051	典	2	8
w01004051	邦	2	6
w01004051	依	2	8
w01004051	赖	3	13
w01004051	来	1	7
w01004051	自	1	6
w01004051	进	2	7
w01004051	口	1	3
