sent_id	clause_text	word_n	character_n
train-s1	看似+简单	2	4
train-s1	只+是	2	2
train-s1	二+一+选	3	3
train-s1	决择+做	2	3
train-s1	他们+的+代表	3	5
train-s1	但+其实+是+周遭+你+的+亲朋+好友	8	12
train-s1	着+试	2	2
train-s1	你+意见+不同+的+给	5	7
train-s1	追根究底	1	4
train-s1	最后+的+决定	3	5
train-s1	但+还是+自己	3	5
train-s2	的+都是	2	3
train-s2	买来	1	2
train-s2	就算+加热	2	4
train-s2	便当+其+也是+由	4	6
train-s2	妈妈+负责	2	4
train-s2	后来+揭晓	2	4
train-s2	其实+是	2	3
train-s2	避免	1	2
train-s2	厄运+带来	2	4
train-s2	台+电视+在	3	4
train-s2	父亲+则+上班	3	5
train-s3	特色+游行+次+这+最大+的+于+在	8	11
train-s3	上街	1	2
train-s3	人+越来越+多+年轻+游行	5	9
train-s3	而且+当中+少年+躁+不乏	5	9
train-s3	行动+的+激烈	3	5
train-s4	期+怀孕+为+421+457+至+日	7	12
train-s5	中+的+昏迷	3	4
train-s5	婷婷+婆婆+向+诉说	4	7
train-s5	与+她+的+想像	4	5
train-s5	什么+为+生活+会+不+一样	6	9
train-s6	就算+应用+数论+的+被+了+找到	7	11
train-s6	也+不会+有	3	4
train-s6	人+会+此+因+皇后+一+这+数学+的+罢黜	10	13
train-s7	特色+商圈+一中+一+另+为	6	9
train-s7	商店+类型+同+会+聚集	5	8
train-s7	街+短短+的+育才+了+店+家+十数+知名+眼镜+连锁+聚集	12	19
train-s7	而+店+体育+用品+路+沿着+太平+线+一+连成	10	15
train-s7	下	1	1
train-s7	竞争+在+激烈+价格+外地+比+便宜+不少	8	14
train-s7	货+家+三+比	4	4
train-s7	更+乐趣+购物+增加	4	7
train-s8	导播+的+出身	3	5
train-s8	者+当日+开录+女皇+代+一+掌镜+是+当时+中视+部+节目+王+世纲+经理	15	24
train-s9	我们+只+希望	3	5
train-s9	上	1	1
train-s9	资料+一些+稗官野史+的+片段+利用	6	13
train-s9	再+情节+一些+部分+加上	5	9
train-s9	善意+的+改编	3	5
train-s9	生+借着+历史+个+这+人物+真实+的+一+而+能+观众+启示+一些+带给	15	23
train-s10	当时+外界+传闻	3	6
train-s10	樊+日行+是	3	4
train-s10	下	1	1
train-s10	授意+在+中视+主管+装病	5	9
train-s10	樊+日行+否认	3	5
train-s10	都是	1	2
train-s10	杂粮+谷+五+吃	4	5
train-s10	长大	1	2
train-s10	人+本来+就+会+生病	5	7
train-s10	装病	1	2
train-s10	万一+被+了+拆穿	4	6
train-s10	而且+岂+不是	3	5
train-s10	无法	1	2
train-s10	观众+对+广大+的+交代	5	8
train-s11	在+剧本+写	3	4
train-s11	时	1	1
train-s11	独孤+该剧+编剧+位+两+红+罗+文忠+几乎+了+参考	11	17
