construct	frequency	avg_constituent_len
1	2538	1.492119779353822
2	1878	1.6767838125665602
3	1998	1.682349015682349
4	1856	1.6768588362068966
5	1490	1.663489932885906
6	1306	1.6884890250127615
7	1008	1.6826814058956916
8	819	1.657967032967033
9	712	1.691167290886392
10	512	1.66015625
11	394	1.6871250576834333
12	391	1.671994884910486
13	250	1.6932307692307693
14	198	1.6746031746031744
15	140	1.7223809523809523
16	96	1.7174479166666667
17	89	1.7323198942498348
18	53	1.7473794549266248
19	49	1.7851772287862513
20	35	1.6928571428571426
21	16	1.8214285714285714
22	14	1.6493506493506493
23	8	1.940217391304348
24	11	1.7613636363636365
25	4	1.6
26	5	1.623076923076923
27	5	1.511111111111111
28	3	1.9166666666666665
29	1	1.8275862068965518
30	2	1.7
31	2	1.5483870967741935
32	2	1.875
33	3	1.8282828282828283
34	1	1.9411764705882353
35	1	2.1142857142857143
37	1	1.2972972972972974
53	1	1.8113207547169812
59	1	1.5084745762711864
