construct	frequency	avg_constituent_len
1	2538	1.492119779353822
2	1878	1.6767838125665602
3	1998	1.6823490156823493
4	1856	1.6768588362068966
5	1490	1.663489932885906
6	1306	1.6884890250127615
7	1008	1.6826814058956916
8	819	1.657967032967033
9	712	1.6911672908863917
10	512	1.66015625
11	394	1.6871250576834331
12	391	1.6719948849104858
13	250	1.693230769230769
14	198	1.6746031746031744
15	140	1.7223809523809523
16	96	1.7174479166666667
17	89	1.7323198942498348
18	53	1.7473794549266248
19	49	1.7851772287862513
20	35	1.6928571428571426
21	16	1.8214285714285716
22.363636363636363	22	1.7551203736974488
24.7	20	1.694519230769231
28.46153846153846	13	1.6638396889231148
38.1	10	1.79074032980079
