construct	frequency	avg_constituent_len
1	202	2.287128712871287
2	482	2.1026970954356847
3	664	1.8669678714859437
4	906	1.8060154525386314
5	955	1.7225130890052356
6	1126	1.7143280047365304
7	907	1.654591274216412
8	902	1.6564578713968958
9	759	1.6480749524227785
10	702	1.6659544159544157
11	541	1.6439253906906401
12	466	1.650035765379113
13	401	1.636293880682908
14	279	1.5985663082437276
15	238	1.6137254901960785
16	186	1.667002688172043
17	108	1.6791938997821352
18	110	1.6752525252525254
19	95	1.6664819944598337
20	60	1.675
21	56	1.6258503401360547
22	31	1.6994134897360704
23	20	1.6891304347826088
24	14	1.7857142857142856
25	19	1.6336842105263158
26	10	1.5961538461538463
27	13	1.5213675213675215
28	15	1.7476190476190474
29	7	1.7339901477832511
30	4	1.6666666666666667
31	7	1.6451612903225807
32	2	1.703125
33	2	1.7121212121212122
34	4	1.7573529411764706
35	1	1.9142857142857144
37	1	1.7297297297297298
39	1	2.1025641025641026
48	1	1.5625
49	1	1.3265306122448979
57	1	1.4912280701754386
