construct	frequency	avg_constituent_len
1	202	2.2871287128712874
2	482	2.1026970954356847
3	664	1.866967871485944
4	906	1.8060154525386316
5	955	1.7225130890052356
6	1126	1.7143280047365304
7	907	1.654591274216412
8	902	1.6564578713968958
9	759	1.6480749524227785
10	702	1.6659544159544155
11	541	1.64392539069064
12	466	1.650035765379113
13	401	1.6362938806829084
14	279	1.5985663082437276
15	238	1.6137254901960785
16	186	1.6670026881720432
17	108	1.6791938997821352
18	110	1.6752525252525254
19	95	1.6664819944598337
20	60	1.675
21	56	1.625850340136055
22	31	1.6994134897360704
23	20	1.6891304347826088
24	14	1.7857142857142856
25	19	1.6336842105263158
26	10	1.5961538461538465
27	13	1.5213675213675215
28	15	1.7476190476190474
29.363636363636363	11	1.7095088819226751
31.545454545454547	11	1.6678746778636808
40.1	10	1.7156249993705763
