construct	frequency	avg_constituent_len
1	2530	1.4873517786561266
2	1824	1.6477521929824561
3	1869	1.632602104512217
4	1620	1.6074074074074074
5	1280	1.6071874999999998
6	1060	1.614622641509434
7	773	1.6034004805026798
8	618	1.5841423948220066
9	496	1.5866935483870968
10	346	1.574277456647399
11	255	1.580392156862745
12	257	1.593385214007782
13	157	1.6031357177853993
14	112	1.600765306122449
15	69	1.603864734299517
16	50	1.6075
17	43	1.588235294117647
18	28	1.5853174603174602
19	23	1.6498855835240276
20	16	1.640625
21	7	1.564625850340136
22	10	1.6636363636363638
23	2	1.5869565217391304
24	3	1.5416666666666667
25	1	1.52
26	3	1.5512820512820513
27	2	1.537037037037037
28	2	2.0892857142857144
29	1	1.8275862068965518
30	1	1.6333333333333333
31	2	1.5483870967741935
32	1	2.15625
33	2	1.7575757575757576
37	1	1.2972972972972974
59	1	1.5084745762711864
