construct	frequency	avg_constituent_len
1	2530	1.4873517786561266
2	1824	1.647752192982456
3	1869	1.6326021045122168
4	1620	1.6074074074074074
5	1280	1.6071874999999998
6	1060	1.614622641509434
7	773	1.6034004805026798
8	618	1.5841423948220066
9	496	1.5866935483870968
10	346	1.5742774566473992
11	255	1.580392156862745
12	257	1.593385214007782
13	157	1.603135717785399
14	112	1.600765306122449
15	69	1.603864734299517
16	50	1.6075
17	43	1.5882352941176472
18	28	1.5853174603174602
19	23	1.6498855835240276
20.304347826086957	23	1.617494824016563
22	10	1.6636363636363638
25.0	11	1.5497121155816806
33.72727272727273	11	1.7466762319154272
