sent_id	clause_text	clause_deprel	c_phrase_n	word_n
train-s1	看似+	advcl	1	2
train-s1	只+	root	1	2
train-s1	二+一+	advcl	2	3
train-s1	决择+	xcomp	1	2
train-s1	他们+的+	csubj	2	3
train-s1	但+其实+是+周遭+你+的+亲朋+	parataxis	5	8
train-s1	着+	parataxis	1	2
train-s1	你+意见+不同+的+	xcomp	2	5
train-s1		acl	0	1
train-s1	最后+的+	csubj	2	3
train-s1	但+还是+	parataxis	2	3
train-s2	的+	advcl	1	2
train-s2		xcomp	0	1
train-s2	就算+	csubj	1	2
train-s2	便当+其+也是+	root	2	4
train-s2	妈妈+	ccomp	1	2
train-s2	后来+	csubj	1	2
train-s2	其实+	parataxis	1	2
train-s2		xcomp	0	1
train-s2	厄运+	xcomp	1	2
train-s2	台+电视+	advcl	1	3
train-s2	父亲+则+	parataxis	2	3
train-s3	特色+游行+次+这+最大+的+于+	root	2	8
train-s3		advcl	0	1
train-s3	人+越来越+多+年轻+	ccomp	1	5
train-s3	而且+当中+少年+躁+	parataxis	3	5
train-s3	行动+的+	acl:relcl	2	3
train-s4	期+怀孕+为+421+457+至+	root	3	7
train-s5	中+的+	acl:relcl	2	3
train-s5	婷婷+婆婆+向+	root	2	4
train-s5	与+她+的+	ccomp	3	4
train-s5	什么+为+生活+会+不+	ccomp	4	6
train-s6	就算+应用+数论+的+被+了+	ccomp	4	7
train-s6	也+不会+	root	2	3
train-s6	人+会+此+因+皇后+一+这+数学+的+	ccomp	4	10
train-s7	特色+商圈+一中+一+另+	root	1	6
train-s7	商店+类型+同+会+	ccomp	2	5
train-s7	街+短短+的+育才+了+店+家+十数+知名+眼镜+连锁+	parataxis	3	12
train-s7	而+店+体育+用品+路+沿着+太平+线+一+	parataxis	4	10
train-s7		acl	0	1
train-s7	竞争+在+激烈+价格+外地+比+便宜+	parataxis	4	8
train-s7	货+家+三+	csubj	2	4
train-s7	更+乐趣+购物+	parataxis	2	4
train-s8	导播+的+	acl:relcl	2	3
train-s8	者+当日+开录+女皇+代+一+掌镜+是+当时+中视+部+节目+王+世纲+	root	6	15
train-s9	我们+只+	root	2	3
train-s9		acl	0	1
train-s9	资料+一些+稗官野史+的+片段+	advcl	1	6
train-s9	再+情节+一些+部分+	advcl	2	5
train-s9	善意+的+	acl:relcl	2	3
train-s9	生+借着+历史+个+这+人物+真实+的+一+而+能+观众+启示+一些+	xcomp	5	15
train-s10	当时+外界+	root	2	3
train-s10	樊+日行+	ccomp	1	3
train-s10		acl	0	1
train-s10	授意+在+中视+主管+	xcomp	1	5
train-s10	樊+日行+	parataxis	1	3
train-s10		advcl	0	1
train-s10	杂粮+谷+五+	advcl	1	4
train-s10		xcomp	0	1
train-s10	人+本来+就+会+	advcl	4	5
train-s10		csubj:pass	0	1
train-s10	万一+被+了+	advcl	3	4
train-s10	而且+岂+	ccomp	2	3
train-s10		xcomp	0	1
train-s10	观众+对+广大+的+	xcomp	1	5
train-s11	在+剧本+	xcomp	2	3
train-s11		advcl	0	1
train-s11	独孤+该剧+编剧+位+两+红+罗+文忠+几乎+了+	root	3	11
train-s11	资料+所有+有关+武+则天+的+传+林+语堂+武+则天+武+陈+虹+则天+狄+与+仁杰+演义+历代+通俗+列传+童+煦+后妃+中国+艳姬+黄+柏松+中国+	ccomp	2	31
train-s11		acl	0	1
train-s12		advcl	0	1
train-s12	的+	acl:relcl	1	2
train-s12		advcl	0	1
train-s12		conj	0	1
train-s12	台+电视+武+把+个+一+则天+女子+柔弱+堪怜+的+	root	3	12
train-s12	这+的+	parataxis	2	3
train-s12	我们+所+不能+	ccomp	3	4
train-s13	UMLS+可+于+	root	3	4
train-s13	检索+信息+系统+或+病历+	xcomp	1	6
train-s13	交流+系统+不同+的+通讯+	conj	1	6
train-s13		acl	0	1
train-s13	或者+于+	conj	2	3
train-s13	系统+	xcomp	1	2
train-s13	能够+文献+生物+医学+的+	acl:relcl	3	6
train-s14	的+	acl:relcl	1	2
train-s14	军官+白人+	ccomp	1	3
train-s14	了+庄园+卡梅隆+	advcl	2	4
train-s14	民兵+支+一+黑人+并且+	root	2	6
train-s14	女眷+家+卡梅隆+的+个+每+一+	xcomp	1	8
train-s14	但+军队+邦联+民兵+这些+	advcl	3	6
train-s14	了+她们+	parataxis	2	3
train-s15	年+2006+的+	acl:relcl	2	4
train-s15	时光+乐团+都+	root	3	4
train-s15	来+	xcomp	1	2
train-s15	与+专辑+乐团+的+张+第三+不道+闲言闲语+就是+自己+	conj	2	11
train-s15	专辑+该+并+月+在+年+2007+5+	parataxis	3	9
train-s16	巴黎+对+首都+法国+个+这+兴奋+	advcl	2	8
train-s16	当时+他+并+	root	3	4
train-s16	印象+将+各种+想像+和+音乐+	advcl	2	7
train-s16	为+表达+	xcomp	2	3
train-s16	巴黎+	advcl	1	2
train-s16	乐曲+此+	advcl	1	3
train-s16	他+途中+在+行程+次+一+前往+维也纳+的+工作+配器+	advcl	3	12
train-s16	则+纽约+	advcl	2	3
train-s16	首演+日+于+年+1928+月+12+31+	parataxis	2	9
train-s16	瓦德+丹路殊+Walter+Damrosch+	ccomp	1	5
train-s16	爱乐+纽约+	ccomp	1	3
train-s17	而+身份+雪莉+的+卧底+也+被+	root	4	8
train-s17	原来+身份+雪莉+的+真正+是+长+云想+集团+董事+高+超+之+高+蓓+	parataxis	5	16
train-s17		advcl	0	1
train-s17	后母+品+缇+饰+王+琳+	ccomp	1	7
train-s17	雪莉+	advcl	1	2
train-s17	集团+天衣+	advcl	1	3
train-s17	天衣+	parataxis	1	2
train-s18		advcl	0	1
train-s18	叶+广义+自己+	ccomp	2	4
train-s18	创意+美丽+的+设计+	advcl	1	5
train-s18	静华+后来+便+集团+云想+	root	4	6
train-s19	发辫+将+妻子+	advcl	2	4
train-s19	吴+汤兴+并且+	root	2	4
train-s19	若+不幸+	xcomp	2	3
train-s19		xcomp	0	1
train-s19	发+为+	ccomp	2	3
train-s20		advcl	0	1
train-s20	隔日+军+义民+山+八卦+	root	3	6
train-s20	人+吴+汤兴+行+一+皆+壮烈+	parataxis	3	8
train-s21	对于+标记+生物+	xcomp	2	4
train-s21	癌症+病+糖尿+症+氏+帕金森+病+和+氏+阿尔茨海默+疾病+	csubj	1	12
