sent_id	clause_text	lds_n	word_n
train-s1	简单+看似+	1	2
train-s1	是+只+	1	2
train-s1	选+二+一+	1	3
train-s1	做+决择+	1	2
train-s1	代表+他们+的+	1	3
train-s1	好友+但+其实+是+周遭+你+的+亲朋+	5	8
train-s1	试+着+	1	2
train-s1	给+你+意见+不同+的+	3	5
train-s1	追根究底+	1	1
train-s1	决定+最后+的+	1	3
train-s1	自己+但+还是+	2	3
train-s2	都是+的+	2	2
train-s2	买来+	1	1
train-s2	加热+就算+	1	2
train-s2	由+便当+其+也是+	2	4
train-s2	负责+妈妈+	1	2
train-s2	揭晓+后来+	1	2
train-s2	是+其实+	1	2
train-s2	避免+	1	1
train-s2	带来+厄运+	1	2
train-s2	在+台+电视+	2	3
train-s2	上班+父亲+则+	3	3
train-s3	在+特色+游行+次+这+最大+的+于+	3	8
train-s3	上街+	1	1
train-s3	游行+人+越来越+多+年轻+	4	5
train-s3	不乏+而且+当中+少年+躁+	3	5
train-s3	激烈+行动+的+	1	3
train-s4	日+期+怀孕+为+421+457+至+	5	7
train-s5	昏迷+中+的+	2	3
train-s5	诉说+婷婷+婆婆+向+	3	4
train-s5	想像+与+她+的+	2	4
train-s5	一样+什么+为+生活+会+不+	4	6
train-s6	找到+就算+应用+数论+的+被+了+	4	7
train-s6	有+也+不会+	2	3
train-s6	罢黜+人+会+此+因+皇后+一+这+数学+的+	6	10
train-s7	为+特色+商圈+一中+一+另+	2	6
train-s7	聚集+商店+类型+同+会+	2	5
train-s7	聚集+街+短短+的+育才+了+店+家+十数+知名+眼镜+连锁+	6	12
train-s7	连成+而+店+体育+用品+路+沿着+太平+线+一+	6	10
train-s7	下+	1	1
train-s7	不少+竞争+在+激烈+价格+外地+比+便宜+	5	8
train-s7	比+货+家+三+	2	4
train-s7	增加+更+乐趣+购物+	2	4
train-s8	出身+导播+的+	1	3
train-s8	经理+者+当日+开录+女皇+代+一+掌镜+是+当时+中视+部+节目+王+世纲+	6	15
train-s9	希望+我们+只+	2	3
train-s9	上+	1	1
train-s9	利用+资料+一些+稗官野史+的+片段+	4	6
train-s9	加上+再+情节+一些+部分+	3	5
train-s9	改编+善意+的+	1	3
train-s9	带给+生+借着+历史+个+这+人物+真实+的+一+而+能+观众+启示+一些+	7	15
train-s10	传闻+当时+外界+	2	3
train-s10	是+樊+日行+	2	3
train-s10	下+	1	1
train-s10	装病+授意+在+中视+主管+	4	5
train-s10	否认+樊+日行+	2	3
train-s10	都是+	1	1
train-s10	吃+杂粮+谷+五+	2	4
train-s10	长大+	1	1
train-s10	生病+人+本来+就+会+	4	5
train-s10	装病+	1	1
train-s10	拆穿+万一+被+了+	2	4
train-s10	不是+而且+岂+	2	3
train-s10	无法+	1	1
train-s10	交代+观众+对+广大+的+	3	5
train-s11	写+在+剧本+	1	3
train-s11	时+	1	1
train-s11	参考+独孤+该剧+编剧+位+两+红+罗+文忠+几乎+了+	4	11
