construct	frequency	avg_constituent_len
1	5044	1.7111419508326724
2	3048	1.827755905511811
3	2502	1.7509992006394883
4	1732	1.7225750577367205
5	1255	1.6900398406374504
6	833	1.7008803521408564
7	583	1.673854447439353
8	339	1.6651917404129795
9	216	1.6358024691358024
10	124	1.639516129032258
11	91	1.6083916083916086
12	49	1.5799319727891155
13	26	1.6627218934911243
14	22	1.5974025974025974
15	10	1.62
16	1	1.5625
17	1	1.588235294117647
18	3	1.7222222222222223
19	3	1.6140350877192984
20	6	1.6083333333333332
22	1	1.2727272727272727
24	1	1.375
25	1	1.36
30	1	1.7666666666666666
32	1	1.84375
