sent_id	phrase_text	word_n	character_n
train-s1	简单+看似+	2	4
train-s1	只+	1	1
train-s1	做+二+选+一+决择+	5	6
train-s1	好友+但+其实+他们+代表+的+是+你+周遭+的+亲朋+	11	17
train-s1	试+着+给+你+不同+的+意见+	7	9
train-s1	自己+但+追根究底+最后+决定+的+还是+	7	14
train-s2	便当+其+	2	3
train-s2	都是+买来+的+	3	5
train-s2	加热+就算+	2	4
train-s2	也是+	1	2
train-s2	负责+妈妈+	2	4
train-s2	是+后来+揭晓+其实+避免+带来+厄运+	7	13
train-s2	上班+父亲+则+在+电视+台+	6	9
train-s3	特色+这+次+游行+最大+的+	6	9
train-s3	于+	1	1
train-s3	游行+越来越+多+年轻+人+上街+	6	11
train-s3	不乏+而且+当中+行动+激烈+的+躁+少年+	8	14
train-s4	期+怀孕+	2	3
train-s4	为+	1	1
train-s4	421+至+457+	3	7
train-s5	婷婷+	1	2
train-s5	婆婆+向+昏迷+中+的+	5	7
train-s5	一样+为+什么+生活+会+与+她+想像+的+不+	10	14
train-s6	找到+就算+数论+的+应用+被+了+	7	11
train-s6	也+	1	1
train-s6	不会+	1	2
train-s6	罢黜+人+会+因+此+这+一+数学+的+皇后+	10	13
train-s7	特色+一中+商圈+另+一+	5	8
train-s7	聚集+同+类型+商店+会+	5	8
train-s7	聚集+短短+的+育才+街+了+十数+家+知名+眼镜+连锁+店+	12	19
train-s7	连成+而+体育+用品+店+沿着+太平+路+一+线+	10	15
train-s7	不少+在+激烈+竞争+下+价格+比+外地+便宜+	9	15
train-s7	增加+货+比+三+家+更+购物+乐趣+	8	11
train-s8	者+一+代+女皇+开录+当日+掌镜+	7	11
train-s8	是+	1	1
train-s8	出身+导播+的+	3	5
train-s8	当时+	1	2
train-s8	中视+	1	2
train-s8	部+节目+	2	3
train-s8	王+世纲+	2	3
train-s9	我们+	1	2
train-s9	只+	1	1
train-s9	带给+借着+这+个+历史+上+真实+人物+的+一+生+利用+一些+稗官野史+的+片段+资料+再+加上+一些+善意+改编+的+部分+情节+而+能+观众+一些+启示+	30	51
train-s10	当时+	1	2
train-s10	外界+	1	2
train-s10	是+樊+日行+在+中视+主管+授意+下+装病+	9	14
train-s10	否认+樊+日行+人+都是+吃+五+谷+杂粮+长大+本来+就+会+生病+而且+装病+万一+被+拆穿+了+岂+不是+无法+对+广大+的+观众+交代+	28	44
train-s11	独孤+该剧+两+位+编剧+红+罗+文忠+	8	12
train-s11	写+在+剧本+时+	4	5
train-s11	几乎+	1	2
train-s11	了+	1	1
train-s11	如+所有+有关+武+则天+的+资料+林+语堂+武+则天+传+陈+虹+武+则天+与+狄+仁杰+历代+通俗+演义+童+煦+中国+后妃+列传+黄+柏松+中国+艳姬+等+	32	49
train-s12	台+电视+	2	3
train-s12	武+把+一+个+跋扈+专横+乱伦+篡国+的+则天+	10	15
train-s12	女子+柔弱+堪怜+的+	4	7
train-s12	是+这+我们+所+不能+容忍+的+	7	10
train-s13	UMLS+	1	4
train-s13	可+	1	1
train-s13	于+	1	1
train-s13	设计+信息+检索+或+病历+系统+	6	11
train-s13	促进+不同+系统+之间+的+通讯+交流+	7	13
train-s13	用+或者+于+开发+能够+解析+生物+医学+文献+的+系统+	11	19
train-s14	民兵+一+支+由+白人+军官+带领+的+黑人+	9	14
train-s14	洗劫+了+卡梅隆+庄园+	4	8
train-s14	并且+	1	2
train-s14	强暴+卡梅隆+家+的+每+一+个+女眷+	8	12
train-s14	拯救+但+邦联+军队+击溃+这些+民兵+了+她们+	9	16
train-s15	时光+2006+年+剩下+的+	5	10
train-s15	乐团+	1	2
train-s15	都+	1	1
train-s15	编写+来+与+录制+乐团+的+第三+张+专辑+闲言闲语+就是+不道+自己+	13	24
train-s15	发行+该+专辑+并+在+2007+年+5+月+	9	14
train-s16	当时+	1	2
train-s16	他+	1	1
train-s16	不已+对+巴黎+这+个+法国+首都+兴奋+	8	13
train-s16	并+	1	1
train-s16	作+将+各种+印象+和+想像+化成+音乐+为+表达+	10	16
train-s16	由+他+在+巴黎+谱写+此+乐曲+在+一+次+前往+维也纳+行程+的+途中+进行+配器+工作+首演+则+在+纽约+于+1928+年+12+月+31+日+瓦德+丹路殊+Walter+Damrosch+指挥+纽约+爱乐+演出+	37	74
train-s17	而+	1	1
train-s17	身份+雪莉+的+卧底+	4	7
train-s17	也+	1	1
train-s17	被+	1	1
train-s17	女+原来+雪莉+的+真正+身份+是+云想+集团+董事+长+高+超+之+高+蓓+	16	23
train-s17	搞垮+受+后母+品+缇+王+琳+饰+指使+化名+雪莉+潜入+天衣+集团+天衣+	15	24
train-s18	静华+	1	2
train-s18	后来+	1	2
train-s18	发现+叶+广义+不爱+自己+	5	9
train-s18	便+	1	1
train-s18	偷取+美丽+的+设计+创意+	5	9
train-s18	集团+云想+	2	4
train-s19	吴+汤兴+	2	3
train-s19	交给+将+发辫+妻子+	4	7
train-s19	并且+	1	2
train-s19	以+若+不幸+战死+发+为+冢+	7	9
train-s20	隔日+	1	2
train-s20	军+义民+	2	3
train-s20	启程+	1	2
train-s20	山+八卦+	2	3
train-s20	成仁+吴+汤兴+一+行+人+皆+壮烈+	8	11
train-s21	抗体+一+级+	3	4
train-s21	检测+对于+如+癌症+糖尿+病+帕金森+氏+症+和+阿尔茨海默+氏+病+等+疾病+所+特有+的+生物+标记+	20	34
train-s21	是+	1	1
train-s21	非常+	1	2
train-s21	的+	1	1
train-s22	丁+启睿+与+杨+文岳+	5	7
train-s22	汝宁+	1	2
train-s22	死伤+明+军+一路+无数+	5	8
train-s22	战死+傅+宗龙+	3	5
train-s22	丢失+启睿+的+敕书+尚方+宝剑+等+全部+	8	14
train-s23	年+1900+	2	5
train-s23	联军+八+国+	3	4
train-s23	天津+	1	2
train-s23	兼任+他+一+度+兼任+天津+都统+衙门+汉+文+秘书+办理+一切+外交+事务+后来+又+保定+学堂+总+教习+	21	35
train-s24	年+1903+	2	5
train-s24	学堂+该+	2	3
train-s24	为+	1	1
train-s24	学堂+北洋+大+今+天津+大学+	6	10
train-s24	任+丁+家立+仍+总+教习+	6	8
train-s25	其后+	1	2
train-s25	前者+	1	2
train-s25	逃亡+在+时+	3	4
train-s25	被+	1	1
train-s25	逃至+而+七里+氏+则+能+成功+加贺+	8	12
train-s26	最后+在+	2	3
train-s26	医生+	1	2
train-s26	终于+	1	2
train-s26	到+	1	1
train-s26	没有+外星+人+们+只+想+要+他+的+歌声+而+并+将+他+视作+一+个+有+情感+的+实体+	21	27
train-s27	人+外星+	2	3
train-s27	传遍+将+他+的+歌声+整颗+星球+	7	11
train-s27	让+这+他+成+为+了+一+名+歌星+	9	10
train-s28	医生+	1	2
train-s28	自负+变得+十分+	3	6
train-s28	并+	1	1
train-s28	感到+在+航海+家+号+上+的+朋友+们+很+不+愉快+	12	16
train-s29	段+该路+临近+静安+寺+和+曹家+渡+两+	9	13
train-s29	店铺+	1	2
train-s30	四周+纪念+碑+	3	5
train-s30	公园+占地+面积+11265+平方米+的+三元+里+抗+英+纪念+	11	22
train-s31	前身+该+组织+的+	4	6
train-s31	是+	1	1
train-s31	由+1963+年+奥地利+裔+美国+经济+学+家+弗里茨+马赫卢普+创立+的+	13	26
train-s31	Bellagio+	1	8
train-s31	Group+	1	5
train-s31	是+目的+为了+探求+解决+国际+货币+体系+问题+的+方案+	11	20
train-s31	危机+特别+是+1960+年代+美国+所+面临+的+国际+收支+	11	21
train-s32	月+1642+年+11+	4	8
train-s32	军+瑞典+	2	3
train-s32	于+布赖滕费尔德+	2	7
train-s32	再度+	1	2
train-s32	军+神圣+罗马+帝国+	4	7
train-s32	恐惧+但+此时+丹麦+王+却+嫉妒+瑞典+军+的+成果+并+瑞典+强大+后+丹麦+受+其+所+制+	20	29
train-s32	宣战+因+此+乘+瑞典+军+进攻+日耳曼+南方+之+际+向+瑞典+	13	20
train-s33	在+密苏里+州+	3	5
train-s33	要求+由于+家长+的+	4	7
train-s33	该书+	1	2
train-s33	被+	1	1
train-s33	在+	1	1
