construct	frequency	avg_constituent_len
1	5649	1.5825809877854486
2	2347	1.7784405624201107
3	1641	1.7601056266504165
4	1460	1.7623287671232877
5	1116	1.7044802867383513
6	943	1.7002474372569811
7	733	1.6593256675112065
8	590	1.6713983050847459
9	450	1.6604938271604939
10	416	1.627403846153846
11	306	1.6440879382055853
12	251	1.6905710491367862
13	226	1.6269571136827774
14	190	1.6345864661654137
15	141	1.649645390070922
16	117	1.6351495726495726
17	102	1.679930795847751
18	86	1.6569767441860466
19	62	1.636672325976231
20	59	1.6627118644067795
21	46	1.6594202898550725
22	28	1.6623376623376622
23	34	1.5907928388746801
24	29	1.6206896551724137
25	21	1.6438095238095238
26	19	1.6376518218623484
27	20	1.6296296296296295
28	14	1.594387755102041
29	16	1.6228448275862069
30	12	1.722222222222222
31	9	1.7025089605734767
32	12	1.5989583333333333
33	9	1.7104377104377104
34	4	1.4705882352941178
35	4	1.7214285714285715
36	5	1.6277777777777778
37	6	1.7252252252252254
38	5	1.5526315789473684
39	4	1.8974358974358974
40	2	1.525
41	2	1.4390243902439024
42	6	1.6626984126984126
43	2	1.5465116279069768
44	1	1.6818181818181819
45	1	1.6222222222222222
48	1	1.6875
49	1	1.5918367346938775
50	1	1.84
51	1	1.6666666666666667
52	1	1.3269230769230769
55	1	1.7818181818181817
57	2	1.5
60	1	1.5666666666666667
97	1	1.7010309278350515
