construct	frequency	avg_constituent_len
1	5649	1.5825809877854486
2	2347	1.7784405624201107
3	1641	1.7601056266504165
4	1460	1.7623287671232877
5	1116	1.7044802867383513
6	943	1.7002474372569811
7	733	1.6593256675112065
8	590	1.671398305084746
9	450	1.660493827160494
10	416	1.627403846153846
11	306	1.6440879382055853
12	251	1.6905710491367862
13	226	1.6269571136827774
14	190	1.6345864661654137
15	141	1.6496453900709218
16	117	1.6351495726495726
17	102	1.679930795847751
18	86	1.6569767441860466
19	62	1.636672325976231
20	59	1.6627118644067795
21	46	1.6594202898550725
22	28	1.6623376623376622
23	34	1.59079283887468
24	29	1.6206896551724137
25	21	1.6438095238095238
26	19	1.6376518218623484
27	20	1.6296296296296295
28	14	1.5943877551020411
29	16	1.6228448275862069
30.428571428571427	21	1.7137736815156168
32	12	1.5989583333333333
33.705882352941174	17	1.6565886247547148
36.54545454545455	11	1.6809309309309308
39.07692307692308	13	1.6369961742283259
42.7	10	1.6373254136044832
57.6	10	1.616244225460352
