construct	frequency	avg_constituent_len
1	17972	1.5348319608279546
2	5464	1.7418557833089312
3	2918	1.71932830705963
4	1910	1.706020942408377
5	1228	1.7055374592833874
6	831	1.7244283995186522
7	506	1.6581027667984192
8	264	1.7315340909090908
9	184	1.728864734299517
10	128	1.67421875
11	91	1.7232767232767232
12	61	1.8346994535519128
13	40	1.698076923076923
14	20	1.8464285714285715
15	23	1.8695652173913044
16	11	1.8465909090909092
17	10	1.8411764705882354
18	7	1.9523809523809526
19	2	1.736842105263158
20	6	1.7666666666666668
21	1	1.5238095238095237
22	3	2.6666666666666665
23	3	1.3043478260869565
24	3	1.611111111111111
25	4	1.81
27	2	2.0925925925925926
28	1	1.5357142857142858
30	1	1.6
33	1	1.2727272727272727
48	1	1.8541666666666667
57	1	1.4912280701754386
