construct	frequency	avg_constituent_len
1	17972	1.5348319608279546
2	5464	1.7418557833089312
3	2918	1.71932830705963
4	1910	1.706020942408377
5	1228	1.7055374592833874
6	831	1.7244283995186522
7	506	1.6581027667984192
8	264	1.7315340909090908
9	184	1.728864734299517
10	128	1.67421875
11	91	1.7232767232767232
12	61	1.8346994535519128
13	40	1.6980769230769233
14	20	1.8464285714285715
15	23	1.8695652173913044
16	11	1.8465909090909087
17	10	1.8411764705882356
18.933333333333334	15	1.849356725146199
22.8	10	1.8270186335403724
31.818181818181817	11	1.7435474073153499
