construct	frequency	avg_constituent_len
1	17565	1.480785653287788
2	4831	1.6418960877665079
3	2496	1.6509081196581195
4	1589	1.6211453744493391
5	990	1.63010101010101
6	568	1.6382042253521127
7	354	1.5907990314769975
8	207	1.6111111111111112
9	136	1.6372549019607843
10	101	1.6207920792079207
11	68	1.6350267379679144
12	45	1.6333333333333335
13	26	1.6065088757396448
14	16	1.7053571428571428
15	13	1.6564102564102565
16	6	1.5416666666666667
17	7	1.7142857142857142
18	2	1.6944444444444444
19	2	1.736842105263158
20	5	1.67
22	1	2.5
23	2	1.434782608695652
24	3	1.611111111111111
25	3	1.7733333333333334
27	2	2.0925925925925926
28	1	1.5357142857142858
33	1	1.2727272727272727
57	1	1.4912280701754386
